	Cyberlindnera_jadinii	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_4-processed-gene-7.2-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.2&CDS=1-1779, genemark-scaffold_13-processed-gene-0.124-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.124&CDS=1-1641, genemark-scaffold_9-processed-gene-1.113-mRNA-1_1&gene=genemark-scaffold_9-processed-gene-1.113&CDS=1-1161, maker-scaffold_1-snap-gene-9.162-mRNA-1_1&gene=maker-scaffold_1-snap-gene-9.162&CDS=1-3090, maker-scaffold_2-augustus-gene-5.54-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-5.54&CDS=1-4680, maker-scaffold_29-snap-gene-0.0-mRNA-1_1&gene=maker-scaffold_29-snap-gene-0.0&CDS=1-1728	YKL222C, YLR266C, YOR162C, YOR172W
OG0000001	augustus_masked-scaffold_9-processed-gene-2.67-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-2.67&CDS=1-3492, genemark-scaffold_10-processed-gene-1.115-mRNA-1_1&gene=genemark-scaffold_10-processed-gene-1.115&CDS=1-1542, genemark-scaffold_25-processed-gene-0.61-mRNA-1_1&gene=genemark-scaffold_25-processed-gene-0.61&CDS=1-1572, genemark-scaffold_4-processed-gene-0.110-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.110&CDS=1-1575, genemark-scaffold_4-processed-gene-0.121-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-0.121&CDS=1-1572, genemark-scaffold_8-processed-gene-4.223-mRNA-1_1&gene=genemark-scaffold_8-processed-gene-4.223&CDS=1-1527	YAL067C, YCR028C, YGR065C, YOL041C
OG0000002	augustus_masked-scaffold_3-processed-gene-8.66-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.66&CDS=1-1791, genemark-scaffold_2-processed-gene-11.37-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.37&CDS=1-1785, genemark-scaffold_2-processed-gene-11.62-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.62&CDS=1-1761, genemark-scaffold_2-processed-gene-11.74-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.74&CDS=1-1734, genemark-scaffold_3-processed-gene-6.91-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-6.91&CDS=1-1752, genemark-scaffold_5-processed-gene-1.47-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-1.47&CDS=1-1764	YCL025C, YDR508C, YGR191W, YKR039W
OG0000003	genemark-scaffold_1-processed-gene-16.86-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.86&CDS=1-1698	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YJL219W, YLR081W, YOL156W
OG0000004	genemark-scaffold_1-processed-gene-16.93-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-16.93&CDS=1-1683	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000005	augustus_masked-scaffold_1-processed-gene-18.116-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.116&CDS=1-5220, augustus_masked-scaffold_2-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-6.91&CDS=1-1068, genemark-scaffold_2-processed-gene-11.21-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.21&CDS=1-756, maker-scaffold_16-snap-gene-0.122-mRNA-1_1&gene=maker-scaffold_16-snap-gene-0.122&CDS=1-2229	YBR297W, YFL052W, YGR288W, YPR196W
OG0000006	augustus_masked-scaffold_3-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.74&CDS=1-1713, augustus_masked-scaffold_3-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.75&CDS=1-1710, genemark-scaffold_13-processed-gene-0.92-mRNA-1_1&gene=genemark-scaffold_13-processed-gene-0.92&CDS=1-1611, genemark-scaffold_2-processed-gene-0.31-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-0.31&CDS=1-1542, genemark-scaffold_4-processed-gene-9.180-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-9.180&CDS=1-1608, maker-scaffold_10-augustus-gene-1.104-mRNA-1_1&gene=maker-scaffold_10-augustus-gene-1.104&CDS=1-3252	YDR242W, YGL084C
OG0000007	augustus_masked-scaffold_4-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.76&CDS=1-1326, genemark-scaffold_17-processed-gene-1.46-mRNA-1_1&gene=genemark-scaffold_17-processed-gene-1.46&CDS=1-1389, genemark-scaffold_3-processed-gene-3.9-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-3.9&CDS=1-1341	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000008	genemark-scaffold_2-processed-gene-11.35-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-11.35&CDS=1-5943, genemark-scaffold_5-processed-gene-2.107-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-2.107&CDS=1-1047, maker-scaffold_22-snap-gene-0.60-mRNA-1_1&gene=maker-scaffold_22-snap-gene-0.60&CDS=1-3465, maker-scaffold_7-snap-gene-3.148-mRNA-1_1&gene=maker-scaffold_7-snap-gene-3.148&CDS=1-1758, snap_masked-scaffold_2-processed-gene-11.189-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.189&CDS=1-1017, snap_masked-scaffold_5-processed-gene-3.76-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.76&CDS=1-2691, snap_masked-scaffold_5-processed-gene-3.77-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.77&CDS=1-1518	YJR004C
OG0000009	genemark-scaffold_21-processed-gene-0.170-mRNA-1_1&gene=genemark-scaffold_21-processed-gene-0.170&CDS=1-1029, genemark-scaffold_24-processed-gene-0.111-mRNA-1_1&gene=genemark-scaffold_24-processed-gene-0.111&CDS=1-1038, genemark-scaffold_6-processed-gene-5.98-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-5.98&CDS=1-1047, maker-scaffold_20-snap-gene-0.154-mRNA-1_1&gene=maker-scaffold_20-snap-gene-0.154&CDS=1-1947	YDR541C, YGL039W, YGL157W, YOL151W
