	Metschnikowia_kamakouana	Saccharomyces_cerevisiae
OG0000000	augustus_masked-kam_C32972-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-kam_C32972-processed-gene-0.0&CDS=1-519, augustus_masked-kam_C33804-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-kam_C33804-processed-gene-0.0&CDS=1-816, augustus_masked-kam_s108-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-kam_s108-processed-gene-5.89&CDS=1-2091, augustus_masked-kam_s12-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-kam_s12-processed-gene-0.35&CDS=1-2694, augustus_masked-kam_s12-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-kam_s12-processed-gene-0.48&CDS=1-1998, augustus_masked-kam_s12-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-kam_s12-processed-gene-1.138&CDS=1-1773, augustus_masked-kam_s6-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-kam_s6-processed-gene-0.67&CDS=1-621, augustus_masked-kam_s71-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-kam_s71-processed-gene-0.2&CDS=1-1434, augustus_masked-kam_s95-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-kam_s95-processed-gene-0.3&CDS=1-699, genemark-kam_s162-processed-gene-0.14-mRNA-1_1&gene=genemark-kam_s162-processed-gene-0.14&CDS=1-1005, genemark-kam_s277-processed-gene-0.11-mRNA-1_1&gene=genemark-kam_s277-processed-gene-0.11&CDS=1-1890, genemark-kam_s6-processed-gene-0.107-mRNA-1_1&gene=genemark-kam_s6-processed-gene-0.107&CDS=1-1773, genemark-kam_s62-processed-gene-0.113-mRNA-1_1&gene=genemark-kam_s62-processed-gene-0.113&CDS=1-1053, snap_masked-kam_s16-processed-gene-19.281-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-19.281&CDS=1-1431, snap_masked-kam_s162-processed-gene-2.4-mRNA-1_1&gene=snap_masked-kam_s162-processed-gene-2.4&CDS=1-774, snap_masked-kam_s4-processed-gene-5.213-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.213&CDS=1-468	
OG0000001	augustus_masked-kam_s16-processed-gene-14.78-mRNA-1_1&gene=augustus_masked-kam_s16-processed-gene-14.78&CDS=1-2265, augustus_masked-kam_s162-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-kam_s162-processed-gene-1.64&CDS=1-396, genemark-kam_s4-processed-gene-3.112-mRNA-1_1&gene=genemark-kam_s4-processed-gene-3.112&CDS=1-4140, snap_masked-kam_s16-processed-gene-18.28-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-18.28&CDS=1-2523, snap_masked-kam_s245-processed-gene-2.74-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-2.74&CDS=1-1764, snap_masked-kam_s271-processed-gene-0.44-mRNA-1_1&gene=snap_masked-kam_s271-processed-gene-0.44&CDS=1-3987	YCL024W, YDR477W, YDR507C, YKL101W, YOR233W, YPL141C, YPL150W
OG0000002	augustus_masked-kam_s70-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-kam_s70-processed-gene-0.79&CDS=1-1671, snap_masked-kam_s108-processed-gene-5.169-mRNA-1_1&gene=snap_masked-kam_s108-processed-gene-5.169&CDS=1-1812, snap_masked-kam_s27-processed-gene-1.24-mRNA-1_1&gene=snap_masked-kam_s27-processed-gene-1.24&CDS=1-1752, snap_masked-kam_s27-processed-gene-1.43-mRNA-1_1&gene=snap_masked-kam_s27-processed-gene-1.43&CDS=1-1728, snap_masked-kam_s271-processed-gene-1.18-mRNA-1_1&gene=snap_masked-kam_s271-processed-gene-1.18&CDS=1-1653, snap_masked-kam_s4-processed-gene-4.110-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-4.110&CDS=1-1719, snap_masked-kam_s77-processed-gene-0.84-mRNA-1_1&gene=snap_masked-kam_s77-processed-gene-0.84&CDS=1-1710	YKR039W, YLL061W, YPL274W
OG0000003	maker-kam_s275-augustus-gene-0.3-mRNA-1_1&gene=maker-kam_s275-augustus-gene-0.3&CDS=1-1365, snap_masked-kam_s16-processed-gene-4.48-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-4.48&CDS=1-1314, snap_masked-kam_s22-processed-gene-0.27-mRNA-1_1&gene=snap_masked-kam_s22-processed-gene-0.27&CDS=1-1308, snap_masked-kam_s245-processed-gene-0.3-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-0.3&CDS=1-1692, snap_masked-kam_s262-processed-gene-0.100-mRNA-1_1&gene=snap_masked-kam_s262-processed-gene-0.100&CDS=1-1737, snap_masked-kam_s68-processed-gene-0.30-mRNA-1_1&gene=snap_masked-kam_s68-processed-gene-0.30&CDS=1-2109, snap_masked-kam_s93-processed-gene-0.0-mRNA-1_1&gene=snap_masked-kam_s93-processed-gene-0.0&CDS=1-915	YDR144C, YLR120C, YLR121C
OG0000004	genemark-kam_s162-processed-gene-4.171-mRNA-1_1&gene=genemark-kam_s162-processed-gene-4.171&CDS=1-2646, snap_masked-kam_s16-processed-gene-18.39-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-18.39&CDS=1-2487, snap_masked-kam_s16-processed-gene-19.219-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-19.219&CDS=1-3288, snap_masked-kam_s39-processed-gene-0.157-mRNA-1_1&gene=snap_masked-kam_s39-processed-gene-0.157&CDS=1-3372, snap_masked-kam_s6-processed-gene-6.19-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-6.19&CDS=1-2277	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
OG0000005	augustus_masked-kam_C32650-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-kam_C32650-processed-gene-0.5&CDS=1-1956, augustus_masked-kam_s16-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-kam_s16-processed-gene-2.43&CDS=1-693, augustus_masked-kam_s269-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-kam_s269-processed-gene-0.0&CDS=1-2187, snap_masked-kam_s16-processed-gene-1.64-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-1.64&CDS=1-2097, snap_masked-kam_s175-processed-gene-0.38-mRNA-1_1&gene=snap_masked-kam_s175-processed-gene-0.38&CDS=1-267, snap_masked-kam_s3-processed-gene-0.13-mRNA-1_1&gene=snap_masked-kam_s3-processed-gene-0.13&CDS=1-1602, snap_masked-kam_s85-processed-gene-0.31-mRNA-1_1&gene=snap_masked-kam_s85-processed-gene-0.31&CDS=1-537	YCL074W, YKL162C
OG0000006	genemark-kam_s2-processed-gene-1.58-mRNA-1_1&gene=genemark-kam_s2-processed-gene-1.58&CDS=1-2652, genemark-kam_s6-processed-gene-3.25-mRNA-1_1&gene=genemark-kam_s6-processed-gene-3.25&CDS=1-1911, snap_masked-kam_s1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-kam_s1-processed-gene-1.25&CDS=1-948, snap_masked-kam_s16-processed-gene-14.135-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-14.135&CDS=1-939, snap_masked-kam_s6-processed-gene-7.64-mRNA-1_1&gene=snap_masked-kam_s6-processed-gene-7.64&CDS=1-1272	YDL108W, YFL029C, YKL139W, YPR161C
OG0000007	augustus_masked-kam_s166-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-kam_s166-processed-gene-0.1&CDS=1-255, augustus_masked-kam_s19-processed-gene-6.137-mRNA-1_1&gene=augustus_masked-kam_s19-processed-gene-6.137&CDS=1-459, genemark-kam_s115-processed-gene-0.54-mRNA-1_1&gene=genemark-kam_s115-processed-gene-0.54&CDS=1-930, snap_masked-kam_s120-processed-gene-0.22-mRNA-1_1&gene=snap_masked-kam_s120-processed-gene-0.22&CDS=1-702, snap_masked-kam_s19-processed-gene-0.27-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-0.27&CDS=1-894, snap_masked-kam_s19-processed-gene-6.69-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-6.69&CDS=1-432, snap_masked-kam_s19-processed-gene-6.70-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-6.70&CDS=1-525, snap_masked-kam_s4-processed-gene-5.184-mRNA-1_1&gene=snap_masked-kam_s4-processed-gene-5.184&CDS=1-942	YKL096W
OG0000008	genemark-kam_s16-processed-gene-6.113-mRNA-1_1&gene=genemark-kam_s16-processed-gene-6.113&CDS=1-1749, snap_masked-kam_s16-processed-gene-19.204-mRNA-1_1&gene=snap_masked-kam_s16-processed-gene-19.204&CDS=1-1767, snap_masked-kam_s19-processed-gene-4.64-mRNA-1_1&gene=snap_masked-kam_s19-processed-gene-4.64&CDS=1-1716, snap_masked-kam_s245-processed-gene-2.76-mRNA-1_1&gene=snap_masked-kam_s245-processed-gene-2.76&CDS=1-1761	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
OG0000009	augustus_masked-kam_s4-processed-gene-5.95-mRNA-1_1&gene=augustus_masked-kam_s4-processed-gene-5.95&CDS=1-1455, genemark-kam_s175-processed-gene-0.11-mRNA-1_1&gene=genemark-kam_s175-processed-gene-0.11&CDS=1-1917, snap_masked-kam_s167-processed-gene-1.5-mRNA-1_1&gene=snap_masked-kam_s167-processed-gene-1.5&CDS=1-1656, snap_masked-kam_s18-processed-gene-0.162-mRNA-1_1&gene=snap_masked-kam_s18-processed-gene-0.162&CDS=1-1629, snap_masked-kam_s271-processed-gene-0.45-mRNA-1_1&gene=snap_masked-kam_s271-processed-gene-0.45&CDS=1-1341	YLR343W, YMR307W, YOL030W, YOL132W
