	Candida_orthopsilosis	Saccharomyces_cerevisiae
OG0000000	genemark-NC_018292.1-processed-gene-10.50-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-10.50&CDS=1-2154, genemark-NC_018300.1-processed-gene-5.29-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-5.29&CDS=1-1725, genemark-NC_018300.1-processed-gene-5.43-mRNA-1_1&gene=genemark-NC_018300.1-processed-gene-5.43&CDS=1-1821, maker-NC_018295.1-snap-gene-4.107-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-4.107&CDS=1-2124, maker-NC_018301.1-augustus-gene-2.3-mRNA-1_1&gene=maker-NC_018301.1-augustus-gene-2.3&CDS=1-3954, snap_masked-NC_018296.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NC_018296.1-processed-gene-0.4&CDS=1-3432	YMR006C, YMR008C, YNL012W, YOL011W
OG0000001	augustus_masked-NC_018295.1-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-2.98&CDS=1-2184, genemark-NC_018292.1-processed-gene-15.114-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.114&CDS=1-2478, genemark-NC_018292.1-processed-gene-15.116-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-15.116&CDS=1-1239, genemark-NC_018292.1-processed-gene-16.50-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-16.50&CDS=1-1908, genemark-NC_018292.1-processed-gene-25.14-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-25.14&CDS=1-2262, maker-NC_018292.1-augustus-gene-15.5-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-15.5&CDS=1-2322, maker-NC_018295.1-snap-gene-16.106-mRNA-1_1&gene=maker-NC_018295.1-snap-gene-16.106&CDS=1-5256	YJR061W, YKL201C
OG0000002	genemark-NC_018292.1-processed-gene-20.75-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.75&CDS=1-2265, genemark-NC_018298.1-processed-gene-4.57-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-4.57&CDS=1-2133, maker-NC_018292.1-augustus-gene-20.1-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-20.1&CDS=1-5415, maker-NC_018296.1-snap-gene-2.90-mRNA-1_1&gene=maker-NC_018296.1-snap-gene-2.90&CDS=1-1758	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000003	augustus_masked-NC_018302.1-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-NC_018302.1-processed-gene-1.12&CDS=1-3555, genemark-NC_018295.1-processed-gene-9.76-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-9.76&CDS=1-687, genemark-NC_018296.1-processed-gene-12.92-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-12.92&CDS=1-534, maker-NC_018292.1-snap-gene-19.0-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-19.0&CDS=1-876	YHL034C, YIR001C, YLL046C, YLR001C
OG0000004	genemark-NC_018292.1-processed-gene-20.76-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-20.76&CDS=1-1665, maker-NC_018292.1-snap-gene-26.149-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-26.149&CDS=1-3309	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C
OG0000005	genemark-NC_018295.1-processed-gene-23.59-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-23.59&CDS=1-1752	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000006	genemark-NC_018292.1-processed-gene-2.4-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-2.4&CDS=1-1389, genemark-NC_018298.1-processed-gene-1.134-mRNA-1_1&gene=genemark-NC_018298.1-processed-gene-1.134&CDS=1-1377	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000007	augustus_masked-NC_018295.1-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NC_018295.1-processed-gene-7.22&CDS=1-3009, genemark-NC_018292.1-processed-gene-14.113-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-14.113&CDS=1-1575, genemark-NC_018295.1-processed-gene-6.36-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-6.36&CDS=1-1575, maker-NC_018292.1-snap-gene-19.1-mRNA-1_1&gene=maker-NC_018292.1-snap-gene-19.1&CDS=1-3180, maker-NC_018297.1-snap-gene-7.82-mRNA-1_1&gene=maker-NC_018297.1-snap-gene-7.82&CDS=1-2883	YJR152W, YMR013C
OG0000008	augustus_masked-NC_018296.1-processed-gene-4.100-mRNA-1_1&gene=augustus_masked-NC_018296.1-processed-gene-4.100&CDS=1-7422, genemark-NC_018292.1-processed-gene-22.45-mRNA-1_1&gene=genemark-NC_018292.1-processed-gene-22.45&CDS=1-2244, genemark-NC_018295.1-processed-gene-3.66-mRNA-1_1&gene=genemark-NC_018295.1-processed-gene-3.66&CDS=1-7488, genemark-NC_018296.1-processed-gene-10.72-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-10.72&CDS=1-3069, genemark-NC_018296.1-processed-gene-10.73-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-10.73&CDS=1-3069, genemark-NC_018296.1-processed-gene-2.30-mRNA-1_1&gene=genemark-NC_018296.1-processed-gene-2.30&CDS=1-2427, genemark-NC_018301.1-processed-gene-8.157-mRNA-1_1&gene=genemark-NC_018301.1-processed-gene-8.157&CDS=1-3108	
OG0000009	maker-NC_018292.1-augustus-gene-24.2-mRNA-1_1&gene=maker-NC_018292.1-augustus-gene-24.2&CDS=1-2001, maker-NC_018296.1-augustus-gene-1.124-mRNA-1_1&gene=maker-NC_018296.1-augustus-gene-1.124&CDS=1-2649, snap_masked-NC_018300.1-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NC_018300.1-processed-gene-4.89&CDS=1-1590	YBL089W, YER107C, YER119C, YIL088C
