	Kuraishia_capsulata	Saccharomyces_cerevisiae
OG0000000	augustus_masked-HG793127-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-7.100&CDS=1-2100, augustus_masked-HG793129-processed-gene-8.87-mRNA-1_1&gene=augustus_masked-HG793129-processed-gene-8.87&CDS=1-1599, augustus_masked-HG793131-processed-gene-4.105-mRNA-1_1&gene=augustus_masked-HG793131-processed-gene-4.105&CDS=1-1752, genemark-HG793125-processed-gene-22.129-mRNA-1_1&gene=genemark-HG793125-processed-gene-22.129&CDS=1-801, genemark-HG793127-processed-gene-15.211-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.211&CDS=1-1605, genemark-HG793128-processed-gene-11.167-mRNA-1_1&gene=genemark-HG793128-processed-gene-11.167&CDS=1-765, genemark-HG793128-processed-gene-5.60-mRNA-1_1&gene=genemark-HG793128-processed-gene-5.60&CDS=1-1491, genemark-HG793128-processed-gene-9.35-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.35&CDS=1-1857, genemark-HG793128-processed-gene-9.36-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.36&CDS=1-495, genemark-HG793129-processed-gene-12.16-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.16&CDS=1-1671, genemark-HG793129-processed-gene-2.20-mRNA-1_1&gene=genemark-HG793129-processed-gene-2.20&CDS=1-2619, genemark-HG793129-processed-gene-6.92-mRNA-1_1&gene=genemark-HG793129-processed-gene-6.92&CDS=1-1536, genemark-HG793130-processed-gene-5.77-mRNA-1_1&gene=genemark-HG793130-processed-gene-5.77&CDS=1-1719, genemark-HG793130-processed-gene-9.24-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.24&CDS=1-1362, maker-HG793125-augustus-gene-0.98-mRNA-1_1&gene=maker-HG793125-augustus-gene-0.98&CDS=1-1230, maker-HG793125-augustus-gene-22.262-mRNA-1_1&gene=maker-HG793125-augustus-gene-22.262&CDS=1-1698, snap_masked-HG793126-processed-gene-6.82-mRNA-1_1&gene=snap_masked-HG793126-processed-gene-6.82&CDS=1-1710, snap_masked-HG793127-processed-gene-5.161-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-5.161&CDS=1-549, snap_masked-HG793127-processed-gene-9.135-mRNA-1_1&gene=snap_masked-HG793127-processed-gene-9.135&CDS=1-759, snap_masked-HG793129-processed-gene-12.156-mRNA-1_1&gene=snap_masked-HG793129-processed-gene-12.156&CDS=1-2661	YBR240C, YDR207C, YMR168C
OG0000001	augustus_masked-HG793125-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-0.105&CDS=1-1044, augustus_masked-HG793125-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-0.106&CDS=1-1050, genemark-HG793125-processed-gene-15.43-mRNA-1_1&gene=genemark-HG793125-processed-gene-15.43&CDS=1-1053, genemark-HG793126-processed-gene-5.34-mRNA-1_1&gene=genemark-HG793126-processed-gene-5.34&CDS=1-1014, genemark-HG793127-processed-gene-9.41-mRNA-1_1&gene=genemark-HG793127-processed-gene-9.41&CDS=1-972, genemark-HG793128-processed-gene-15.194-mRNA-1_1&gene=genemark-HG793128-processed-gene-15.194&CDS=1-1032, genemark-HG793128-processed-gene-15.236-mRNA-1_1&gene=genemark-HG793128-processed-gene-15.236&CDS=1-1044, genemark-HG793129-processed-gene-0.13-mRNA-1_1&gene=genemark-HG793129-processed-gene-0.13&CDS=1-1014, maker-HG793125-snap-gene-0.3-mRNA-1_1&gene=maker-HG793125-snap-gene-0.3&CDS=1-2994, maker-HG793130-snap-gene-0.143-mRNA-1_1&gene=maker-HG793130-snap-gene-0.143&CDS=1-1944, maker-HG793130-snap-gene-0.144-mRNA-1_1&gene=maker-HG793130-snap-gene-0.144&CDS=1-1977, maker-HG793131-snap-gene-0.93-mRNA-1_1&gene=maker-HG793131-snap-gene-0.93&CDS=1-2010, snap_masked-HG793130-processed-gene-0.42-mRNA-1_1&gene=snap_masked-HG793130-processed-gene-0.42&CDS=1-318	YJR154W
OG0000002	augustus_masked-HG793125-processed-gene-14.30-mRNA-1_1&gene=augustus_masked-HG793125-processed-gene-14.30&CDS=1-1050, augustus_masked-HG793127-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-HG793127-processed-gene-11.55&CDS=1-1038, genemark-HG793125-processed-gene-16.138-mRNA-1_1&gene=genemark-HG793125-processed-gene-16.138&CDS=1-1050, genemark-HG793126-processed-gene-16.234-mRNA-1_1&gene=genemark-HG793126-processed-gene-16.234&CDS=1-1029, genemark-HG793126-processed-gene-8.55-mRNA-1_1&gene=genemark-HG793126-processed-gene-8.55&CDS=1-1035, genemark-HG793126-processed-gene-9.96-mRNA-1_1&gene=genemark-HG793126-processed-gene-9.96&CDS=1-1041, genemark-HG793128-processed-gene-1.96-mRNA-1_1&gene=genemark-HG793128-processed-gene-1.96&CDS=1-1038, genemark-HG793129-processed-gene-12.46-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.46&CDS=1-1107, genemark-HG793130-processed-gene-12.264-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.264&CDS=1-1038, maker-HG793126-snap-gene-9.52-mRNA-1_1&gene=maker-HG793126-snap-gene-9.52&CDS=1-2022	YDR541C, YGL039W, YGL157W, YOL151W
OG0000003	genemark-HG793125-processed-gene-18.143-mRNA-1_1&gene=genemark-HG793125-processed-gene-18.143&CDS=1-1659, genemark-HG793126-processed-gene-0.51-mRNA-1_1&gene=genemark-HG793126-processed-gene-0.51&CDS=1-1722, genemark-HG793127-processed-gene-13.114-mRNA-1_1&gene=genemark-HG793127-processed-gene-13.114&CDS=1-1779, genemark-HG793127-processed-gene-13.131-mRNA-1_1&gene=genemark-HG793127-processed-gene-13.131&CDS=1-1539, genemark-HG793127-processed-gene-15.185-mRNA-1_1&gene=genemark-HG793127-processed-gene-15.185&CDS=1-1629, genemark-HG793129-processed-gene-12.26-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.26&CDS=1-1539, genemark-HG793130-processed-gene-11.139-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.139&CDS=1-1542, genemark-HG793131-processed-gene-5.113-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.113&CDS=1-1494, genemark-HG793131-processed-gene-5.79-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.79&CDS=1-1512, genemark-HG793131-processed-gene-6.78-mRNA-1_1&gene=genemark-HG793131-processed-gene-6.78&CDS=1-1656	YFL040W
OG0000004	genemark-HG793125-processed-gene-22.84-mRNA-1_1&gene=genemark-HG793125-processed-gene-22.84&CDS=1-1644, genemark-HG793127-processed-gene-0.13-mRNA-1_1&gene=genemark-HG793127-processed-gene-0.13&CDS=1-1626, genemark-HG793127-processed-gene-4.114-mRNA-1_1&gene=genemark-HG793127-processed-gene-4.114&CDS=1-1683, genemark-HG793128-processed-gene-9.12-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.12&CDS=1-1701, genemark-HG793129-processed-gene-11.56-mRNA-1_1&gene=genemark-HG793129-processed-gene-11.56&CDS=1-1641, genemark-HG793129-processed-gene-12.58-mRNA-1_1&gene=genemark-HG793129-processed-gene-12.58&CDS=1-1677, genemark-HG793130-processed-gene-10.19-mRNA-1_1&gene=genemark-HG793130-processed-gene-10.19&CDS=1-1674, genemark-HG793130-processed-gene-12.204-mRNA-1_1&gene=genemark-HG793130-processed-gene-12.204&CDS=1-1644, genemark-HG793130-processed-gene-9.7-mRNA-1_1&gene=genemark-HG793130-processed-gene-9.7&CDS=1-1488	YDR242W
OG0000005	genemark-HG793125-processed-gene-13.98-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.98&CDS=1-2379, genemark-HG793126-processed-gene-14.115-mRNA-1_1&gene=genemark-HG793126-processed-gene-14.115&CDS=1-2253, genemark-HG793129-processed-gene-2.50-mRNA-1_1&gene=genemark-HG793129-processed-gene-2.50&CDS=1-2673, genemark-HG793129-processed-gene-7.105-mRNA-1_1&gene=genemark-HG793129-processed-gene-7.105&CDS=1-2415, genemark-HG793130-processed-gene-5.101-mRNA-1_1&gene=genemark-HG793130-processed-gene-5.101&CDS=1-2661, genemark-HG793130-processed-gene-7.116-mRNA-1_1&gene=genemark-HG793130-processed-gene-7.116&CDS=1-2832, genemark-HG793131-processed-gene-10.114-mRNA-1_1&gene=genemark-HG793131-processed-gene-10.114&CDS=1-2346	YJR061W, YKL201C
OG0000006	augustus_masked-HG793126-processed-gene-16.166-mRNA-1_1&gene=augustus_masked-HG793126-processed-gene-16.166&CDS=1-4485, augustus_masked-HG793128-processed-gene-8.136-mRNA-1_1&gene=augustus_masked-HG793128-processed-gene-8.136&CDS=1-4476, genemark-HG793125-processed-gene-22.146-mRNA-1_1&gene=genemark-HG793125-processed-gene-22.146&CDS=1-4584, genemark-HG793127-processed-gene-11.24-mRNA-1_1&gene=genemark-HG793127-processed-gene-11.24&CDS=1-4458, genemark-HG793129-processed-gene-0.26-mRNA-1_1&gene=genemark-HG793129-processed-gene-0.26&CDS=1-4476, genemark-HG793131-processed-gene-10.131-mRNA-1_1&gene=genemark-HG793131-processed-gene-10.131&CDS=1-4473	YDR011W, YOR153W, YPL058C
OG0000007	augustus_masked-HG793129-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-HG793129-processed-gene-0.96&CDS=1-1911, genemark-HG793128-processed-gene-8.37-mRNA-1_1&gene=genemark-HG793128-processed-gene-8.37&CDS=1-3201, genemark-HG793130-processed-gene-11.122-mRNA-1_1&gene=genemark-HG793130-processed-gene-11.122&CDS=1-3015, genemark-HG793131-processed-gene-2.101-mRNA-1_1&gene=genemark-HG793131-processed-gene-2.101&CDS=1-2385, genemark-HG793131-processed-gene-5.101-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.101&CDS=1-2400, genemark-HG793131-processed-gene-5.102-mRNA-1_1&gene=genemark-HG793131-processed-gene-5.102&CDS=1-2382, snap_masked-HG793128-processed-gene-0.37-mRNA-1_1&gene=snap_masked-HG793128-processed-gene-0.37&CDS=1-2478, snap_masked-HG793128-processed-gene-8.84-mRNA-1_1&gene=snap_masked-HG793128-processed-gene-8.84&CDS=1-3399	YKR064W
OG0000008	augustus_masked-HG793129-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-HG793129-processed-gene-0.107&CDS=1-1638, augustus_masked-HG793129-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-HG793129-processed-gene-0.108&CDS=1-1623, augustus_masked-HG793129-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-HG793129-processed-gene-0.109&CDS=1-1632, augustus_masked-HG793129-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-HG793129-processed-gene-0.110&CDS=1-1629, genemark-HG793129-processed-gene-13.23-mRNA-1_1&gene=genemark-HG793129-processed-gene-13.23&CDS=1-1368, genemark-HG793129-processed-gene-13.26-mRNA-1_1&gene=genemark-HG793129-processed-gene-13.26&CDS=1-1623, genemark-HG793129-processed-gene-3.53-mRNA-1_1&gene=genemark-HG793129-processed-gene-3.53&CDS=1-1779	YHL017W, YKL039W
OG0000009	genemark-HG793125-processed-gene-13.72-mRNA-1_1&gene=genemark-HG793125-processed-gene-13.72&CDS=1-1572, genemark-HG793128-processed-gene-14.112-mRNA-1_1&gene=genemark-HG793128-processed-gene-14.112&CDS=1-1488, genemark-HG793128-processed-gene-7.159-mRNA-1_1&gene=genemark-HG793128-processed-gene-7.159&CDS=1-1491, genemark-HG793128-processed-gene-9.11-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.11&CDS=1-1503, genemark-HG793128-processed-gene-9.49-mRNA-1_1&gene=genemark-HG793128-processed-gene-9.49&CDS=1-1494	YER073W, YMR169C, YMR170C
