	Saccharomyces_cerevisiae	yHMPu5000035018_Candida_canberraensis
OG0000000	YCL074W	augustus_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-NODE_20_length_325768_cov_22.689_ID_39-processed-gene-1.28&CDS=1-1122, augustus_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-5.9&CDS=1-1545, augustus_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-1.8-mRNA-1_1&gene=augustus_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-1.8&CDS=1-1038, snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-0.78-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-0.78&CDS=1-1071, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-10.103-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-10.103&CDS=1-2193, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-2.17-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-2.17&CDS=1-1107, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-6.86-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-6.86&CDS=1-1923, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-8.65-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-8.65&CDS=1-1917, snap_masked-NODE_29_length_101844_cov_13.0296_ID_57-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_29_length_101844_cov_13.0296_ID_57-processed-gene-0.66&CDS=1-1491, snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NODE_3_length_931105_cov_16.3301_ID_5-processed-gene-4.61&CDS=1-252, snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-2.77-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-2.77&CDS=1-2259
OG0000001	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.102-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-2.102&CDS=1-1728, snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-5.214-mRNA-1_1&gene=snap_masked-NODE_7_length_663911_cov_18.1544_ID_13-processed-gene-5.214&CDS=1-1713
OG0000002	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_11_length_523697_cov_18.1994_ID_21-processed-gene-0.121&CDS=1-1248, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-7.73-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-7.73&CDS=1-1746, snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-7.74-mRNA-1_1&gene=snap_masked-NODE_1_length_1418990_cov_15.6188_ID_1-processed-gene-7.74&CDS=1-1782, snap_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_22_length_273261_cov_24.3239_ID_43-processed-gene-0.42&CDS=1-1650, snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-3.35&CDS=1-1869
OG0000003	YJR061W, YKL201C	augustus_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.5-mRNA-1_1&gene=augustus_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-4.5&CDS=1-2574, snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.90-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-2.90&CDS=1-1863, snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-0.17&CDS=1-2601, snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.39-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-5.39&CDS=1-2367, snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-6.107-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-6.107&CDS=1-2439, snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-6.90-mRNA-1_1&gene=snap_masked-NODE_2_length_957285_cov_16.5771_ID_3-processed-gene-6.90&CDS=1-2070, snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.135-mRNA-1_1&gene=snap_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-5.135&CDS=1-1695
OG0000004	YGR197C, YJR015W, YLR264W, YOR167C	maker-NODE_10_length_566260_cov_17.1707_ID_19-snap-gene-2.125-mRNA-1_1&gene=maker-NODE_10_length_566260_cov_17.1707_ID_19-snap-gene-2.125&CDS=1-1596, snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.55-mRNA-1_1&gene=snap_masked-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-4.55&CDS=1-201, snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.10-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.10&CDS=1-1590, snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.9-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-4.9&CDS=1-1719
OG0000005	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-2.52-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-2.52&CDS=1-2136, snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.221-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.221&CDS=1-2169, snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.222-mRNA-1_1&gene=snap_masked-NODE_14_length_488644_cov_13.1912_ID_27-processed-gene-3.222&CDS=1-2175
OG0000006	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_40_length_5101_cov_16.8241_ID_79-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_40_length_5101_cov_16.8241_ID_79-processed-gene-0.2&CDS=1-1386, snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.45-mRNA-1_1&gene=snap_masked-NODE_6_length_695809_cov_13.1576_ID_11-processed-gene-5.45&CDS=1-1380
OG0000007	YLR256W, YML015C	genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-0.103-mRNA-1_1&gene=genemark-NODE_12_length_500968_cov_12.9947_ID_23-processed-gene-0.103&CDS=1-3519, genemark-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-1.13&CDS=1-3507, genemark-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_15_length_463217_cov_12.2587_ID_29-processed-gene-1.14&CDS=1-3753, maker-NODE_4_length_881975_cov_16.5187_ID_7-snap-gene-4.5-mRNA-1_1&gene=maker-NODE_4_length_881975_cov_16.5187_ID_7-snap-gene-4.5&CDS=1-3018, snap_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-2.165-mRNA-1_1&gene=snap_masked-NODE_18_length_338643_cov_13.2849_ID_35-processed-gene-2.165&CDS=1-2898
OG0000008	YMR008C, YNL012W, YOL011W	augustus_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.2-mRNA-1_1&gene=augustus_masked-NODE_17_length_419275_cov_12.6388_ID_33-processed-gene-3.2&CDS=1-3582, snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-0.77-mRNA-1_1&gene=snap_masked-NODE_13_length_496732_cov_18.5747_ID_25-processed-gene-0.77&CDS=1-1788, snap_masked-NODE_26_length_182433_cov_12.5761_ID_51-processed-gene-0.181-mRNA-1_1&gene=snap_masked-NODE_26_length_182433_cov_12.5761_ID_51-processed-gene-0.181&CDS=1-1923, snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.95-mRNA-1_1&gene=snap_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-7.95&CDS=1-2229
OG0000009		augustus_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_4_length_881975_cov_16.5187_ID_7-processed-gene-0.51&CDS=1-1416, augustus_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-2.8-mRNA-1_1&gene=augustus_masked-NODE_8_length_661647_cov_16.5428_ID_15-processed-gene-2.8&CDS=1-1371, snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.127-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.127&CDS=1-1335, snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NODE_10_length_566260_cov_17.1707_ID_19-processed-gene-4.128&CDS=1-1383, snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-2.101-mRNA-1_1&gene=snap_masked-NODE_16_length_462514_cov_13.0784_ID_31-processed-gene-2.101&CDS=1-1383, snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.62&CDS=1-1398, snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.63-mRNA-1_1&gene=snap_masked-NODE_23_length_252339_cov_12.3514_ID_45-processed-gene-0.63&CDS=1-1452
