	Coccidioides_immitis	Saccharomyces_cerevisiae
OG0000000	XP_001238880.2, XP_001238930.1, XP_001240477.2, XP_001241827.1, XP_001242677.2, XP_001243061.2, XP_001243586.2, XP_001245229.2, XP_001245387.1, XP_001246054.2, XP_001247311.1, XP_001247832.2, XP_001247996.2, XP_001248489.2, XP_001248959.2, XP_001249176.2, XP_004445988.1, XP_012213936.1	YER080W
OG0000001	XP_001239143.1, XP_001239372.1, XP_001240495.1, XP_001241400.2, XP_001241607.2, XP_001241711.1, XP_001242730.2, XP_001243393.1, XP_001243723.2, XP_001245646.2, XP_001246829.2, XP_001247214.2, XP_001247620.2, XP_001248625.2, XP_001248907.2	
OG0000002	XP_001241147.2	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YLR081W, YMR011W, YOL156W
OG0000003	XP_001239154.1, XP_001240408.2, XP_001243435.2, XP_001243714.2, XP_001245019.2, XP_001247388.2, XP_001248096.1, XP_001248603.1, XP_001248856.2, XP_012214188.1	YDR242W
OG0000004	XP_001240142.1, XP_001242082.1, XP_001242175.1, XP_001242662.1, XP_001243116.2, XP_001245825.2, XP_001247633.1, XP_012213849.1, XP_012213943.1	YGR260W
OG0000005	XP_001239642.1, XP_001243793.2, XP_001244741.2, XP_001246012.2, XP_001246968.1, XP_001248321.2	YMR111C, YMR172W, YOL116W
OG0000006	XP_001238939.2, XP_001240409.2, XP_001241754.2, XP_001243601.2, XP_001247837.2, XP_001248142.2	YBR240C, YDL170W
OG0000007	XP_001238995.1, XP_001245960.2	YBL042C, YBR021W, YIR028W, YLR237W, YOR071C, YOR192C
OG0000008	XP_001239054.1, XP_001240085.1, XP_001241133.2, XP_001243747.1, XP_001243750.2, XP_001244616.1, XP_001245595.2	YKL055C
OG0000009	XP_001239352.2, XP_001243745.1, XP_001244325.2	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000010	XP_001245103.2	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
