	Metschnikowia_hibisci	Saccharomyces_cerevisiae
OG0000000	augustus_masked-hib_s16-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-hib_s16-processed-gene-0.124&CDS=1-945, augustus_masked-hib_s26-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-hib_s26-processed-gene-0.5&CDS=1-1293, augustus_masked-hib_s93-processed-gene-18.206-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.206&CDS=1-7536, augustus_masked-hib_s98-processed-gene-3.90-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-3.90&CDS=1-663, augustus_masked-hib_s98-processed-gene-6.176-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-6.176&CDS=1-3372, snap_masked-hib_s106-processed-gene-0.65-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-0.65&CDS=1-1062, snap_masked-hib_s155-processed-gene-5.104-mRNA-1_1&gene=snap_masked-hib_s155-processed-gene-5.104&CDS=1-1848, snap_masked-hib_s26-processed-gene-0.8-mRNA-1_1&gene=snap_masked-hib_s26-processed-gene-0.8&CDS=1-2379, snap_masked-hib_s71-processed-gene-0.44-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-0.44&CDS=1-2292, snap_masked-hib_s90-processed-gene-7.83-mRNA-1_1&gene=snap_masked-hib_s90-processed-gene-7.83&CDS=1-2220	
OG0000001	augustus_masked-hib_s90-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-hib_s90-processed-gene-3.13&CDS=1-1749, augustus_masked-hib_s90-processed-gene-3.31-mRNA-1_1&gene=augustus_masked-hib_s90-processed-gene-3.31&CDS=1-1725, augustus_masked-hib_s93-processed-gene-9.31-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-9.31&CDS=1-1665, augustus_masked-hib_s98-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-1.115&CDS=1-1701, augustus_masked-hib_s98-processed-gene-6.154-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-6.154&CDS=1-1668, maker-hib_s80-snap-gene-2.158-mRNA-1_1&gene=maker-hib_s80-snap-gene-2.158&CDS=1-1764, snap_masked-hib_s106-processed-gene-0.47-mRNA-1_1&gene=snap_masked-hib_s106-processed-gene-0.47&CDS=1-1809	YKR039W, YLL061W, YPL274W
OG0000002	augustus_masked-hib_s184-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-hib_s184-processed-gene-2.61&CDS=1-1764, maker-hib_s71-snap-gene-13.168-mRNA-1_1&gene=maker-hib_s71-snap-gene-13.168&CDS=1-2637, snap_masked-hib_s71-processed-gene-17.24-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-17.24&CDS=1-2427, snap_masked-hib_s93-processed-gene-10.66-mRNA-1_1&gene=snap_masked-hib_s93-processed-gene-10.66&CDS=1-3975	YCL024W, YDR477W, YDR507C, YOR233W, YPL141C, YPL150W
OG0000003	augustus_masked-hib_s71-processed-gene-18.28-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.28&CDS=1-3288, augustus_masked-hib_s90-processed-gene-4.12-mRNA-1_1&gene=augustus_masked-hib_s90-processed-gene-4.12&CDS=1-2640, augustus_masked-hib_s93-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-6.9&CDS=1-2265, augustus_masked-hib_s98-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-0.30&CDS=1-3294, snap_masked-hib_s71-processed-gene-17.38-mRNA-1_1&gene=snap_masked-hib_s71-processed-gene-17.38&CDS=1-2451	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
OG0000004	augustus_masked-hib_s184-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-hib_s184-processed-gene-2.81&CDS=1-1749, augustus_masked-hib_s71-processed-gene-18.15-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.15&CDS=1-1770, augustus_masked-hib_s71-processed-gene-6.24-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-6.24&CDS=1-1761, augustus_masked-hib_s91-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-4.84&CDS=1-1728	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
OG0000005	augustus_masked-hib_s194-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-hib_s194-processed-gene-1.33&CDS=1-1635, augustus_masked-hib_s91-processed-gene-9.137-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-9.137&CDS=1-1644	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YLR081W, YMR011W
OG0000006	augustus_masked-hib_s71-processed-gene-10.139-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-10.139&CDS=1-1632, augustus_masked-hib_s71-processed-gene-14.137-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-14.137&CDS=1-1893, augustus_masked-hib_s91-processed-gene-9.170-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-9.170&CDS=1-1635, augustus_masked-hib_s93-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-0.54&CDS=1-1845, augustus_masked-hib_s93-processed-gene-18.182-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-18.182&CDS=1-1746, augustus_masked-hib_s94-processed-gene-2.103-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-2.103&CDS=1-1812, augustus_masked-hib_s98-processed-gene-3.113-mRNA-1_1&gene=augustus_masked-hib_s98-processed-gene-3.113&CDS=1-1653, genemark-hib_s93-processed-gene-18.50-mRNA-1_1&gene=genemark-hib_s93-processed-gene-18.50&CDS=1-2646	YOR258W
OG0000007	augustus_masked-hib_s106-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-hib_s106-processed-gene-1.18&CDS=1-2760, augustus_masked-hib_s71-processed-gene-6.31-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-6.31&CDS=1-2778, augustus_masked-hib_s90-processed-gene-7.15-mRNA-1_1&gene=augustus_masked-hib_s90-processed-gene-7.15&CDS=1-3426, augustus_masked-hib_s91-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-2.136&CDS=1-3429, augustus_masked-hib_s91-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-hib_s91-processed-gene-2.139&CDS=1-3141, snap_masked-hib_s91-processed-gene-2.83-mRNA-1_1&gene=snap_masked-hib_s91-processed-gene-2.83&CDS=1-3345, snap_masked-hib_s94-processed-gene-0.51-mRNA-1_1&gene=snap_masked-hib_s94-processed-gene-0.51&CDS=1-2640	YKR064W
OG0000008	maker-hib_s106-snap-gene-4.140-mRNA-1_1&gene=maker-hib_s106-snap-gene-4.140&CDS=1-690, maker-hib_s141-snap-gene-0.0-mRNA-1_1&gene=maker-hib_s141-snap-gene-0.0&CDS=1-198, maker-hib_s155-snap-gene-5.141-mRNA-1_1&gene=maker-hib_s155-snap-gene-5.141&CDS=1-207	YKL186C, YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000009	augustus_masked-hib_s183-processed-gene-8.164-mRNA-1_1&gene=augustus_masked-hib_s183-processed-gene-8.164&CDS=1-2253, augustus_masked-hib_s71-processed-gene-18.25-mRNA-1_1&gene=augustus_masked-hib_s71-processed-gene-18.25&CDS=1-2202, augustus_masked-hib_s93-processed-gene-14.73-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-14.73&CDS=1-2238, augustus_masked-hib_s93-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-hib_s93-processed-gene-2.19&CDS=1-1776, augustus_masked-hib_s94-processed-gene-3.25-mRNA-1_1&gene=augustus_masked-hib_s94-processed-gene-3.25&CDS=1-2439, snap_masked-hib_s16-processed-gene-0.61-mRNA-1_1&gene=snap_masked-hib_s16-processed-gene-0.61&CDS=1-1455	YJR061W, YKL201C
