	Metschnikowia_matae_maris	Saccharomyces_cerevisiae
OG0000000	augustus_masked-mar-_s15-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-mar-_s15-processed-gene-0.124&CDS=1-660, augustus_masked-mar-_s172-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mar-_s172-processed-gene-0.26&CDS=1-537, augustus_masked-mar-_s189-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mar-_s189-processed-gene-0.16&CDS=1-525, augustus_masked-mar-_s215-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-mar-_s215-processed-gene-0.15&CDS=1-612, augustus_masked-mar-_s27-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-mar-_s27-processed-gene-0.121&CDS=1-318, augustus_masked-mar-_s282-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-mar-_s282-processed-gene-0.54&CDS=1-564, augustus_masked-mar-_s288-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_s288-processed-gene-0.0&CDS=1-216, augustus_masked-mar-_s428-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_s428-processed-gene-0.0&CDS=1-552, augustus_masked-mar-_s88-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-mar-_s88-processed-gene-0.80&CDS=1-1170, genemark-mar-_s218-processed-gene-0.26-mRNA-1_1&gene=genemark-mar-_s218-processed-gene-0.26&CDS=1-408, genemark-mar-_s24-processed-gene-0.49-mRNA-1_1&gene=genemark-mar-_s24-processed-gene-0.49&CDS=1-945, genemark-mar-_s32-processed-gene-0.8-mRNA-1_1&gene=genemark-mar-_s32-processed-gene-0.8&CDS=1-405, genemark-mar-_s456-processed-gene-0.6-mRNA-1_1&gene=genemark-mar-_s456-processed-gene-0.6&CDS=1-522, genemark-mar-_s62-processed-gene-0.21-mRNA-1_1&gene=genemark-mar-_s62-processed-gene-0.21&CDS=1-525, genemark-mar-_s92-processed-gene-0.17-mRNA-1_1&gene=genemark-mar-_s92-processed-gene-0.17&CDS=1-528, maker-mar-_s116-snap-gene-0.2-mRNA-1_1&gene=maker-mar-_s116-snap-gene-0.2&CDS=1-492, maker-mar-_s305-augustus-gene-0.13-mRNA-1_1&gene=maker-mar-_s305-augustus-gene-0.13&CDS=1-417, maker-mar-_s37-snap-gene-0.0-mRNA-1_1&gene=maker-mar-_s37-snap-gene-0.0&CDS=1-507, maker-mar-_s500-snap-gene-0.14-mRNA-1_1&gene=maker-mar-_s500-snap-gene-0.14&CDS=1-312, maker-mar-_s500-snap-gene-0.15-mRNA-1_1&gene=maker-mar-_s500-snap-gene-0.15&CDS=1-231, maker-mar-_s73-augustus-gene-1.72-mRNA-1_1&gene=maker-mar-_s73-augustus-gene-1.72&CDS=1-408, snap_masked-mar-_s141-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mar-_s141-processed-gene-0.0&CDS=1-234, snap_masked-mar-_s250-processed-gene-0.33-mRNA-1_1&gene=snap_masked-mar-_s250-processed-gene-0.33&CDS=1-606, snap_masked-mar-_s293-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mar-_s293-processed-gene-0.3&CDS=1-567, snap_masked-mar-_s55-processed-gene-0.15-mRNA-1_1&gene=snap_masked-mar-_s55-processed-gene-0.15&CDS=1-561	YIL041W
OG0000001	augustus_masked-mar-_s113-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mar-_s113-processed-gene-0.9&CDS=1-1641, augustus_masked-mar-_s160-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-mar-_s160-processed-gene-0.26&CDS=1-1125, augustus_masked-mar-_s193-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mar-_s193-processed-gene-0.7&CDS=1-1347, augustus_masked-mar-_s383-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-mar-_s383-processed-gene-0.30&CDS=1-1548, augustus_masked-mar-_s39-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-mar-_s39-processed-gene-0.4&CDS=1-1431, augustus_masked-mar-_s406-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_s406-processed-gene-0.0&CDS=1-810, augustus_masked-mar-_s52-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-mar-_s52-processed-gene-0.5&CDS=1-2169, augustus_masked-mar-_s527-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mar-_s527-processed-gene-0.6&CDS=1-1458, genemark-mar-_s641-processed-gene-0.0-mRNA-1_1&gene=genemark-mar-_s641-processed-gene-0.0&CDS=1-1467, snap_masked-mar-_C35946-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_C35946-processed-gene-0.1&CDS=1-777, snap_masked-mar-_s107-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mar-_s107-processed-gene-0.25&CDS=1-2955, snap_masked-mar-_s18-processed-gene-1.53-mRNA-1_1&gene=snap_masked-mar-_s18-processed-gene-1.53&CDS=1-2664, snap_masked-mar-_s236-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s236-processed-gene-0.17&CDS=1-1467, snap_masked-mar-_s236-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s236-processed-gene-0.21&CDS=1-981, snap_masked-mar-_s236-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mar-_s236-processed-gene-0.22&CDS=1-471, snap_masked-mar-_s244-processed-gene-0.11-mRNA-1_1&gene=snap_masked-mar-_s244-processed-gene-0.11&CDS=1-1293, snap_masked-mar-_s302-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s302-processed-gene-0.17&CDS=1-561, snap_masked-mar-_s310-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s310-processed-gene-0.12&CDS=1-321, snap_masked-mar-_s396-processed-gene-0.2-mRNA-1_1&gene=snap_masked-mar-_s396-processed-gene-0.2&CDS=1-1947, snap_masked-mar-_s47-processed-gene-0.42-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-0.42&CDS=1-1818, snap_masked-mar-_s520-processed-gene-0.76-mRNA-1_1&gene=snap_masked-mar-_s520-processed-gene-0.76&CDS=1-3009, snap_masked-mar-_s614-processed-gene-1.16-mRNA-1_1&gene=snap_masked-mar-_s614-processed-gene-1.16&CDS=1-1545, snap_masked-mar-_s64-processed-gene-1.73-mRNA-1_1&gene=snap_masked-mar-_s64-processed-gene-1.73&CDS=1-2673, snap_masked-mar-_s8-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mar-_s8-processed-gene-0.28&CDS=1-1404	
OG0000002	augustus_masked-mar-_C36374-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mar-_C36374-processed-gene-0.1&CDS=1-1428, augustus_masked-mar-_s187-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-mar-_s187-processed-gene-0.22&CDS=1-366, augustus_masked-mar-_s463-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mar-_s463-processed-gene-0.2&CDS=1-396, snap_masked-mar-_C33938-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_C33938-processed-gene-0.1&CDS=1-810, snap_masked-mar-_C35198-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_C35198-processed-gene-0.1&CDS=1-936, snap_masked-mar-_C38028-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_C38028-processed-gene-0.1&CDS=1-2919, snap_masked-mar-_s107-processed-gene-0.32-mRNA-1_1&gene=snap_masked-mar-_s107-processed-gene-0.32&CDS=1-279, snap_masked-mar-_s135-processed-gene-0.72-mRNA-1_1&gene=snap_masked-mar-_s135-processed-gene-0.72&CDS=1-321, snap_masked-mar-_s264-processed-gene-0.1-mRNA-1_1&gene=snap_masked-mar-_s264-processed-gene-0.1&CDS=1-204, snap_masked-mar-_s33-processed-gene-0.28-mRNA-1_1&gene=snap_masked-mar-_s33-processed-gene-0.28&CDS=1-408, snap_masked-mar-_s4-processed-gene-1.18-mRNA-1_1&gene=snap_masked-mar-_s4-processed-gene-1.18&CDS=1-366, snap_masked-mar-_s500-processed-gene-0.35-mRNA-1_1&gene=snap_masked-mar-_s500-processed-gene-0.35&CDS=1-417, snap_masked-mar-_s54-processed-gene-0.14-mRNA-1_1&gene=snap_masked-mar-_s54-processed-gene-0.14&CDS=1-324, snap_masked-mar-_s585-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mar-_s585-processed-gene-0.19&CDS=1-873, snap_masked-mar-_s78-processed-gene-0.101-mRNA-1_1&gene=snap_masked-mar-_s78-processed-gene-0.101&CDS=1-294	YCL074W
OG0000003	augustus_masked-mar-_C37372-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mar-_C37372-processed-gene-0.1&CDS=1-1869, augustus_masked-mar-_s138-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-mar-_s138-processed-gene-0.155&CDS=1-1449, genemark-mar-_C30600-processed-gene-0.0-mRNA-1_1&gene=genemark-mar-_C30600-processed-gene-0.0&CDS=1-306, genemark-mar-_s25-processed-gene-0.12-mRNA-1_1&gene=genemark-mar-_s25-processed-gene-0.12&CDS=1-822, maker-mar-_s57-augustus-gene-0.32-mRNA-1_1&gene=maker-mar-_s57-augustus-gene-0.32&CDS=1-567, snap_masked-mar-_C30588-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mar-_C30588-processed-gene-0.0&CDS=1-249, snap_masked-mar-_s137-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mar-_s137-processed-gene-0.3&CDS=1-828, snap_masked-mar-_s146-processed-gene-0.60-mRNA-1_1&gene=snap_masked-mar-_s146-processed-gene-0.60&CDS=1-4809, snap_masked-mar-_s380-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mar-_s380-processed-gene-0.34&CDS=1-393, snap_masked-mar-_s42-processed-gene-0.25-mRNA-1_1&gene=snap_masked-mar-_s42-processed-gene-0.25&CDS=1-732, snap_masked-mar-_s454-processed-gene-1.144-mRNA-1_1&gene=snap_masked-mar-_s454-processed-gene-1.144&CDS=1-282, snap_masked-mar-_s559-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mar-_s559-processed-gene-0.0&CDS=1-249, snap_masked-mar-_s592-processed-gene-0.19-mRNA-1_1&gene=snap_masked-mar-_s592-processed-gene-0.19&CDS=1-420	
OG0000004	augustus_masked-mar-_s176-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-mar-_s176-processed-gene-0.30&CDS=1-1458, augustus_masked-mar-_s218-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mar-_s218-processed-gene-0.16&CDS=1-1497, augustus_masked-mar-_s310-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-mar-_s310-processed-gene-0.20&CDS=1-1470, augustus_masked-mar-_s592-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-mar-_s592-processed-gene-0.12&CDS=1-1506, genemark-mar-_s53-processed-gene-0.76-mRNA-1_1&gene=genemark-mar-_s53-processed-gene-0.76&CDS=1-1383, snap_masked-mar-_s106-processed-gene-0.71-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.71&CDS=1-1149, snap_masked-mar-_s194-processed-gene-0.46-mRNA-1_1&gene=snap_masked-mar-_s194-processed-gene-0.46&CDS=1-1728, snap_masked-mar-_s429-processed-gene-0.40-mRNA-1_1&gene=snap_masked-mar-_s429-processed-gene-0.40&CDS=1-1686, snap_masked-mar-_s560-processed-gene-0.27-mRNA-1_1&gene=snap_masked-mar-_s560-processed-gene-0.27&CDS=1-1755, snap_masked-mar-_s561-processed-gene-0.4-mRNA-1_1&gene=snap_masked-mar-_s561-processed-gene-0.4&CDS=1-1398	YDR144C, YLR120C, YLR121C
OG0000005	augustus_masked-mar-_s138-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-mar-_s138-processed-gene-0.153&CDS=1-351, augustus_masked-mar-_s260-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-mar-_s260-processed-gene-0.80&CDS=1-678, augustus_masked-mar-_s306-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-mar-_s306-processed-gene-0.7&CDS=1-324, augustus_masked-mar-_s39-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mar-_s39-processed-gene-0.6&CDS=1-402, augustus_masked-mar-_s430-processed-gene-2.90-mRNA-1_1&gene=augustus_masked-mar-_s430-processed-gene-2.90&CDS=1-399, augustus_masked-mar-_s72-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_s72-processed-gene-0.0&CDS=1-186, snap_masked-mar-_s27-processed-gene-0.20-mRNA-1_1&gene=snap_masked-mar-_s27-processed-gene-0.20&CDS=1-252, snap_masked-mar-_s27-processed-gene-0.36-mRNA-1_1&gene=snap_masked-mar-_s27-processed-gene-0.36&CDS=1-1014	YJL158C, YJL160C, YKL164C
OG0000006	augustus_masked-mar-_C29506-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mar-_C29506-processed-gene-0.1&CDS=1-321, augustus_masked-mar-_C33704-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mar-_C33704-processed-gene-0.0&CDS=1-663, augustus_masked-mar-_s260-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-mar-_s260-processed-gene-0.64&CDS=1-537, augustus_masked-mar-_s516-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-mar-_s516-processed-gene-0.16&CDS=1-1074, augustus_masked-mar-_s88-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-mar-_s88-processed-gene-0.73&CDS=1-414, snap_masked-mar-_s106-processed-gene-0.109-mRNA-1_1&gene=snap_masked-mar-_s106-processed-gene-0.109&CDS=1-903, snap_masked-mar-_s135-processed-gene-3.95-mRNA-1_1&gene=snap_masked-mar-_s135-processed-gene-3.95&CDS=1-900, snap_masked-mar-_s310-processed-gene-0.17-mRNA-1_1&gene=snap_masked-mar-_s310-processed-gene-0.17&CDS=1-957, snap_masked-mar-_s429-processed-gene-0.21-mRNA-1_1&gene=snap_masked-mar-_s429-processed-gene-0.21&CDS=1-882	YKL096W
OG0000007	augustus_masked-mar-_s141-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mar-_s141-processed-gene-0.6&CDS=1-1659, augustus_masked-mar-_s146-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-mar-_s146-processed-gene-0.90&CDS=1-1692, augustus_masked-mar-_s605-processed-gene-0.172-mRNA-1_1&gene=augustus_masked-mar-_s605-processed-gene-0.172&CDS=1-1728, snap_masked-mar-_s200-processed-gene-0.34-mRNA-1_1&gene=snap_masked-mar-_s200-processed-gene-0.34&CDS=1-1668, snap_masked-mar-_s407-processed-gene-0.51-mRNA-1_1&gene=snap_masked-mar-_s407-processed-gene-0.51&CDS=1-1719, snap_masked-mar-_s605-processed-gene-0.76-mRNA-1_1&gene=snap_masked-mar-_s605-processed-gene-0.76&CDS=1-1752, snap_masked-mar-_s64-processed-gene-1.98-mRNA-1_1&gene=snap_masked-mar-_s64-processed-gene-1.98&CDS=1-1812	YKR039W, YLL061W, YPL274W
OG0000008	genemark-mar-_s95-processed-gene-1.167-mRNA-1_1&gene=genemark-mar-_s95-processed-gene-1.167&CDS=1-1647, snap_masked-mar-_s185-processed-gene-4.27-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.27&CDS=1-1362, snap_masked-mar-_s185-processed-gene-4.64-mRNA-1_1&gene=snap_masked-mar-_s185-processed-gene-4.64&CDS=1-1437, snap_masked-mar-_s381-processed-gene-0.22-mRNA-1_1&gene=snap_masked-mar-_s381-processed-gene-0.22&CDS=1-747, snap_masked-mar-_s600-processed-gene-0.3-mRNA-1_1&gene=snap_masked-mar-_s600-processed-gene-0.3&CDS=1-1458	YDL048C, YDR463W, YHR006W, YLR033W, YLR375W
OG0000009	augustus_masked-mar-_s119-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mar-_s119-processed-gene-0.3&CDS=1-1722, snap_masked-mar-_s47-processed-gene-1.202-mRNA-1_1&gene=snap_masked-mar-_s47-processed-gene-1.202&CDS=1-1794, snap_masked-mar-_s513-processed-gene-1.103-mRNA-1_1&gene=snap_masked-mar-_s513-processed-gene-1.103&CDS=1-1743, snap_masked-mar-_s601-processed-gene-0.12-mRNA-1_1&gene=snap_masked-mar-_s601-processed-gene-0.12&CDS=1-1896	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
