	Alloascoidea_hylecoeti	Saccharomyces_cerevisiae
OG0000000	-augustus-gene-19.41-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-augustus-gene-19.41&CDS=1-2943, -augustus-gene-5.179-mRNA-1_1&gene=maker-gi|1002318367|dbj|BCKZ01000016.1|-augustus-gene-5.179&CDS=1-2634, -augustus-gene-5.180-mRNA-1_1&gene=maker-gi|1002318367|dbj|BCKZ01000016.1|-augustus-gene-5.180&CDS=1-4989, -augustus-gene-6.0-mRNA-1_1&gene=maker-gi|1002318381|dbj|BCKZ01000002.1|-augustus-gene-6.0&CDS=1-2508, -processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002318294|dbj|BCKZ01000089.1|-processed-gene-0.1&CDS=1-792, -processed-gene-0.102-mRNA-1_1&gene=snap_masked-gi|1002318368|dbj|BCKZ01000015.1|-processed-gene-0.102&CDS=1-2580, -processed-gene-0.14-mRNA-1_1&gene=snap_masked-gi|1002318353|dbj|BCKZ01000030.1|-processed-gene-0.14&CDS=1-2616, -processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002318289|dbj|BCKZ01000094.1|-processed-gene-0.2&CDS=1-1788, -processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002318297|dbj|BCKZ01000086.1|-processed-gene-0.2&CDS=1-2169, -processed-gene-0.20-mRNA-1_1&gene=snap_masked-gi|1002318355|dbj|BCKZ01000028.1|-processed-gene-0.20&CDS=1-417, -processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002318335|dbj|BCKZ01000048.1|-processed-gene-0.23&CDS=1-1752, -processed-gene-0.46-mRNA-1_1&gene=augustus_masked-gi|1002318347|dbj|BCKZ01000036.1|-processed-gene-0.46&CDS=1-2598, -processed-gene-0.94-mRNA-1_1&gene=snap_masked-gi|1002318368|dbj|BCKZ01000015.1|-processed-gene-0.94&CDS=1-2607, -processed-gene-1.10-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-1.10&CDS=1-1146, -processed-gene-1.129-mRNA-1_1&gene=snap_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-1.129&CDS=1-1683, -processed-gene-1.219-mRNA-1_1&gene=snap_masked-gi|1002318358|dbj|BCKZ01000025.1|-processed-gene-1.219&CDS=1-1494, -processed-gene-1.38-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-1.38&CDS=1-2694, -processed-gene-1.98-mRNA-1_1&gene=snap_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-1.98&CDS=1-2508, -processed-gene-12.32-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-12.32&CDS=1-2604, -processed-gene-19.79-mRNA-1_1&gene=genemark-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-19.79&CDS=1-2220, -processed-gene-19.95-mRNA-1_1&gene=genemark-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-19.95&CDS=1-3315, -processed-gene-2.88-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.88&CDS=1-2577, -processed-gene-21.139-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-21.139&CDS=1-2649, -processed-gene-4.39-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-4.39&CDS=1-2592, -processed-gene-4.71-mRNA-1_1&gene=augustus_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-4.71&CDS=1-2565, -processed-gene-4.99-mRNA-1_1&gene=snap_masked-gi|1002318371|dbj|BCKZ01000012.1|-processed-gene-4.99&CDS=1-2496, -processed-gene-6.193-mRNA-1_1&gene=augustus_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-6.193&CDS=1-351, -processed-gene-7.107-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-7.107&CDS=1-2655, -snap-gene-19.60-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-snap-gene-19.60&CDS=1-2889	
OG0000001	-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-gi|1002318344|dbj|BCKZ01000039.1|-processed-gene-0.18&CDS=1-648, -processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002318344|dbj|BCKZ01000039.1|-processed-gene-0.19&CDS=1-735, -processed-gene-0.49-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-0.49&CDS=1-741, -processed-gene-0.55-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-0.55&CDS=1-741, -processed-gene-0.96-mRNA-1_1&gene=augustus_masked-gi|1002318353|dbj|BCKZ01000030.1|-processed-gene-0.96&CDS=1-744, -processed-gene-1.17-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-1.17&CDS=1-735, -processed-gene-1.43-mRNA-1_1&gene=augustus_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.43&CDS=1-759, -processed-gene-11.13-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-11.13&CDS=1-765, -processed-gene-14.27-mRNA-1_1&gene=genemark-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-14.27&CDS=1-651, -processed-gene-14.61-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-14.61&CDS=1-759, -processed-gene-15.69-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-15.69&CDS=1-759, -processed-gene-18.61-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-18.61&CDS=1-750, -processed-gene-4.46-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-4.46&CDS=1-753, -processed-gene-4.72-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-4.72&CDS=1-759, -processed-gene-9.61-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-9.61&CDS=1-735, -snap-gene-0.60-mRNA-1_1&gene=maker-gi|1002318379|dbj|BCKZ01000004.1|-snap-gene-0.60&CDS=1-642, -snap-gene-15.46-mRNA-1_1&gene=maker-gi|1002318380|dbj|BCKZ01000003.1|-snap-gene-15.46&CDS=1-678, -snap-gene-2.31-mRNA-1_1&gene=maker-gi|1002318362|dbj|BCKZ01000021.1|-snap-gene-2.31&CDS=1-738	YKL071W
OG0000002	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002318347|dbj|BCKZ01000036.1|-processed-gene-0.36&CDS=1-7845, -processed-gene-10.92-mRNA-1_1&gene=snap_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-10.92&CDS=1-7824, -processed-gene-13.160-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-13.160&CDS=1-7851, -processed-gene-16.103-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-16.103&CDS=1-7857, -processed-gene-18.60-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-18.60&CDS=1-7809, -processed-gene-2.10-mRNA-1_1&gene=snap_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-2.10&CDS=1-7809, -processed-gene-2.7-mRNA-1_1&gene=snap_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-2.7&CDS=1-7821, -processed-gene-3.27-mRNA-1_1&gene=snap_masked-gi|1002318362|dbj|BCKZ01000021.1|-processed-gene-3.27&CDS=1-7896, -processed-gene-5.42-mRNA-1_1&gene=augustus_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-5.42&CDS=1-7809, -processed-gene-5.61-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-5.61&CDS=1-7830, -processed-gene-5.7-mRNA-1_1&gene=snap_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-5.7&CDS=1-7989, -processed-gene-6.10-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-6.10&CDS=1-7719, -processed-gene-7.71-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-7.71&CDS=1-7845, -processed-gene-7.80-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-7.80&CDS=1-7839, -processed-gene-8.14-mRNA-1_1&gene=snap_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-8.14&CDS=1-8106, -processed-gene-9.129-mRNA-1_1&gene=augustus_masked-gi|1002318376|dbj|BCKZ01000007.1|-processed-gene-9.129&CDS=1-7770, -processed-gene-9.26-mRNA-1_1&gene=snap_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-9.26&CDS=1-8133	YBR140C, YOL081W
OG0000003	-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002318339|dbj|BCKZ01000044.1|-processed-gene-0.23&CDS=1-1503, -processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|1002318361|dbj|BCKZ01000022.1|-processed-gene-0.28&CDS=1-1533, -processed-gene-0.32-mRNA-1_1&gene=augustus_masked-gi|1002318339|dbj|BCKZ01000044.1|-processed-gene-0.32&CDS=1-1515, -processed-gene-0.67-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-0.67&CDS=1-1593, -processed-gene-0.73-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-0.73&CDS=1-1602, -processed-gene-0.80-mRNA-1_1&gene=snap_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-0.80&CDS=1-1536, -processed-gene-1.53-mRNA-1_1&gene=augustus_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-1.53&CDS=1-1800, -processed-gene-1.9-mRNA-1_1&gene=augustus_masked-gi|1002318355|dbj|BCKZ01000028.1|-processed-gene-1.9&CDS=1-1614, -processed-gene-10.43-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-10.43&CDS=1-1605, -processed-gene-10.78-mRNA-1_1&gene=snap_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-10.78&CDS=1-1572, -processed-gene-2.21-mRNA-1_1&gene=snap_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-2.21&CDS=1-1587, -processed-gene-3.13-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-3.13&CDS=1-1506, -processed-gene-4.48-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-4.48&CDS=1-1539, -processed-gene-5.14-mRNA-1_1&gene=snap_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-5.14&CDS=1-357, -processed-gene-5.37-mRNA-1_1&gene=augustus_masked-gi|1002318372|dbj|BCKZ01000011.1|-processed-gene-5.37&CDS=1-687, -processed-gene-6.114-mRNA-1_1&gene=augustus_masked-gi|1002318374|dbj|BCKZ01000009.1|-processed-gene-6.114&CDS=1-1536, -processed-gene-6.264-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-6.264&CDS=1-1560	YGR212W
OG0000004	-processed-gene-0.1-mRNA-1_1&gene=genemark-gi|1002318287|dbj|BCKZ01000096.1|-processed-gene-0.1&CDS=1-600, -processed-gene-1.54-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-1.54&CDS=1-1110, -processed-gene-1.79-mRNA-1_1&gene=snap_masked-gi|1002318370|dbj|BCKZ01000013.1|-processed-gene-1.79&CDS=1-963, -processed-gene-10.108-mRNA-1_1&gene=augustus_masked-gi|1002318377|dbj|BCKZ01000006.1|-processed-gene-10.108&CDS=1-1113, -processed-gene-12.19-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-12.19&CDS=1-1122, -processed-gene-12.31-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-12.31&CDS=1-1122, -processed-gene-14.102-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-14.102&CDS=1-1104, -processed-gene-14.83-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-14.83&CDS=1-1047, -processed-gene-9.14-mRNA-1_1&gene=augustus_masked-gi|1002318381|dbj|BCKZ01000002.1|-processed-gene-9.14&CDS=1-1131, -processed-gene-9.53-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.53&CDS=1-1119, -snap-gene-4.80-mRNA-1_1&gene=maker-gi|1002318369|dbj|BCKZ01000014.1|-snap-gene-4.80&CDS=1-1749	YCR102C, YLR460C, YNL134C
OG0000005	-processed-gene-0.11-mRNA-1_1&gene=snap_masked-gi|1002318336|dbj|BCKZ01000047.1|-processed-gene-0.11&CDS=1-1443, -processed-gene-0.28-mRNA-1_1&gene=snap_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.28&CDS=1-564, -processed-gene-0.3-mRNA-1_1&gene=augustus_masked-gi|1002318348|dbj|BCKZ01000035.1|-processed-gene-0.3&CDS=1-2493, -processed-gene-0.8-mRNA-1_1&gene=augustus_masked-gi|1002318340|dbj|BCKZ01000043.1|-processed-gene-0.8&CDS=1-1146, -processed-gene-1.17-mRNA-1_1&gene=augustus_masked-gi|1002318355|dbj|BCKZ01000028.1|-processed-gene-1.17&CDS=1-375, -processed-gene-1.174-mRNA-1_1&gene=snap_masked-gi|1002318357|dbj|BCKZ01000026.1|-processed-gene-1.174&CDS=1-414, -processed-gene-12.79-mRNA-1_1&gene=snap_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-12.79&CDS=1-852, -processed-gene-3.33-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-3.33&CDS=1-558, -processed-gene-4.119-mRNA-1_1&gene=snap_masked-gi|1002318369|dbj|BCKZ01000014.1|-processed-gene-4.119&CDS=1-222, -processed-gene-6.231-mRNA-1_1&gene=augustus_masked-gi|1002318373|dbj|BCKZ01000010.1|-processed-gene-6.231&CDS=1-2076, -processed-gene-8.46-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-8.46&CDS=1-1944	YJR112W
OG0000006	-augustus-gene-0.50-mRNA-1_1&gene=maker-gi|1002318358|dbj|BCKZ01000025.1|-augustus-gene-0.50&CDS=1-1242, -augustus-gene-0.72-mRNA-1_1&gene=maker-gi|1002318356|dbj|BCKZ01000027.1|-augustus-gene-0.72&CDS=1-1263, -augustus-gene-1.3-mRNA-1_1&gene=maker-gi|1002318369|dbj|BCKZ01000014.1|-augustus-gene-1.3&CDS=1-1290, -augustus-gene-18.74-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-augustus-gene-18.74&CDS=1-1230, -augustus-gene-20.54-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-augustus-gene-20.54&CDS=1-504, -augustus-gene-6.7-mRNA-1_1&gene=maker-gi|1002318375|dbj|BCKZ01000008.1|-augustus-gene-6.7&CDS=1-1311, -augustus-gene-8.36-mRNA-1_1&gene=maker-gi|1002318377|dbj|BCKZ01000006.1|-augustus-gene-8.36&CDS=1-1224, -processed-gene-0.133-mRNA-1_1&gene=augustus_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-0.133&CDS=1-987, -processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002318356|dbj|BCKZ01000027.1|-processed-gene-0.23&CDS=1-1212, -processed-gene-1.113-mRNA-1_1&gene=snap_masked-gi|1002318355|dbj|BCKZ01000028.1|-processed-gene-1.113&CDS=1-960, -processed-gene-2.18-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-2.18&CDS=1-1260, -snap-gene-20.40-mRNA-1_1&gene=maker-gi|1002318382|dbj|BCKZ01000001.1|-snap-gene-20.40&CDS=1-543	
OG0000007	-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-0.18&CDS=1-1077, -processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002318348|dbj|BCKZ01000035.1|-processed-gene-0.26&CDS=1-1065, -processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002318367|dbj|BCKZ01000016.1|-processed-gene-0.26&CDS=1-1104, -processed-gene-12.112-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-12.112&CDS=1-1056, -processed-gene-3.83-mRNA-1_1&gene=augustus_masked-gi|1002318365|dbj|BCKZ01000018.1|-processed-gene-3.83&CDS=1-1068, -processed-gene-5.59-mRNA-1_1&gene=augustus_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-5.59&CDS=1-1065	YDR541C, YGL039W, YGL157W, YOL151W
OG0000008	-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-gi|1002318339|dbj|BCKZ01000044.1|-processed-gene-0.31&CDS=1-426, -processed-gene-11.60-mRNA-1_1&gene=augustus_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-11.60&CDS=1-654, -processed-gene-11.81-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-11.81&CDS=1-429, -processed-gene-11.93-mRNA-1_1&gene=augustus_masked-gi|1002318382|dbj|BCKZ01000001.1|-processed-gene-11.93&CDS=1-429, -processed-gene-12.89-mRNA-1_1&gene=snap_masked-gi|1002318380|dbj|BCKZ01000003.1|-processed-gene-12.89&CDS=1-432, -processed-gene-13.133-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-13.133&CDS=1-453, -processed-gene-13.164-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-13.164&CDS=1-429, -processed-gene-4.72-mRNA-1_1&gene=augustus_masked-gi|1002318364|dbj|BCKZ01000019.1|-processed-gene-4.72&CDS=1-702	YKL096W
OG0000009	-processed-gene-0.147-mRNA-1_1&gene=snap_masked-gi|1002318354|dbj|BCKZ01000029.1|-processed-gene-0.147&CDS=1-2040, -processed-gene-0.45-mRNA-1_1&gene=snap_masked-gi|1002318350|dbj|BCKZ01000033.1|-processed-gene-0.45&CDS=1-1479, -processed-gene-3.63-mRNA-1_1&gene=augustus_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-3.63&CDS=1-2037, -processed-gene-4.21-mRNA-1_1&gene=snap_masked-gi|1002318379|dbj|BCKZ01000004.1|-processed-gene-4.21&CDS=1-2055, -processed-gene-5.80-mRNA-1_1&gene=snap_masked-gi|1002318378|dbj|BCKZ01000005.1|-processed-gene-5.80&CDS=1-2046, -processed-gene-9.167-mRNA-1_1&gene=snap_masked-gi|1002318375|dbj|BCKZ01000008.1|-processed-gene-9.167&CDS=1-2064	YML111W, YMR275C, YNR069C
