	Metschnikowia_mauinuiana	Saccharomyces_cerevisiae
OG0000000	augustus_masked-mau_s124-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-mau_s124-processed-gene-1.57&CDS=1-717, augustus_masked-mau_s221-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-mau_s221-processed-gene-0.61&CDS=1-1215, augustus_masked-mau_s23-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-mau_s23-processed-gene-1.106&CDS=1-510, augustus_masked-mau_s233-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-mau_s233-processed-gene-0.91&CDS=1-1437, augustus_masked-mau_s257-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-mau_s257-processed-gene-0.2&CDS=1-408, augustus_masked-mau_s28-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-mau_s28-processed-gene-0.11&CDS=1-1905, augustus_masked-mau_s7-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-mau_s7-processed-gene-1.18&CDS=1-4383, genemark-mau_C24084-processed-gene-0.0-mRNA-1_1&gene=genemark-mau_C24084-processed-gene-0.0&CDS=1-693, maker-mau_s259-augustus-gene-0.103-mRNA-1_1&gene=maker-mau_s259-augustus-gene-0.103&CDS=1-1014, maker-mau_s7-snap-gene-1.83-mRNA-1_1&gene=maker-mau_s7-snap-gene-1.83&CDS=1-2649, snap_masked-mau_s256-processed-gene-0.0-mRNA-1_1&gene=snap_masked-mau_s256-processed-gene-0.0&CDS=1-708, snap_masked-mau_s28-processed-gene-0.41-mRNA-1_1&gene=snap_masked-mau_s28-processed-gene-0.41&CDS=1-2145, snap_masked-mau_s7-processed-gene-1.123-mRNA-1_1&gene=snap_masked-mau_s7-processed-gene-1.123&CDS=1-198	
OG0000001	augustus_masked-mau_s158-processed-gene-3.148-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-3.148&CDS=1-1176, maker-mau_s147-snap-gene-0.93-mRNA-1_1&gene=maker-mau_s147-snap-gene-0.93&CDS=1-225, maker-mau_s172-snap-gene-0.46-mRNA-1_1&gene=maker-mau_s172-snap-gene-0.46&CDS=1-1446, maker-mau_s252-snap-gene-0.0-mRNA-1_1&gene=maker-mau_s252-snap-gene-0.0&CDS=1-285, maker-mau_s45-snap-gene-1.135-mRNA-1_1&gene=maker-mau_s45-snap-gene-1.135&CDS=1-252, maker-mau_s45-snap-gene-1.136-mRNA-1_1&gene=maker-mau_s45-snap-gene-1.136&CDS=1-183, maker-mau_s54-snap-gene-0.45-mRNA-1_1&gene=maker-mau_s54-snap-gene-0.45&CDS=1-609	YHL021C, YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
OG0000002	augustus_masked-mau_C27304-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-mau_C27304-processed-gene-0.0&CDS=1-1665, augustus_masked-mau_s2-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mau_s2-processed-gene-0.17&CDS=1-1653, augustus_masked-mau_s3-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-2.117&CDS=1-1722, augustus_masked-mau_s45-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-mau_s45-processed-gene-0.44&CDS=1-1713, augustus_masked-mau_s89-processed-gene-5.20-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-5.20&CDS=1-1728, augustus_masked-mau_s89-processed-gene-5.42-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-5.42&CDS=1-1752, genemark-mau_s259-processed-gene-0.4-mRNA-1_1&gene=genemark-mau_s259-processed-gene-0.4&CDS=1-1812	YKR039W, YLL061W, YPL274W
OG0000003	augustus_masked-mau_s120-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-mau_s120-processed-gene-0.70&CDS=1-876, augustus_masked-mau_s158-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-0.53&CDS=1-894, augustus_masked-mau_s182-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-mau_s182-processed-gene-0.21&CDS=1-1158, augustus_masked-mau_s207-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-mau_s207-processed-gene-0.3&CDS=1-873, augustus_masked-mau_s24-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-mau_s24-processed-gene-0.17&CDS=1-876, augustus_masked-mau_s3-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-mau_s3-processed-gene-0.100&CDS=1-984, augustus_masked-mau_s31-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-mau_s31-processed-gene-0.6&CDS=1-450, snap_masked-mau_s134-processed-gene-1.104-mRNA-1_1&gene=snap_masked-mau_s134-processed-gene-1.104&CDS=1-915, snap_masked-mau_s142-processed-gene-0.23-mRNA-1_1&gene=snap_masked-mau_s142-processed-gene-0.23&CDS=1-537	YKL096W
OG0000004	augustus_masked-mau_C25394-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-mau_C25394-processed-gene-0.1&CDS=1-927, augustus_masked-mau_s120-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-mau_s120-processed-gene-0.52&CDS=1-1686, augustus_masked-mau_s205-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-mau_s205-processed-gene-0.46&CDS=1-1764, augustus_masked-mau_s267-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-mau_s267-processed-gene-0.9&CDS=1-1485, augustus_masked-mau_s270-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-mau_s270-processed-gene-0.13&CDS=1-1461, augustus_masked-mau_s46-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-mau_s46-processed-gene-0.130&CDS=1-2052	YDR144C, YLR120C, YLR121C
OG0000005	augustus_masked-mau_s156-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-mau_s156-processed-gene-0.52&CDS=1-2760, augustus_masked-mau_s158-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.70&CDS=1-3393, augustus_masked-mau_s158-processed-gene-2.71-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.71&CDS=1-3531, augustus_masked-mau_s158-processed-gene-2.74-mRNA-1_1&gene=augustus_masked-mau_s158-processed-gene-2.74&CDS=1-3165, augustus_masked-mau_s40-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-mau_s40-processed-gene-0.57&CDS=1-2940, augustus_masked-mau_s86-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-mau_s86-processed-gene-1.106&CDS=1-2649, augustus_masked-mau_s89-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-mau_s89-processed-gene-1.96&CDS=1-3438	YLR256W, YMR168C
OG0000006	augustus_masked-mau_s193-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-mau_s193-processed-gene-0.51&CDS=1-1788, augustus_masked-mau_s22-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-mau_s22-processed-gene-0.54&CDS=1-1719, augustus_masked-mau_s85-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-mau_s85-processed-gene-1.98&CDS=1-1752, genemark-mau_s247-processed-gene-1.149-mRNA-1_1&gene=genemark-mau_s247-processed-gene-1.149&CDS=1-1749	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
OG0000007		YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W
OG0000008	augustus_masked-mau_s12-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-mau_s12-processed-gene-0.23&CDS=1-2277, augustus_masked-mau_s193-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-mau_s193-processed-gene-0.39&CDS=1-3288, augustus_masked-mau_s45-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-mau_s45-processed-gene-1.93&CDS=1-3372, genemark-mau_s89-processed-gene-5.56-mRNA-1_1&gene=genemark-mau_s89-processed-gene-5.56&CDS=1-2646	YER013W, YGL120C, YKR086W, YNR011C
OG0000009	augustus_masked-mau_s193-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-mau_s193-processed-gene-0.42&CDS=1-2229, augustus_masked-mau_s25-processed-gene-1.35-mRNA-1_1&gene=augustus_masked-mau_s25-processed-gene-1.35&CDS=1-2253, augustus_masked-mau_s250-processed-gene-1.174-mRNA-1_1&gene=augustus_masked-mau_s250-processed-gene-1.174&CDS=1-1773, augustus_masked-mau_s39-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-mau_s39-processed-gene-0.55&CDS=1-1428, genemark-mau_s67-processed-gene-0.52-mRNA-1_1&gene=genemark-mau_s67-processed-gene-0.52&CDS=1-2259, maker-mau_s94-snap-gene-0.50-mRNA-1_1&gene=maker-mau_s94-snap-gene-0.50&CDS=1-2589	YJR061W, YKL201C
