	Ambrosiozyma_kashinagacola	Saccharomyces_cerevisiae
OG0000000		YBR012W-B, YDR098C-B, YDR210C-D, YDR316W-B, YDR365W-B, YER138C, YER160C, YGR027W-B, YGR038C-B, YGR161C-D, YHR214C-B, YJR027W, YJR029W, YLR157C-B, YLR227W-B, YML039W, YML045W, YMR050C, YNL054W-B, YOL103W-B, YOR142W-B, YPL257W-B, YPR137C-B, YPR158C-D, YPR158W-B
OG0000001	-augustus-gene-6.166-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-6.166&CDS=1-2184, -processed-gene-1.26-mRNA-1_1&gene=snap_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-1.26&CDS=1-1665, -processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-1.51&CDS=1-2958, -processed-gene-10.31-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-10.31&CDS=1-2208, -processed-gene-11.9-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-11.9&CDS=1-2400, -processed-gene-2.16-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-2.16&CDS=1-1428, -processed-gene-2.41-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-2.41&CDS=1-2457, -processed-gene-3.86-mRNA-1_1&gene=snap_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-3.86&CDS=1-1737, -processed-gene-4.92-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-4.92&CDS=1-2685, -processed-gene-5.113-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.113&CDS=1-762, -processed-gene-5.94-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-5.94&CDS=1-696, -processed-gene-6.127-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-6.127&CDS=1-1938, -processed-gene-6.93-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-6.93&CDS=1-1920, -processed-gene-7.109-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-7.109&CDS=1-2640, -snap-gene-0.54-mRNA-1_1&gene=maker-gi|1002316255|dbj|BCGA01000002.1|-snap-gene-0.54&CDS=1-1818, -snap-gene-2.103-mRNA-1_1&gene=maker-gi|1002316255|dbj|BCGA01000002.1|-snap-gene-2.103&CDS=1-1845	YBR240C
OG0000002	-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.105&CDS=1-1815, -processed-gene-0.19-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-0.19&CDS=1-2040, -processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.51&CDS=1-1689, -processed-gene-5.3-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-5.3&CDS=1-2067, -processed-gene-5.95-mRNA-1_1&gene=genemark-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-5.95&CDS=1-2031, -processed-gene-7.120-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-7.120&CDS=1-1608, -processed-gene-7.67-mRNA-1_1&gene=genemark-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-7.67&CDS=1-1908, -snap-gene-0.50-mRNA-1_1&gene=maker-gi|1002316252|dbj|BCGA01000005.1|-snap-gene-0.50&CDS=1-5340, -snap-gene-11.55-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-snap-gene-11.55&CDS=1-3468, -snap-gene-14.10-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-snap-gene-14.10&CDS=1-3306, -snap-gene-2.88-mRNA-1_1&gene=maker-gi|1002316253|dbj|BCGA01000004.1|-snap-gene-2.88&CDS=1-3900, -snap-gene-7.140-mRNA-1_1&gene=maker-gi|1002316255|dbj|BCGA01000002.1|-snap-gene-7.140&CDS=1-1905	YBR015C, YLL018C-A
OG0000003	-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-1.5&CDS=1-2145, -processed-gene-10.24-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-10.24&CDS=1-9072, -processed-gene-10.25-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-10.25&CDS=1-4179, -processed-gene-2.106-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.106&CDS=1-2874, -processed-gene-2.61-mRNA-1_1&gene=augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-2.61&CDS=1-2430, -processed-gene-2.62-mRNA-1_1&gene=augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-2.62&CDS=1-2526, -processed-gene-2.63-mRNA-1_1&gene=augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-2.63&CDS=1-2769, -processed-gene-2.91-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-2.91&CDS=1-3159, -processed-gene-3.149-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-3.149&CDS=1-3003, -processed-gene-3.150-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-3.150&CDS=1-2886, -processed-gene-3.151-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-3.151&CDS=1-2889	YLR253W, YLR256W
OG0000004	-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-0.27&CDS=1-1611, -processed-gene-0.92-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-0.92&CDS=1-1599, -processed-gene-1.108-mRNA-1_1&gene=augustus_masked-gi|1002316245|dbj|BCGA01000012.1|-processed-gene-1.108&CDS=1-1650, -processed-gene-2.144-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-2.144&CDS=1-1656, -processed-gene-5.21-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-5.21&CDS=1-1602, -processed-gene-6.229-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.229&CDS=1-1728, -processed-gene-6.50-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-6.50&CDS=1-1656, -processed-gene-6.83-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-6.83&CDS=1-1722	YDR242W
OG0000005	-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.108&CDS=1-1563, -processed-gene-0.71-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-0.71&CDS=1-1620, -processed-gene-1.134-mRNA-1_1&gene=augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-1.134&CDS=1-1728, -processed-gene-14.56-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-14.56&CDS=1-1557, -processed-gene-16.7-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-16.7&CDS=1-1629, -processed-gene-3.15-mRNA-1_1&gene=genemark-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-3.15&CDS=1-1812, -snap-gene-1.105-mRNA-1_1&gene=maker-gi|1002316245|dbj|BCGA01000012.1|-snap-gene-1.105&CDS=1-6918	YAL067C, YCR028C
OG0000006	-augustus-gene-1.109-mRNA-1_1&gene=maker-gi|1002316255|dbj|BCGA01000002.1|-augustus-gene-1.109&CDS=1-4503, -processed-gene-1.130-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-1.130&CDS=1-4497, -processed-gene-1.153-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-1.153&CDS=1-4557, -processed-gene-2.110-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-2.110&CDS=1-4530, -processed-gene-2.78-mRNA-1_1&gene=augustus_masked-gi|1002316245|dbj|BCGA01000012.1|-processed-gene-2.78&CDS=1-4497, -processed-gene-3.19-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-3.19&CDS=1-4662	YDR011W, YOR153W, YPL058C
OG0000007	-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.67&CDS=1-1647, -processed-gene-4.90-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-4.90&CDS=1-1719, -processed-gene-5.44-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-5.44&CDS=1-1638, -processed-gene-8.83-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-8.83&CDS=1-1611, -snap-gene-4.49-mRNA-1_1&gene=maker-gi|1002316251|dbj|BCGA01000006.1|-snap-gene-4.49&CDS=1-3315	YDR342C, YDR343C, YDR345C, YHR092C
OG0000008	-processed-gene-1.12-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-1.12&CDS=1-1926, -processed-gene-2.0-mRNA-1_1&gene=snap_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-2.0&CDS=1-2298, -processed-gene-2.1-mRNA-1_1&gene=snap_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-2.1&CDS=1-2274, -processed-gene-2.30-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.30&CDS=1-2349, -processed-gene-5.16-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-5.16&CDS=1-2628	YML111W, YMR275C, YNR069C
OG0000009	-processed-gene-1.19-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-1.19&CDS=1-2727, -processed-gene-12.234-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-12.234&CDS=1-2967, -processed-gene-4.20-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-4.20&CDS=1-3147, -processed-gene-4.58-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-4.58&CDS=1-2316	YER013W, YGL120C, YKR086W, YNR011C
