	Pichia_membranifaciens	Saccharomyces_cerevisiae
OG0000000	maker-scaffold_3-snap-gene-0.115-mRNA-1_1&gene=maker-scaffold_3-snap-gene-0.115&CDS=1-1176	YBL112C, YEL077C, YFL066C, YHR218W-A, YLL066C, YLL067C, YLR466W, YML133C, YPR204W
OG0000001	augustus_masked-scaffold_3-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-0.4&CDS=1-1641, augustus_masked-scaffold_9-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-0.6&CDS=1-1614, maker-scaffold_2-snap-gene-18.107-mRNA-1_1&gene=maker-scaffold_2-snap-gene-18.107&CDS=1-3111, snap_masked-scaffold_5-processed-gene-12.49-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.49&CDS=1-1596, snap_masked-scaffold_8-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.35&CDS=1-1572, snap_masked-scaffold_9-processed-gene-0.49-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.49&CDS=1-1587, snap_masked-scaffold_9-processed-gene-0.53-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-0.53&CDS=1-1581	YJR152W
OG0000002	snap_masked-scaffold_1-processed-gene-18.29-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.29&CDS=1-1491, snap_masked-scaffold_1-processed-gene-21.98-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.98&CDS=1-1512, snap_masked-scaffold_1-processed-gene-7.48-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.48&CDS=1-1575, snap_masked-scaffold_2-processed-gene-14.30-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.30&CDS=1-1503	YMR169C, YMR170C, YOR374W
OG0000003	augustus_masked-scaffold_2-processed-gene-25.256-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-25.256&CDS=1-1419, maker-scaffold_1-snap-gene-15.51-mRNA-1_1&gene=maker-scaffold_1-snap-gene-15.51&CDS=1-3084, snap_masked-scaffold_5-processed-gene-12.54-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.54&CDS=1-1053	YDR541C, YGL039W, YGL157W, YOL151W
OG0000004	snap_masked-scaffold_1-processed-gene-17.56-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.56&CDS=1-1398, snap_masked-scaffold_1-processed-gene-18.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.28&CDS=1-1344	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
OG0000005	augustus_masked-scaffold_2-processed-gene-9.33-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-9.33&CDS=1-2712, maker-scaffold_4-snap-gene-9.6-mRNA-1_1&gene=maker-scaffold_4-snap-gene-9.6&CDS=1-3237, snap_masked-scaffold_1-processed-gene-20.33-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.33&CDS=1-1677, snap_masked-scaffold_4-processed-gene-7.62-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.62&CDS=1-2196, snap_masked-scaffold_5-processed-gene-12.48-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.48&CDS=1-1734, snap_masked-scaffold_6-processed-gene-4.65-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.65&CDS=1-1326	YBR240C
OG0000006	augustus_masked-scaffold_2-processed-gene-14.6-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.6&CDS=1-2079, augustus_masked-scaffold_5-processed-gene-11.98-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.98&CDS=1-9711	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
OG0000007	augustus_masked-scaffold_4-processed-gene-13.38-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.38&CDS=1-1209, augustus_masked-scaffold_4-processed-gene-13.44-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.44&CDS=1-2223, maker-scaffold_2-augustus-gene-25.2-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-25.2&CDS=1-3051, snap_masked-scaffold_6-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.89&CDS=1-1008, snap_masked-scaffold_6-processed-gene-4.49-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.49&CDS=1-1200, snap_masked-scaffold_8-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-0.14&CDS=1-1164	YLL057C
OG0000008	snap_masked-scaffold_1-processed-gene-0.106-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.106&CDS=1-1722, snap_masked-scaffold_2-processed-gene-0.74-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.74&CDS=1-1758	YDR380W, YGR087C, YLR044C, YLR134W
OG0000009	augustus_masked-scaffold_5-processed-gene-7.118-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-7.118&CDS=1-1149, augustus_masked-scaffold_8-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.38&CDS=1-1299, snap_masked-scaffold_1-processed-gene-19.73-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.73&CDS=1-1227, snap_masked-scaffold_3-processed-gene-11.35-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.35&CDS=1-1149	YBR207W, YER145C
OG0000010	augustus_masked-scaffold_9-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.178&CDS=1-1629, maker-scaffold_1-augustus-gene-23.54-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-23.54&CDS=1-3297, snap_masked-scaffold_2-processed-gene-3.93-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.93&CDS=1-1665, snap_masked-scaffold_4-processed-gene-12.21-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.21&CDS=1-1713, snap_masked-scaffold_6-processed-gene-0.108-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.108&CDS=1-1650	YDR242W
OG0000011	augustus_masked-scaffold_2-processed-gene-12.99-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.99&CDS=1-3336, augustus_masked-scaffold_7-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-0.55&CDS=1-2808, snap_masked-scaffold_4-processed-gene-5.2-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-5.2&CDS=1-1356, snap_masked-scaffold_4-processed-gene-7.45-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.45&CDS=1-1296, snap_masked-scaffold_5-processed-gene-12.59-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.59&CDS=1-1308	YOR216C
OG0000012	augustus_masked-scaffold_3-processed-gene-7.35-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-7.35&CDS=1-1506, genemark-scaffold_6-processed-gene-0.29-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-0.29&CDS=1-1497, maker-scaffold_9-snap-gene-0.131-mRNA-1_1&gene=maker-scaffold_9-snap-gene-0.131&CDS=1-7818, snap_masked-scaffold_2-processed-gene-14.49-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.49&CDS=1-1686	YCR028C, YLR004C
OG0000013	augustus_masked-scaffold_4-processed-gene-11.27-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.27&CDS=1-1134, snap_masked-scaffold_3-processed-gene-2.70-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.70&CDS=1-1128, snap_masked-scaffold_4-processed-gene-0.46-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.46&CDS=1-1062	YMR083W, YMR303C, YOL086C
OG0000014	maker-scaffold_3-snap-gene-6.101-mRNA-1_1&gene=maker-scaffold_3-snap-gene-6.101&CDS=1-3465, maker-scaffold_5-snap-gene-8.0-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.0&CDS=1-3450	YEL063C, YNL268W, YNL270C, YOR348C
OG0000015	augustus_masked-scaffold_5-processed-gene-6.7-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.7&CDS=1-3378	YDR155C, YDR304C, YHR057C, YLR216C, YML078W
OG0000016		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
OG0000017	genemark-scaffold_1-processed-gene-1.92-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.92&CDS=1-1686, maker-scaffold_3-augustus-gene-14.121-mRNA-1_1&gene=maker-scaffold_3-augustus-gene-14.121&CDS=1-2868, snap_masked-scaffold_3-processed-gene-12.102-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.102&CDS=1-1662, snap_masked-scaffold_9-processed-gene-1.84-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-1.84&CDS=1-1662	YDL210W
OG0000018	augustus_masked-scaffold_9-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-1.143&CDS=1-1194, maker-scaffold_2-snap-gene-15.109-mRNA-1_1&gene=maker-scaffold_2-snap-gene-15.109&CDS=1-2331, snap_masked-scaffold_1-processed-gene-8.53-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.53&CDS=1-1194	YHR179W, YPL171C
OG0000019	augustus_masked-scaffold_2-processed-gene-4.66-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.66&CDS=1-4698, snap_masked-scaffold_1-processed-gene-8.72-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.72&CDS=1-3285	YDL056W, YDL057W, YER111C
OG0000020	augustus_masked-scaffold_1-processed-gene-22.137-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.137&CDS=1-4449, snap_masked-scaffold_1-processed-gene-10.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.80&CDS=1-2016	YML111W, YMR275C, YNR069C
OG0000021	augustus_masked-scaffold_1-processed-gene-10.125-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.125&CDS=1-1692, augustus_masked-scaffold_5-processed-gene-1.3-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.3&CDS=1-1986, maker-scaffold_5-augustus-gene-1.53-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-1.53&CDS=1-3222	YKR093W, YMR034C
OG0000022	maker-scaffold_1-augustus-gene-16.81-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-16.81&CDS=1-4563, snap_masked-scaffold_1-processed-gene-25.144-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.144&CDS=1-4509, snap_masked-scaffold_4-processed-gene-6.91-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.91&CDS=1-4599, snap_masked-scaffold_5-processed-gene-12.60-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-12.60&CDS=1-6249	YDR011W
OG0000023	snap_masked-scaffold_1-processed-gene-21.105-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-21.105&CDS=1-1629	YBR298C, YDL247W, YGR289C, YJR160C
OG0000024	snap_masked-scaffold_1-processed-gene-23.103-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.103&CDS=1-3684, snap_masked-scaffold_5-processed-gene-8.54-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.54&CDS=1-3672	YCL024W, YDR507C, YKL101W
