	Saccharomyces_cerevisiae	Saitoella_complicata
OG0000000	YIL147C	XP_019020713.1, XP_019020916.1, XP_019023099.1, XP_019023138.1, XP_019023447.1, XP_019023515.1, XP_019023677.1, XP_019023847.1, XP_019024539.1, XP_019024592.1, XP_019025063.1, XP_019025104.1, XP_019025746.1, XP_019025837.1, XP_019025928.1, XP_019026218.1, XP_019026485.1, XP_019027453.1
OG0000001	YLR014C, YPL248C	XP_019020764.1, XP_019020940.1, XP_019021392.1, XP_019021482.1, XP_019022152.1, XP_019022671.1, XP_019023784.1, XP_019024175.1, XP_019024476.1, XP_019024525.1, XP_019025699.1, XP_019025743.1, XP_019025812.1, XP_019026555.1, XP_019026828.1, XP_019027244.1, XP_019027450.1
OG0000002	YGR260W, YIL166C	XP_019020842.1, XP_019020887.1, XP_019021516.1, XP_019022022.1, XP_019022062.1, XP_019022583.1, XP_019022818.1, XP_019023534.1, XP_019025390.1, XP_019025532.1, XP_019025800.1, XP_019026269.1, XP_019027268.1
OG0000003	YBR008C, YHR048W, YLL028W	XP_019021480.1, XP_019022030.1, XP_019022281.1, XP_019022681.1, XP_019022805.1, XP_019023174.1, XP_019024055.1, XP_019025733.1, XP_019026049.1, XP_019026945.1, XP_019027032.1
OG0000004	YDR144C, YGL259W, YIR039C, YLR120C, YLR121C	XP_019020721.1, XP_019020917.1, XP_019021447.1, XP_019022997.1, XP_019025562.1, XP_019027604.1
OG0000005	YKL220C, YLL051C, YNR060W, YOL152W, YOR381W, YOR384W	XP_019022082.1, XP_019024257.1, XP_019024850.1, XP_019026223.1, XP_019027357.1
OG0000006	YCR060W, YIR004W, YJR097W	XP_019022032.1, XP_019022359.1, XP_019022809.1, XP_019024584.1, XP_019025471.1, XP_019026214.1, XP_019027443.1
OG0000007	YDR146C, YER130C, YLR131C, YMR182C, YNL027W	XP_019021049.1, XP_019022783.1, XP_019022891.1, XP_019023979.1, XP_019027465.1
OG0000008	YDR342C, YDR343C, YDR345C, YFL011W, YHR092C, YHR094C, YHR096C, YJL219W, YMR011W, YOL156W	
OG0000009	YBL063W, YGL216W, YPL155C	XP_019020757.1, XP_019021353.1, XP_019022350.1, XP_019022923.1, XP_019023110.1, XP_019025437.1
OG0000010	YBR021W, YIR028W	XP_019021076.1, XP_019021484.1, XP_019021575.1, XP_019022419.1, XP_019024532.1, XP_019026462.1, XP_019026831.1
OG0000011	YBR260C, YDR379W, YOR127W, YPL115C	XP_019021677.1, XP_019023973.1, XP_019026380.1, XP_019026469.1, XP_019026680.1
OG0000012	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W	XP_019024491.1, XP_019026618.1, XP_019027223.1, XP_019027576.1
OG0000013	YDR122W, YDR477W, YKL101W, YLR096W, YPL150W	XP_019021553.1, XP_019022830.1, XP_019026016.1, XP_019027306.1
