	Saccharomyces_cerevisiae	Tortispora_caseinolytica
OG0000000	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNL318C, YNR072W, YOL156W	
OG0000001	YPL213W	augustus_masked-scaffold_4-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.59&CDS=1-3060, maker-scaffold_1-augustus-gene-5.115-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-5.115&CDS=1-4920, maker-scaffold_1-snap-gene-25.47-mRNA-1_1&gene=maker-scaffold_1-snap-gene-25.47&CDS=1-5982, maker-scaffold_2-snap-gene-28.174-mRNA-1_1&gene=maker-scaffold_2-snap-gene-28.174&CDS=1-1938, snap_masked-scaffold_1-processed-gene-0.24-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.24&CDS=1-1449, snap_masked-scaffold_1-processed-gene-12.80-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.80&CDS=1-1890, snap_masked-scaffold_1-processed-gene-24.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-24.60&CDS=1-1977, snap_masked-scaffold_1-processed-gene-27.69-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-27.69&CDS=1-2478, snap_masked-scaffold_1-processed-gene-7.137-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.137&CDS=1-1395, snap_masked-scaffold_2-processed-gene-2.69-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.69&CDS=1-1794, snap_masked-scaffold_3-processed-gene-21.115-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-21.115&CDS=1-2340, snap_masked-scaffold_4-processed-gene-2.98-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.98&CDS=1-1167
OG0000002	YBR033W, YKL038W	augustus_masked-scaffold_1-processed-gene-24.135-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.135&CDS=1-5463, genemark-scaffold_2-processed-gene-5.118-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-5.118&CDS=1-2130, snap_masked-scaffold_1-processed-gene-17.45-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-17.45&CDS=1-1032, snap_masked-scaffold_1-processed-gene-26.99-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.99&CDS=1-2691, snap_masked-scaffold_1-processed-gene-9.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.44&CDS=1-2187, snap_masked-scaffold_2-processed-gene-23.121-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-23.121&CDS=1-2661, snap_masked-scaffold_3-processed-gene-13.79-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-13.79&CDS=1-2370, snap_masked-scaffold_3-processed-gene-16.74-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-16.74&CDS=1-2220, snap_masked-scaffold_3-processed-gene-23.95-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-23.95&CDS=1-2163
OG0000003	YBR160W, YDL108W, YJL106W, YKL139W, YPR161C	augustus_masked-scaffold_1-processed-gene-4.52-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.52&CDS=1-960, augustus_masked-scaffold_2-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.67&CDS=1-1248, maker-scaffold_1-augustus-gene-10.63-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-10.63&CDS=1-2487, maker-scaffold_3-snap-gene-19.179-mRNA-1_1&gene=maker-scaffold_3-snap-gene-19.179&CDS=1-2181, snap_masked-scaffold_2-processed-gene-12.101-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.101&CDS=1-948, snap_masked-scaffold_2-processed-gene-18.100-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.100&CDS=1-1314
OG0000004	YDR034C, YDR207C	snap_masked-scaffold_1-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.17&CDS=1-2580, snap_masked-scaffold_1-processed-gene-20.64-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-20.64&CDS=1-2184, snap_masked-scaffold_2-processed-gene-18.116-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.116&CDS=1-2571, snap_masked-scaffold_2-processed-gene-26.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-26.42&CDS=1-1158, snap_masked-scaffold_2-processed-gene-4.91-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.91&CDS=1-1725, snap_masked-scaffold_2-processed-gene-9.80-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.80&CDS=1-2046, snap_masked-scaffold_3-processed-gene-25.102-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-25.102&CDS=1-1548, snap_masked-scaffold_3-processed-gene-4.120-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.120&CDS=1-1344
OG0000005	YER013W, YGL120C, YKL078W, YKR086W, YNR011C	augustus_masked-scaffold_1-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.125&CDS=1-2979, augustus_masked-scaffold_3-processed-gene-9.98-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.98&CDS=1-3756, maker-scaffold_2-augustus-gene-2.0-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-2.0&CDS=1-2154, snap_masked-scaffold_1-processed-gene-30.109-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-30.109&CDS=1-3075, snap_masked-scaffold_2-processed-gene-14.107-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.107&CDS=1-2586
OG0000006	YAL005C, YJL034W, YKL073W, YLL024C, YNL209W	augustus_masked-scaffold_2-processed-gene-20.136-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.136&CDS=1-2646, snap_masked-scaffold_1-processed-gene-26.92-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-26.92&CDS=1-1839, snap_masked-scaffold_3-processed-gene-5.116-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-5.116&CDS=1-2676, snap_masked-scaffold_3-processed-gene-7.42-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-7.42&CDS=1-1992
OG0000007	YBR008C, YHR048W, YOR273C	augustus_masked-scaffold_1-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-5.128&CDS=1-2352, snap_masked-scaffold_1-processed-gene-2.122-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.122&CDS=1-1632, snap_masked-scaffold_1-processed-gene-25.90-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.90&CDS=1-1686, snap_masked-scaffold_1-processed-gene-5.4-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.4&CDS=1-1590, snap_masked-scaffold_2-processed-gene-3.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.28&CDS=1-1404, snap_masked-scaffold_2-processed-gene-8.58-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.58&CDS=1-1767
OG0000008	YBR132C, YDR160W, YEL063C, YPL265W	augustus_masked-scaffold_2-processed-gene-21.154-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-21.154&CDS=1-6507, snap_masked-scaffold_1-processed-gene-16.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-16.44&CDS=1-1821, snap_masked-scaffold_1-processed-gene-23.2-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.2&CDS=1-2127, snap_masked-scaffold_2-processed-gene-9.70-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.70&CDS=1-1755, snap_masked-scaffold_3-processed-gene-22.152-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-22.152&CDS=1-1671
OG0000009	YBR199W, YIL085C, YNL029C, YOR099W	augustus_masked-scaffold_4-processed-gene-1.170-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-1.170&CDS=1-2259, snap_masked-scaffold_1-processed-gene-5.27-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.27&CDS=1-1488, snap_masked-scaffold_2-processed-gene-30.177-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-30.177&CDS=1-1326, snap_masked-scaffold_3-processed-gene-12.109-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.109&CDS=1-1431, snap_masked-scaffold_3-processed-gene-2.9-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.9&CDS=1-1182
