	Ascoidea_asiatica	Saccharomyces_cerevisiae
OG0000000	-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-gi|1002316701|dbj|BCKQ01000035.1|-processed-gene-0.17&CDS=1-1659, -processed-gene-13.39-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-13.39&CDS=1-1746, -snap-gene-0.0-mRNA-1_1&gene=maker-gi|1002316692|dbj|BCKQ01000044.1|-snap-gene-0.0&CDS=1-3228	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
OG0000001	-processed-gene-0.161-mRNA-1_1&gene=snap_masked-gi|1002316712|dbj|BCKQ01000024.1|-processed-gene-0.161&CDS=1-2646, -processed-gene-0.28-mRNA-1_1&gene=augustus_masked-gi|1002316717|dbj|BCKQ01000019.1|-processed-gene-0.28&CDS=1-2610, -processed-gene-1.11-mRNA-1_1&gene=augustus_masked-gi|1002316727|dbj|BCKQ01000009.1|-processed-gene-1.11&CDS=1-3918, -processed-gene-1.12-mRNA-1_1&gene=augustus_masked-gi|1002316727|dbj|BCKQ01000009.1|-processed-gene-1.12&CDS=1-4131, -processed-gene-1.50-mRNA-1_1&gene=augustus_masked-gi|1002316722|dbj|BCKQ01000014.1|-processed-gene-1.50&CDS=1-2715, -processed-gene-10.106-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-10.106&CDS=1-3339, -processed-gene-3.101-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-3.101&CDS=1-3642, -processed-gene-3.54-mRNA-1_1&gene=augustus_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-3.54&CDS=1-2739, -processed-gene-4.100-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-4.100&CDS=1-2820, -processed-gene-4.28-mRNA-1_1&gene=snap_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-4.28&CDS=1-2442, -processed-gene-5.25-mRNA-1_1&gene=augustus_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-5.25&CDS=1-3360, -processed-gene-6.103-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-6.103&CDS=1-2697, -snap-gene-0.93-mRNA-1_1&gene=maker-gi|1002316724|dbj|BCKQ01000012.1|-snap-gene-0.93&CDS=1-3111, -snap-gene-10.70-mRNA-1_1&gene=maker-gi|1002316730|dbj|BCKQ01000006.1|-snap-gene-10.70&CDS=1-3153, -snap-gene-14.1-mRNA-1_1&gene=maker-gi|1002316732|dbj|BCKQ01000004.1|-snap-gene-14.1&CDS=1-3228, -snap-gene-16.99-mRNA-1_1&gene=maker-gi|1002316735|dbj|BCKQ01000001.1|-snap-gene-16.99&CDS=1-3285, -snap-gene-2.119-mRNA-1_1&gene=maker-gi|1002316733|dbj|BCKQ01000003.1|-snap-gene-2.119&CDS=1-4137	YBR150C, YOL089C, YOR380W
OG0000002	-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-gi|1002316710|dbj|BCKQ01000026.1|-processed-gene-0.103&CDS=1-1278, -processed-gene-0.65-mRNA-1_1&gene=augustus_masked-gi|1002316712|dbj|BCKQ01000024.1|-processed-gene-0.65&CDS=1-2820, -processed-gene-0.82-mRNA-1_1&gene=augustus_masked-gi|1002316722|dbj|BCKQ01000014.1|-processed-gene-0.82&CDS=1-3858, -processed-gene-0.91-mRNA-1_1&gene=snap_masked-gi|1002316713|dbj|BCKQ01000023.1|-processed-gene-0.91&CDS=1-1119, -processed-gene-1.129-mRNA-1_1&gene=augustus_masked-gi|1002316716|dbj|BCKQ01000020.1|-processed-gene-1.129&CDS=1-1914, -processed-gene-1.26-mRNA-1_1&gene=augustus_masked-gi|1002316727|dbj|BCKQ01000009.1|-processed-gene-1.26&CDS=1-1959, -processed-gene-1.75-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-1.75&CDS=1-3309, -processed-gene-12.97-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-12.97&CDS=1-2073, -processed-gene-13.93-mRNA-1_1&gene=augustus_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-13.93&CDS=1-2871, -processed-gene-2.100-mRNA-1_1&gene=augustus_masked-gi|1002316725|dbj|BCKQ01000011.1|-processed-gene-2.100&CDS=1-3669, -processed-gene-2.122-mRNA-1_1&gene=augustus_masked-gi|1002316722|dbj|BCKQ01000014.1|-processed-gene-2.122&CDS=1-3102, -processed-gene-2.75-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.75&CDS=1-1560, -processed-gene-24.96-mRNA-1_1&gene=augustus_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-24.96&CDS=1-1374, -processed-gene-3.107-mRNA-1_1&gene=snap_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-3.107&CDS=1-672, -processed-gene-3.129-mRNA-1_1&gene=snap_masked-gi|1002316723|dbj|BCKQ01000013.1|-processed-gene-3.129&CDS=1-1485, -processed-gene-3.26-mRNA-1_1&gene=augustus_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-3.26&CDS=1-1224, -processed-gene-4.17-mRNA-1_1&gene=augustus_masked-gi|1002316727|dbj|BCKQ01000009.1|-processed-gene-4.17&CDS=1-642, -processed-gene-6.60-mRNA-1_1&gene=augustus_masked-gi|1002316726|dbj|BCKQ01000010.1|-processed-gene-6.60&CDS=1-2805	
OG0000003	-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-gi|1002316710|dbj|BCKQ01000026.1|-processed-gene-0.110&CDS=1-1335, -processed-gene-0.111-mRNA-1_1&gene=augustus_masked-gi|1002316710|dbj|BCKQ01000026.1|-processed-gene-0.111&CDS=1-1638, -processed-gene-0.181-mRNA-1_1&gene=snap_masked-gi|1002316712|dbj|BCKQ01000024.1|-processed-gene-0.181&CDS=1-1164, -processed-gene-0.182-mRNA-1_1&gene=snap_masked-gi|1002316712|dbj|BCKQ01000024.1|-processed-gene-0.182&CDS=1-1479, -processed-gene-0.183-mRNA-1_1&gene=snap_masked-gi|1002316712|dbj|BCKQ01000024.1|-processed-gene-0.183&CDS=1-645, -processed-gene-10.127-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-10.127&CDS=1-498, -processed-gene-14.12-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-14.12&CDS=1-363, -processed-gene-18.81-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-18.81&CDS=1-2409, -processed-gene-2.152-mRNA-1_1&gene=augustus_masked-gi|1002316722|dbj|BCKQ01000014.1|-processed-gene-2.152&CDS=1-3252, -processed-gene-2.65-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.65&CDS=1-3396, -processed-gene-2.66-mRNA-1_1&gene=augustus_masked-gi|1002316718|dbj|BCKQ01000018.1|-processed-gene-2.66&CDS=1-339, -processed-gene-20.7-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-20.7&CDS=1-426, -processed-gene-20.8-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-20.8&CDS=1-2085, -processed-gene-3.26-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-3.26&CDS=1-2775, -processed-gene-3.43-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-3.43&CDS=1-3747, -processed-gene-3.93-mRNA-1_1&gene=snap_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-3.93&CDS=1-1206, -processed-gene-8.90-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-8.90&CDS=1-3510	
OG0000004	-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-0.0&CDS=1-756, -processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002316693|dbj|BCKQ01000043.1|-processed-gene-0.1&CDS=1-1527, -processed-gene-0.1-mRNA-1_1&gene=snap_masked-gi|1002316689|dbj|BCKQ01000047.1|-processed-gene-0.1&CDS=1-540, -processed-gene-0.10-mRNA-1_1&gene=augustus_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-0.10&CDS=1-1053, -processed-gene-0.10-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-0.10&CDS=1-489, -processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-0.12&CDS=1-1035, -processed-gene-0.192-mRNA-1_1&gene=augustus_masked-gi|1002316715|dbj|BCKQ01000021.1|-processed-gene-0.192&CDS=1-3948, -processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002316693|dbj|BCKQ01000043.1|-processed-gene-0.2&CDS=1-1494, -processed-gene-3.118-mRNA-1_1&gene=snap_masked-gi|1002316723|dbj|BCKQ01000013.1|-processed-gene-3.118&CDS=1-345, -processed-gene-4.36-mRNA-1_1&gene=augustus_masked-gi|1002316724|dbj|BCKQ01000012.1|-processed-gene-4.36&CDS=1-2922, -processed-gene-7.19-mRNA-1_1&gene=augustus_masked-gi|1002316729|dbj|BCKQ01000007.1|-processed-gene-7.19&CDS=1-1677	YCL075W
OG0000005		YBL100W-B, YCL019W, YDR034C-D, YDR210C-D, YDR210W-B, YDR261W-B, YFL002W-A, YGR161W-B, YLR410W-B, YOR192C-B, YOR343W-B
OG0000006	-processed-gene-1.62-mRNA-1_1&gene=snap_masked-gi|1002316720|dbj|BCKQ01000016.1|-processed-gene-1.62&CDS=1-1599, -processed-gene-12.88-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-12.88&CDS=1-1593, -processed-gene-14.48-mRNA-1_1&gene=snap_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-14.48&CDS=1-1575, -processed-gene-14.68-mRNA-1_1&gene=snap_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-14.68&CDS=1-1578, -processed-gene-14.97-mRNA-1_1&gene=augustus_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-14.97&CDS=1-1605, -processed-gene-19.24-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-19.24&CDS=1-1599, -processed-gene-3.27-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-3.27&CDS=1-1605, -processed-gene-6.58-mRNA-1_1&gene=augustus_masked-gi|1002316730|dbj|BCKQ01000006.1|-processed-gene-6.58&CDS=1-1599	YDL138W, YDL194W
OG0000007	-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-gi|1002316697|dbj|BCKQ01000039.1|-processed-gene-0.36&CDS=1-3135, -processed-gene-0.47-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-0.47&CDS=1-3216, -processed-gene-0.82-mRNA-1_1&gene=snap_masked-gi|1002316706|dbj|BCKQ01000030.1|-processed-gene-0.82&CDS=1-3489, -processed-gene-1.24-mRNA-1_1&gene=snap_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.24&CDS=1-2664, -processed-gene-1.69-mRNA-1_1&gene=augustus_masked-gi|1002316719|dbj|BCKQ01000017.1|-processed-gene-1.69&CDS=1-3003, -processed-gene-15.34-mRNA-1_1&gene=snap_masked-gi|1002316734|dbj|BCKQ01000002.1|-processed-gene-15.34&CDS=1-2547, -processed-gene-3.76-mRNA-1_1&gene=snap_masked-gi|1002316732|dbj|BCKQ01000004.1|-processed-gene-3.76&CDS=1-2664	YJR061W, YKL201C
OG0000008	-processed-gene-0.129-mRNA-1_1&gene=snap_masked-gi|1002316711|dbj|BCKQ01000025.1|-processed-gene-0.129&CDS=1-597, -processed-gene-11.139-mRNA-1_1&gene=snap_masked-gi|1002316731|dbj|BCKQ01000005.1|-processed-gene-11.139&CDS=1-597, -processed-gene-17.61-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-17.61&CDS=1-570, -processed-gene-2.101-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-2.101&CDS=1-585, -processed-gene-2.98-mRNA-1_1&gene=augustus_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-2.98&CDS=1-585, -processed-gene-3.45-mRNA-1_1&gene=snap_masked-gi|1002316733|dbj|BCKQ01000003.1|-processed-gene-3.45&CDS=1-570, -processed-gene-7.19-mRNA-1_1&gene=snap_masked-gi|1002316735|dbj|BCKQ01000001.1|-processed-gene-7.19&CDS=1-585	YBR072W
OG0000009	-processed-gene-0.54-mRNA-1_1&gene=snap_masked-gi|1002316723|dbj|BCKQ01000013.1|-processed-gene-0.54&CDS=1-2112, -processed-gene-2.38-mRNA-1_1&gene=snap_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-2.38&CDS=1-2001, -processed-gene-4.103-mRNA-1_1&gene=augustus_masked-gi|1002316728|dbj|BCKQ01000008.1|-processed-gene-4.103&CDS=1-2214, -snap-gene-11.10-mRNA-1_1&gene=maker-gi|1002316732|dbj|BCKQ01000004.1|-snap-gene-11.10&CDS=1-1920	YKL220C, YNR060W, YOR381W, YOR384W
