	Pachysolen_tannophilus	Saccharomyces_cerevisiae
OG0000000	augustus_masked-scaffold_1-processed-gene-24.79-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.79&CDS=1-2607, augustus_masked-scaffold_1-processed-gene-9.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.80&CDS=1-3030, augustus_masked-scaffold_4-processed-gene-10.40-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.40&CDS=1-3345, augustus_masked-scaffold_5-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.85&CDS=1-2751, augustus_masked-scaffold_7-processed-gene-9.230-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.230&CDS=1-3018, augustus_masked-scaffold_7-processed-gene-9.276-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-9.276&CDS=1-2562, maker-scaffold_1-augustus-gene-11.113-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-11.113&CDS=1-3123, maker-scaffold_1-augustus-gene-24.170-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-24.170&CDS=1-4224, maker-scaffold_1-augustus-gene-24.171-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-24.171&CDS=1-3393, maker-scaffold_4-augustus-gene-7.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-7.0&CDS=1-3063, maker-scaffold_4-augustus-gene-7.1-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-7.1&CDS=1-4530	YLR256W
OG0000001	augustus_masked-scaffold_2-processed-gene-4.33-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-4.33&CDS=1-2322, augustus_masked-scaffold_3-processed-gene-14.3-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-14.3&CDS=1-2562, augustus_masked-scaffold_3-processed-gene-15.8-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.8&CDS=1-2073, augustus_masked-scaffold_3-processed-gene-8.19-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.19&CDS=1-3768, augustus_masked-scaffold_3-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.35&CDS=1-2541, augustus_masked-scaffold_5-processed-gene-11.177-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.177&CDS=1-2529, augustus_masked-scaffold_9-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scaffold_9-processed-gene-0.9&CDS=1-2412, genemark-scaffold_2-processed-gene-14.72-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-14.72&CDS=1-2562, genemark-scaffold_7-processed-gene-2.73-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-2.73&CDS=1-2526	YJR061W, YJR062C, YKL201C
OG0000002	augustus_masked-scaffold_1-processed-gene-7.61-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.61&CDS=1-3393, augustus_masked-scaffold_4-processed-gene-11.58-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.58&CDS=1-3339, augustus_masked-scaffold_6-processed-gene-10.122-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.122&CDS=1-2274, augustus_masked-scaffold_6-processed-gene-7.73-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.73&CDS=1-2292	YER013W, YGL120C, YKR086W, YNR011C
OG0000003	augustus_masked-scaffold_1-processed-gene-15.114-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-15.114&CDS=1-1995, augustus_masked-scaffold_4-processed-gene-11.76-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.76&CDS=1-2088, augustus_masked-scaffold_4-processed-gene-11.90-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.90&CDS=1-2046, maker-scaffold_1-augustus-gene-15.43-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-15.43&CDS=1-3156, snap_masked-scaffold_6-processed-gene-3.106-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.106&CDS=1-2172	YGL257C, YHL021C, YNR059W
OG0000004	augustus_masked-scaffold_1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-0.47&CDS=1-1755, augustus_masked-scaffold_1-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.89&CDS=1-3021, augustus_masked-scaffold_2-processed-gene-2.140-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.140&CDS=1-1746, snap_masked-scaffold_3-processed-gene-9.36-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.36&CDS=1-2946	YCL025C, YDR508C, YKR039W
OG0000005	augustus_masked-scaffold_4-processed-gene-11.67-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.67&CDS=1-1902, augustus_masked-scaffold_7-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-3.121&CDS=1-1938, augustus_masked-scaffold_8-processed-gene-3.132-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.132&CDS=1-1653, genemark-scaffold_7-processed-gene-0.41-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.41&CDS=1-1638, maker-scaffold_4-augustus-gene-3.47-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.47&CDS=1-1632, snap_masked-scaffold_1-processed-gene-7.111-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.111&CDS=1-1698	YFL040W
OG0000006	augustus_masked-scaffold_1-processed-gene-9.73-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.73&CDS=1-1236, augustus_masked-scaffold_1-processed-gene-9.87-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.87&CDS=1-906, augustus_masked-scaffold_2-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-0.24&CDS=1-2145, augustus_masked-scaffold_2-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.130&CDS=1-687, augustus_masked-scaffold_4-processed-gene-5.106-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.106&CDS=1-1890, augustus_masked-scaffold_5-processed-gene-11.113-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.113&CDS=1-1692	YDR207C
OG0000007	augustus_masked-scaffold_1-processed-gene-19.37-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.37&CDS=1-2565, augustus_masked-scaffold_1-processed-gene-24.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.106&CDS=1-2856, augustus_masked-scaffold_6-processed-gene-10.127-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.127&CDS=1-1233, snap_masked-scaffold_8-processed-gene-3.26-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.26&CDS=1-2085	YFL021W, YJL110C, YKR034W
OG0000008	augustus_masked-scaffold_2-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.127&CDS=1-4653, augustus_masked-scaffold_2-processed-gene-13.89-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-13.89&CDS=1-4656, augustus_masked-scaffold_2-processed-gene-14.138-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.138&CDS=1-4581, augustus_masked-scaffold_5-processed-gene-6.102-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-6.102&CDS=1-4572	YDR011W, YOR153W, YPL058C
OG0000009	maker-scaffold_2-augustus-gene-5.2-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-5.2&CDS=1-3645, maker-scaffold_2-snap-gene-1.56-mRNA-1_1&gene=maker-scaffold_2-snap-gene-1.56&CDS=1-3408, maker-scaffold_2-snap-gene-8.99-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.99&CDS=1-3606	YCL069W, YGR224W, YKR105C, YPR198W
