	Saccharomyces_cerevisiae	yHMPu5000041833_Candida_tammaniensis
OG0000000	YKL071W	augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.193-mRNA-1_1&gene=augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.193&CDS=1-747, augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.194-mRNA-1_1&gene=augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.194&CDS=1-747, augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.195-mRNA-1_1&gene=augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.195&CDS=1-747, augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.197-mRNA-1_1&gene=augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.197&CDS=1-744, augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.198-mRNA-1_1&gene=augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.198&CDS=1-753, augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.199-mRNA-1_1&gene=augustus_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.199&CDS=1-747, maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-9.46-mRNA-1_1&gene=maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-9.46&CDS=1-2073, snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.145-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.145&CDS=1-753, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.81-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.81&CDS=1-747, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.92-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.92&CDS=1-747, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.47-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-7.47&CDS=1-753, snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-0.96&CDS=1-747, snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.74-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-6.74&CDS=1-777, snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-0.128-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-0.128&CDS=1-747
OG0000001	YML015C	augustus_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.176-mRNA-1_1&gene=augustus_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.176&CDS=1-2532, augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-11.10-mRNA-1_1&gene=augustus_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-11.10&CDS=1-2991, augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-6.98&CDS=1-2367, genemark-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.33&CDS=1-4443, genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-11.90-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-11.90&CDS=1-3201, genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.114-mRNA-1_1&gene=genemark-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.114&CDS=1-3201, genemark-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-5.123-mRNA-1_1&gene=genemark-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-5.123&CDS=1-1176, maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-12.370-mRNA-1_1&gene=maker-NODE_2_length_1396679_cov_54.0106_ID_1870-snap-gene-12.370&CDS=1-2820, snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.122-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.122&CDS=1-2673, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.90-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.90&CDS=1-2685, snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.62-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.62&CDS=1-3543, snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.63-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-4.63&CDS=1-3144, snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.66-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-5.66&CDS=1-2187
OG0000002		augustus_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.138&CDS=1-2544, augustus_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.139&CDS=1-1011, augustus_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.180&CDS=1-2607, augustus_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.236&CDS=1-4371, augustus_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.70&CDS=1-1632, augustus_masked-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.195&CDS=1-1908, augustus_masked-NODE_37_length_1116_cov_69.5351_ID_4452-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_37_length_1116_cov_69.5351_ID_4452-processed-gene-0.1&CDS=1-1113, snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_17_length_118177_cov_104.474_ID_4239-processed-gene-0.35&CDS=1-2634, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.103-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.103&CDS=1-2100, snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.8&CDS=1-486, snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.9&CDS=1-1605, snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-0.119-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-0.119&CDS=1-2037
OG0000003	YCL025C, YDR508C, YKR039W, YLL061W, YPL274W	augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.182-mRNA-1_1&gene=augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-7.182&CDS=1-1695, snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_11_length_319508_cov_75.386_ID_2522-processed-gene-0.75&CDS=1-1740, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-5.30-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-5.30&CDS=1-1686, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-0.85&CDS=1-1740, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.118-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-8.118&CDS=1-1770, snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.89-mRNA-1_1&gene=snap_masked-NODE_5_length_905678_cov_45.6404_ID_4750-processed-gene-7.89&CDS=1-1605
OG0000004	YGL191W, YJR061W, YJR062C, YJR144W, YKL201C	augustus_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.58&CDS=1-3174, maker-NODE_3_length_1269879_cov_49.5199_ID_3585-snap-gene-2.116-mRNA-1_1&gene=maker-NODE_3_length_1269879_cov_49.5199_ID_3585-snap-gene-2.116&CDS=1-2982, maker-NODE_4_length_917969_cov_39.8804_ID_5033-augustus-gene-8.8-mRNA-1_1&gene=maker-NODE_4_length_917969_cov_39.8804_ID_5033-augustus-gene-8.8&CDS=1-5487, snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.97-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.97&CDS=1-2442, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-7.115-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-7.115&CDS=1-2379, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.97-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-3.97&CDS=1-2550
OG0000005		genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.31-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-15.31&CDS=1-1092, maker-NODE_6_length_830418_cov_53.4946_ID_3973-augustus-gene-0.53-mRNA-1_1&gene=maker-NODE_6_length_830418_cov_53.4946_ID_3973-augustus-gene-0.53&CDS=1-18453, snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.89-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.89&CDS=1-3948, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-9.152-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-9.152&CDS=1-2136, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-12.66-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-12.66&CDS=1-1530, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-7.110-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-7.110&CDS=1-3234, snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-4.117-mRNA-1_1&gene=snap_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-4.117&CDS=1-999, snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.24&CDS=1-2571, snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.25&CDS=1-8685, snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-0.26&CDS=1-1824, snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-2.109-mRNA-1_1&gene=snap_masked-NODE_9_length_422362_cov_41.9648_ID_2612-processed-gene-2.109&CDS=1-2178
OG0000006	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	genemark-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-0.36&CDS=1-1683, snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.144-mRNA-1_1&gene=snap_masked-NODE_14_length_186271_cov_96.6982_ID_2666-processed-gene-0.144&CDS=1-1893, snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.97-mRNA-1_1&gene=snap_masked-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-10.97&CDS=1-1713
OG0000007	YCR105W, YMR318C	augustus_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.45-mRNA-1_1&gene=augustus_masked-NODE_4_length_917969_cov_39.8804_ID_5033-processed-gene-7.45&CDS=1-1104, genemark-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.141-mRNA-1_1&gene=genemark-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.141&CDS=1-921, maker-NODE_17_length_118177_cov_104.474_ID_4239-snap-gene-0.190-mRNA-1_1&gene=maker-NODE_17_length_118177_cov_104.474_ID_4239-snap-gene-0.190&CDS=1-6471, snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.86&CDS=1-1095, snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_15_length_147441_cov_123.374_ID_2916-processed-gene-0.113&CDS=1-1098, snap_masked-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.118-mRNA-1_1&gene=snap_masked-NODE_16_length_146000_cov_112.095_ID_4313-processed-gene-0.118&CDS=1-1101, snap_masked-NODE_21_length_17553_cov_72.0915_ID_3628-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_21_length_17553_cov_72.0915_ID_3628-processed-gene-0.27&CDS=1-1095, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-6.152-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-6.152&CDS=1-1095
OG0000008	YGR281W	genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_1_length_1639312_cov_47.3867_ID_4086-processed-gene-0.27&CDS=1-4779, snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_13_length_187598_cov_101.948_ID_5378-processed-gene-0.65&CDS=1-4125, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.60-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.60&CDS=1-3909, snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.94-mRNA-1_1&gene=snap_masked-NODE_2_length_1396679_cov_54.0106_ID_1870-processed-gene-8.94&CDS=1-4488, snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.75-mRNA-1_1&gene=snap_masked-NODE_3_length_1269879_cov_49.5199_ID_3585-processed-gene-2.75&CDS=1-4230, snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.74-mRNA-1_1&gene=snap_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-3.74&CDS=1-4266, snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-3.148-mRNA-1_1&gene=snap_masked-NODE_7_length_799497_cov_58.68_ID_3495-processed-gene-3.148&CDS=1-4191, snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-0.120-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-0.120&CDS=1-4215
OG0000009	YMR006C, YMR008C, YNL012W, YOL011W	augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-NODE_6_length_830418_cov_53.4946_ID_3973-processed-gene-4.58&CDS=1-2481, maker-NODE_2_length_1396679_cov_54.0106_ID_1870-augustus-gene-2.57-mRNA-1_1&gene=maker-NODE_2_length_1396679_cov_54.0106_ID_1870-augustus-gene-2.57&CDS=1-3390, snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.253-mRNA-1_1&gene=snap_masked-NODE_10_length_351050_cov_44.863_ID_3249-processed-gene-2.253&CDS=1-2028, snap_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NODE_12_length_208975_cov_103.862_ID_2973-processed-gene-1.153&CDS=1-1623, snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.143-mRNA-1_1&gene=snap_masked-NODE_8_length_665094_cov_63.8761_ID_4166-processed-gene-1.143&CDS=1-1887
