	Geotrichum_candidum	Saccharomyces_cerevisiae
OG0000000	augustus_masked-CCBN010000001.1-processed-gene-7.50-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-7.50&CDS=1-1656, genemark-CCBN010000001.1-processed-gene-7.23-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.23&CDS=1-1041, genemark-CCBN010000015.1-processed-gene-1.58-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-1.58&CDS=1-1641	YDL245C, YDR342C, YDR343C, YDR345C, YEL069C, YFL011W, YHR092C, YHR094C, YHR096C, YIL170W, YJL214W, YJL219W, YJR158W, YLR081W, YMR011W, YNR072W, YOL156W
OG0000001	augustus_masked-CCBN010000005.1-processed-gene-15.16-mRNA-1_1&gene=augustus_masked-CCBN010000005.1-processed-gene-15.16&CDS=1-1551, augustus_masked-CCBN010000007.1-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-CCBN010000007.1-processed-gene-2.44&CDS=1-1404, augustus_masked-CCBN010000007.1-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-CCBN010000007.1-processed-gene-3.10&CDS=1-1581, augustus_masked-CCBN010000007.1-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-CCBN010000007.1-processed-gene-3.15&CDS=1-1236, augustus_masked-CCBN010000007.1-processed-gene-3.7-mRNA-1_1&gene=augustus_masked-CCBN010000007.1-processed-gene-3.7&CDS=1-1437, augustus_masked-CCBN010000007.1-processed-gene-3.8-mRNA-1_1&gene=augustus_masked-CCBN010000007.1-processed-gene-3.8&CDS=1-1359, augustus_masked-CCBN010000007.1-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-CCBN010000007.1-processed-gene-3.9&CDS=1-1476, snap_masked-CCBN010000003.1-processed-gene-16.30-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-16.30&CDS=1-1374, snap_masked-CCBN010000007.1-processed-gene-3.53-mRNA-1_1&gene=snap_masked-CCBN010000007.1-processed-gene-3.53&CDS=1-360, snap_masked-CCBN010000011.1-processed-gene-6.4-mRNA-1_1&gene=snap_masked-CCBN010000011.1-processed-gene-6.4&CDS=1-1371	YML111W, YMR275C, YNR068C
OG0000002	genemark-CCBN010000001.1-processed-gene-16.50-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-16.50&CDS=1-1011, genemark-CCBN010000006.1-processed-gene-2.80-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-2.80&CDS=1-1023, genemark-CCBN010000006.1-processed-gene-7.45-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-7.45&CDS=1-1011, genemark-CCBN010000007.1-processed-gene-0.57-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-0.57&CDS=1-1017, genemark-CCBN010000007.1-processed-gene-4.105-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-4.105&CDS=1-1017, genemark-CCBN010000007.1-processed-gene-5.39-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-5.39&CDS=1-1017, genemark-CCBN010000009.1-processed-gene-2.86-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-2.86&CDS=1-1017	YDR541C, YGL039W, YGL157W, YOL151W
OG0000003	genemark-CCBN010000001.1-processed-gene-9.39-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-9.39&CDS=1-909, genemark-CCBN010000003.1-processed-gene-16.104-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-16.104&CDS=1-846, maker-CCBN010000003.1-augustus-gene-16.188-mRNA-1_1&gene=maker-CCBN010000003.1-augustus-gene-16.188&CDS=1-891, maker-CCBN010000004.1-snap-gene-15.165-mRNA-1_1&gene=maker-CCBN010000004.1-snap-gene-15.165&CDS=1-861, maker-CCBN010000006.1-snap-gene-1.56-mRNA-1_1&gene=maker-CCBN010000006.1-snap-gene-1.56&CDS=1-810, maker-CCBN010000018.1-snap-gene-0.71-mRNA-1_1&gene=maker-CCBN010000018.1-snap-gene-0.71&CDS=1-747, maker-CCBN010000019.1-snap-gene-0.43-mRNA-1_1&gene=maker-CCBN010000019.1-snap-gene-0.43&CDS=1-954, snap_masked-CCBN010000003.1-processed-gene-0.71-mRNA-1_1&gene=snap_masked-CCBN010000003.1-processed-gene-0.71&CDS=1-531	YER185W
OG0000004	augustus_masked-CCBN010000001.1-processed-gene-20.11-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-20.11&CDS=1-2580, genemark-CCBN010000003.1-processed-gene-15.27-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-15.27&CDS=1-1191, genemark-CCBN010000008.1-processed-gene-8.55-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-8.55&CDS=1-1524, genemark-CCBN010000012.1-processed-gene-5.72-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-5.72&CDS=1-1530, maker-CCBN010000002.1-snap-gene-11.35-mRNA-1_1&gene=maker-CCBN010000002.1-snap-gene-11.35&CDS=1-1488, snap_masked-CCBN010000012.1-processed-gene-7.200-mRNA-1_1&gene=snap_masked-CCBN010000012.1-processed-gene-7.200&CDS=1-1764, snap_masked-CCBN010000013.1-processed-gene-6.2-mRNA-1_1&gene=snap_masked-CCBN010000013.1-processed-gene-6.2&CDS=1-1728, snap_masked-CCBN010000025.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-CCBN010000025.1-processed-gene-0.93&CDS=1-312	YDR081C
OG0000005	genemark-CCBN010000001.1-processed-gene-24.24-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-24.24&CDS=1-1557, genemark-CCBN010000001.1-processed-gene-7.10-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-7.10&CDS=1-1677, genemark-CCBN010000003.1-processed-gene-1.102-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-1.102&CDS=1-1560, genemark-CCBN010000004.1-processed-gene-10.33-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-10.33&CDS=1-1938, genemark-CCBN010000017.1-processed-gene-2.26-mRNA-1_1&gene=genemark-CCBN010000017.1-processed-gene-2.26&CDS=1-1683, genemark-CCBN010000027.1-processed-gene-0.24-mRNA-1_1&gene=genemark-CCBN010000027.1-processed-gene-0.24&CDS=1-1557, snap_masked-CCBN010000014.1-processed-gene-1.18-mRNA-1_1&gene=snap_masked-CCBN010000014.1-processed-gene-1.18&CDS=1-1893	YFL040W
OG0000006	augustus_masked-CCBN010000003.1-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-CCBN010000003.1-processed-gene-8.39&CDS=1-1626, augustus_masked-CCBN010000004.1-processed-gene-13.36-mRNA-1_1&gene=augustus_masked-CCBN010000004.1-processed-gene-13.36&CDS=1-1371, augustus_masked-CCBN010000028.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-CCBN010000028.1-processed-gene-0.44&CDS=1-2223, genemark-CCBN010000003.1-processed-gene-0.9-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-0.9&CDS=1-1767, genemark-CCBN010000005.1-processed-gene-4.80-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-4.80&CDS=1-861, genemark-CCBN010000018.1-processed-gene-1.103-mRNA-1_1&gene=genemark-CCBN010000018.1-processed-gene-1.103&CDS=1-2178, snap_masked-CCBN010000015.1-processed-gene-6.126-mRNA-1_1&gene=snap_masked-CCBN010000015.1-processed-gene-6.126&CDS=1-2847	YDR034C
OG0000007	augustus_masked-CCBN010000001.1-processed-gene-11.33-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-11.33&CDS=1-2058, augustus_masked-CCBN010000019.1-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-CCBN010000019.1-processed-gene-2.80&CDS=1-2205, genemark-CCBN010000001.1-processed-gene-10.96-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.96&CDS=1-2064, genemark-CCBN010000006.1-processed-gene-5.52-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-5.52&CDS=1-2154, maker-CCBN010000001.1-snap-gene-10.65-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-10.65&CDS=1-2013, snap_masked-CCBN010000016.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-CCBN010000016.1-processed-gene-0.63&CDS=1-2088, snap_masked-CCBN010000028.1-processed-gene-2.66-mRNA-1_1&gene=snap_masked-CCBN010000028.1-processed-gene-2.66&CDS=1-2085	
OG0000008	genemark-CCBN010000001.1-processed-gene-12.35-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.35&CDS=1-1584, genemark-CCBN010000002.1-processed-gene-17.86-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-17.86&CDS=1-1524, genemark-CCBN010000005.1-processed-gene-5.88-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-5.88&CDS=1-1560, genemark-CCBN010000006.1-processed-gene-10.51-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-10.51&CDS=1-1551, genemark-CCBN010000013.1-processed-gene-5.16-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-5.16&CDS=1-1608, genemark-CCBN010000028.1-processed-gene-0.23-mRNA-1_1&gene=genemark-CCBN010000028.1-processed-gene-0.23&CDS=1-1518	YGR260W
OG0000009	genemark-CCBN010000001.1-processed-gene-13.32-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-13.32&CDS=1-918, genemark-CCBN010000001.1-processed-gene-15.52-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.52&CDS=1-939, genemark-CCBN010000001.1-processed-gene-15.60-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.60&CDS=1-900, genemark-CCBN010000001.1-processed-gene-15.69-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-15.69&CDS=1-900, genemark-CCBN010000003.1-processed-gene-8.77-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-8.77&CDS=1-870, maker-CCBN010000001.1-snap-gene-14.67-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-14.67&CDS=1-1752	YJR096W
