	Saccharomyces_cerevisiae	yHMPu5000034862_Zygotorulaspora_florentina
OG0000000	YBL111C, YBL112C, YBL113C, YDR545W, YEL076C, YEL076C-A, YEL077C, YER190W, YFL064C, YFL065C, YFL066C, YGR296W, YHL049C, YHL050C, YHR218W, YHR218W-A, YHR219W, YIL177C, YJL225C, YLL066C, YLL067C, YLR462W, YLR464W, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR202W, YPR203W, YPR204W	
OG0000001		augustus_masked-NODE_104_length_1138_cov_42.1089_ID_207-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_104_length_1138_cov_42.1089_ID_207-processed-gene-0.1&CDS=1-402, augustus_masked-NODE_31_length_43749_cov_31.2294_ID_61-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_31_length_43749_cov_31.2294_ID_61-processed-gene-0.17&CDS=1-1623, augustus_masked-NODE_34_length_39211_cov_28.3724_ID_67-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_34_length_39211_cov_28.3724_ID_67-processed-gene-0.3&CDS=1-990, augustus_masked-NODE_58_length_3104_cov_52.0955_ID_115-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_58_length_3104_cov_52.0955_ID_115-processed-gene-0.0&CDS=1-1128, augustus_masked-NODE_61_length_2635_cov_46.8756_ID_121-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_61_length_2635_cov_46.8756_ID_121-processed-gene-0.1&CDS=1-1470, snap_masked-NODE_128_length_865_cov_47.2976_ID_255-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_128_length_865_cov_47.2976_ID_255-processed-gene-0.1&CDS=1-282, snap_masked-NODE_162_length_637_cov_29.0309_ID_323-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_162_length_637_cov_29.0309_ID_323-processed-gene-0.1&CDS=1-402, snap_masked-NODE_196_length_515_cov_72.101_ID_391-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_196_length_515_cov_72.101_ID_391-processed-gene-0.0&CDS=1-369, snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.18-mRNA-1_1&gene=snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.18&CDS=1-213, snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.19&CDS=1-258, snap_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.35-mRNA-1_1&gene=snap_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.35&CDS=1-1524, snap_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.29-mRNA-1_1&gene=snap_masked-NODE_26_length_65634_cov_26.5448_ID_51-processed-gene-0.29&CDS=1-237, snap_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_32_length_43695_cov_27.7931_ID_63-processed-gene-0.17&CDS=1-519, snap_masked-NODE_34_length_39211_cov_28.3724_ID_67-processed-gene-0.14-mRNA-1_1&gene=snap_masked-NODE_34_length_39211_cov_28.3724_ID_67-processed-gene-0.14&CDS=1-279, snap_masked-NODE_35_length_32583_cov_26.1208_ID_69-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_35_length_32583_cov_26.1208_ID_69-processed-gene-0.16&CDS=1-297, snap_masked-NODE_48_length_7250_cov_28.5664_ID_95-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_48_length_7250_cov_28.5664_ID_95-processed-gene-0.3&CDS=1-228, snap_masked-NODE_49_length_7214_cov_53.5292_ID_97-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_49_length_7214_cov_53.5292_ID_97-processed-gene-0.0&CDS=1-369
OG0000002	YHR096C, YIL170W, YJL219W, YLR081W, YNL318C, YOL156W	augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-NODE_10_length_366591_cov_24.4668_ID_19-processed-gene-1.128&CDS=1-1551, augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.255-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.255&CDS=1-1737, augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-7.29&CDS=1-1773, augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_27_length_59725_cov_42.876_ID_53-processed-gene-0.4&CDS=1-1782, augustus_masked-NODE_44_length_9424_cov_70.2383_ID_87-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_44_length_9424_cov_70.2383_ID_87-processed-gene-0.1&CDS=1-1710, augustus_masked-NODE_50_length_6838_cov_25.7368_ID_99-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_50_length_6838_cov_25.7368_ID_99-processed-gene-0.2&CDS=1-1713, augustus_masked-NODE_55_length_5147_cov_70.8888_ID_109-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_55_length_5147_cov_70.8888_ID_109-processed-gene-0.1&CDS=1-1737, maker-NODE_1_length_1546580_cov_24.4376_ID_1-snap-gene-7.126-mRNA-1_1&gene=maker-NODE_1_length_1546580_cov_24.4376_ID_1-snap-gene-7.126&CDS=1-4926
OG0000003	YBR302C, YDL248W, YFL062W, YGL263W, YGR295C, YHL048W, YIR043C, YJR161C, YKL219W, YML132W, YNL336W, YNR075W	
OG0000004	YAL005C, YBL075C, YDL229W, YER103W, YJL034W, YLL024C, YNL209W	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-4.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-4.16&CDS=1-2040, augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.37-mRNA-1_1&gene=augustus_masked-NODE_4_length_647733_cov_24.3938_ID_7-processed-gene-5.37&CDS=1-1920, augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_7_length_539399_cov_24.5113_ID_13-processed-gene-1.110&CDS=1-1839, snap_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.119-mRNA-1_1&gene=snap_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-2.119&CDS=1-1938
OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL221C, YOL157C	augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_1_length_1546580_cov_24.4376_ID_1-processed-gene-0.51&CDS=1-1752, augustus_masked-NODE_22_length_115979_cov_25.962_ID_43-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_22_length_115979_cov_25.962_ID_43-processed-gene-0.107&CDS=1-1767, augustus_masked-NODE_35_length_32583_cov_26.1208_ID_69-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_35_length_32583_cov_26.1208_ID_69-processed-gene-0.28&CDS=1-1614, augustus_masked-NODE_44_length_9424_cov_70.2383_ID_87-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_44_length_9424_cov_70.2383_ID_87-processed-gene-0.0&CDS=1-1632, genemark-NODE_100_length_1181_cov_43.4303_ID_199-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_100_length_1181_cov_43.4303_ID_199-processed-gene-0.0&CDS=1-1164
OG0000006	YAR023C, YAR027W, YAR028W, YAR031W, YAR033W, YCR007C, YGL051W, YGL053W, YHL044W	
OG0000007	YAR071W, YBR092C, YBR093C, YHR215W	augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.219-mRNA-1_1&gene=augustus_masked-NODE_14_length_283393_cov_24.7985_ID_27-processed-gene-1.219&CDS=1-1407, augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.17&CDS=1-1398, snap_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-0.75-mRNA-1_1&gene=snap_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-0.75&CDS=1-1401
OG0000008	YBR298C, YGR289C	augustus_masked-NODE_22_length_115979_cov_25.962_ID_43-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_22_length_115979_cov_25.962_ID_43-processed-gene-0.94&CDS=1-1857, augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_24_length_88897_cov_26.004_ID_47-processed-gene-0.8&CDS=1-1761, augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-0.82&CDS=1-1845, augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_3_length_1025459_cov_24.1215_ID_5-processed-gene-0.32&CDS=1-1833, augustus_masked-NODE_45_length_8378_cov_26.9728_ID_89-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_45_length_8378_cov_26.9728_ID_89-processed-gene-0.3&CDS=1-1860
OG0000009	YCL025C, YGR191W, YKR039W	augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-NODE_23_length_96793_cov_23.3371_ID_45-processed-gene-0.121&CDS=1-1788, augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_25_length_88139_cov_25.0029_ID_49-processed-gene-0.50&CDS=1-1947, augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-NODE_2_length_1190564_cov_24.2002_ID_3-processed-gene-7.122&CDS=1-1704, augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-NODE_9_length_377283_cov_23.5738_ID_17-processed-gene-1.157&CDS=1-1803
