	Saccharomyces_cerevisiae	yHMPu5000034952_Citeromyces_siamensis
OG0000000	YAL063C, YAL064C-A, YAL065C, YAR050W, YAR061W, YDR134C, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W, YLR110C	genemark-scf7180000054017-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000054017-processed-gene-0.0&CDS=1-1794, maker-scf7180000054585-augustus-gene-0.4-mRNA-1_1&gene=maker-scf7180000054585-augustus-gene-0.4&CDS=1-1218
OG0000001	YCL075W	augustus_masked-scf7180000054482-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000054482-processed-gene-0.0&CDS=1-1356, augustus_masked-scf7180000060953-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060953-processed-gene-0.1&CDS=1-1128, augustus_masked-scf7180000061772-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061772-processed-gene-0.1&CDS=1-663, snap_masked-scf7180000054451-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000054451-processed-gene-0.8&CDS=1-939, snap_masked-scf7180000055309-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000055309-processed-gene-0.0&CDS=1-585, snap_masked-scf7180000056682-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056682-processed-gene-0.1&CDS=1-909, snap_masked-scf7180000056706-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000056706-processed-gene-0.1&CDS=1-429, snap_masked-scf7180000057571-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000057571-processed-gene-0.0&CDS=1-480, snap_masked-scf7180000059637-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000059637-processed-gene-0.27&CDS=1-897, snap_masked-scf7180000059648-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000059648-processed-gene-0.1&CDS=1-618, snap_masked-scf7180000059718-processed-gene-0.16-mRNA-1_1&gene=snap_masked-scf7180000059718-processed-gene-0.16&CDS=1-1848, snap_masked-scf7180000061776-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scf7180000061776-processed-gene-0.8&CDS=1-513, snap_masked-scf7180000061811-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000061811-processed-gene-0.0&CDS=1-447
OG0000002		augustus_masked-scf7180000054967-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054967-processed-gene-0.1&CDS=1-762, augustus_masked-scf7180000056063-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056063-processed-gene-0.1&CDS=1-327, augustus_masked-scf7180000056724-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000056724-processed-gene-0.1&CDS=1-1173, augustus_masked-scf7180000060120-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000060120-processed-gene-0.3&CDS=1-1344, augustus_masked-scf7180000061546-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000061546-processed-gene-0.7&CDS=1-1110, genemark-scf7180000059829-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000059829-processed-gene-0.33&CDS=1-3042, maker-scf7180000056860-snap-gene-0.5-mRNA-1_1&gene=maker-scf7180000056860-snap-gene-0.5&CDS=1-1263, snap_masked-scf7180000053549-processed-gene-0.22-mRNA-1_1&gene=snap_masked-scf7180000053549-processed-gene-0.22&CDS=1-798, snap_masked-scf7180000053603-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000053603-processed-gene-0.5&CDS=1-606, snap_masked-scf7180000053618-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000053618-processed-gene-0.4&CDS=1-447, snap_masked-scf7180000054035-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000054035-processed-gene-0.25&CDS=1-612, snap_masked-scf7180000059287-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000059287-processed-gene-0.5&CDS=1-729, snap_masked-scf7180000059366-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000059366-processed-gene-0.0&CDS=1-906, snap_masked-scf7180000059725-processed-gene-0.21-mRNA-1_1&gene=snap_masked-scf7180000059725-processed-gene-0.21&CDS=1-579
OG0000003	YHR101C	augustus_masked-scf7180000053612-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000053612-processed-gene-0.9&CDS=1-1785, augustus_masked-scf7180000054001-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000054001-processed-gene-0.12&CDS=1-897, augustus_masked-scf7180000060572-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060572-processed-gene-0.1&CDS=1-477, augustus_masked-scf7180000061800-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000061800-processed-gene-0.17&CDS=1-1116, snap_masked-scf7180000053654-processed-gene-0.7-mRNA-1_1&gene=snap_masked-scf7180000053654-processed-gene-0.7&CDS=1-462, snap_masked-scf7180000053654-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000053654-processed-gene-0.9&CDS=1-1044, snap_masked-scf7180000054951-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054951-processed-gene-0.1&CDS=1-561, snap_masked-scf7180000058229-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000058229-processed-gene-0.4&CDS=1-243, snap_masked-scf7180000059734-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000059734-processed-gene-0.9&CDS=1-237, snap_masked-scf7180000059810-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000059810-processed-gene-0.2&CDS=1-1713, snap_masked-scf7180000061551-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000061551-processed-gene-0.5&CDS=1-990, snap_masked-scf7180000061736-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scf7180000061736-processed-gene-0.29&CDS=1-1524
OG0000004	YLR256W	augustus_masked-scf7180000054023-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000054023-processed-gene-0.8&CDS=1-2343, augustus_masked-scf7180000054127-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000054127-processed-gene-0.1&CDS=1-2136, augustus_masked-scf7180000059801-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000059801-processed-gene-0.3&CDS=1-2181, augustus_masked-scf7180000060219-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060219-processed-gene-0.1&CDS=1-1362, maker-scf7180000061662-augustus-gene-0.7-mRNA-1_1&gene=maker-scf7180000061662-augustus-gene-0.7&CDS=1-2793, snap_masked-scf7180000054474-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000054474-processed-gene-0.1&CDS=1-696, snap_masked-scf7180000056997-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000056997-processed-gene-0.2&CDS=1-561, snap_masked-scf7180000058130-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000058130-processed-gene-0.9&CDS=1-1878, snap_masked-scf7180000059748-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000059748-processed-gene-0.1&CDS=1-2298, snap_masked-scf7180000060883-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000060883-processed-gene-0.2&CDS=1-495, snap_masked-scf7180000061265-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000061265-processed-gene-0.1&CDS=1-1254
OG0000005	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-scf7180000053638-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000053638-processed-gene-0.5&CDS=1-1704, augustus_masked-scf7180000054809-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000054809-processed-gene-0.2&CDS=1-1704
OG0000006	YBR072W	augustus_masked-scf7180000053885-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000053885-processed-gene-0.2&CDS=1-351, augustus_masked-scf7180000056452-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000056452-processed-gene-0.15&CDS=1-513, augustus_masked-scf7180000058490-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000058490-processed-gene-0.0&CDS=1-519, augustus_masked-scf7180000060384-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000060384-processed-gene-0.2&CDS=1-426, augustus_masked-scf7180000061083-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000061083-processed-gene-0.8&CDS=1-546, genemark-scf7180000061944-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000061944-processed-gene-0.1&CDS=1-366, snap_masked-scf7180000059720-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000059720-processed-gene-0.2&CDS=1-492
OG0000007	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-scf7180000053662-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053662-processed-gene-0.6&CDS=1-921, augustus_masked-scf7180000060355-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000060355-processed-gene-0.1&CDS=1-1614, augustus_masked-scf7180000061712-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000061712-processed-gene-0.12&CDS=1-1653, genemark-scf7180000055456-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000055456-processed-gene-0.1&CDS=1-1092
OG0000008	YBL009W, YGL021W, YML088W	augustus_masked-scf7180000053574-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-scf7180000053574-processed-gene-0.6&CDS=1-1878, augustus_masked-scf7180000053599-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000053599-processed-gene-0.3&CDS=1-2487, augustus_masked-scf7180000056181-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000056181-processed-gene-0.3&CDS=1-873, augustus_masked-scf7180000061540-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000061540-processed-gene-0.1&CDS=1-495
OG0000009	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-scf7180000054279-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000054279-processed-gene-0.3&CDS=1-1704, augustus_masked-scf7180000055431-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000055431-processed-gene-0.4&CDS=1-1632, maker-scf7180000060047-augustus-gene-0.0-mRNA-1_1&gene=maker-scf7180000060047-augustus-gene-0.0&CDS=1-1656
