	Saccharomyces_cerevisiae	yHAB159_Kazachstania_solicola
OG0000000	YAL068C, YBL108C-A, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C	augustus_masked-scf7180000045488-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045488-processed-gene-0.2&CDS=1-342, genemark-scf7180000046230-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000046230-processed-gene-0.1&CDS=1-678, genemark-scf7180000046333-processed-gene-0.65-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-0.65&CDS=1-1359
OG0000001	YBL111C, YBL112C, YDR545W, YEL077C, YER190W, YFL066C, YGR296W, YHL050C, YHR218W, YHR218W-A, YIL177C, YJL225C, YLL066C, YLL067C, YLR466W, YLR467W, YML133C, YNL339C, YOR396W, YPL283C, YPR204W	
OG0000002		augustus_masked-scf7180000045860-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045860-processed-gene-0.2&CDS=1-438, augustus_masked-scf7180000046119-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000046119-processed-gene-0.0&CDS=1-1314, augustus_masked-scf7180000046134-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000046134-processed-gene-0.2&CDS=1-711, augustus_masked-scf7180000046238-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scf7180000046238-processed-gene-0.86&CDS=1-1275, augustus_masked-scf7180000046307-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000046307-processed-gene-0.9&CDS=1-2703, augustus_masked-scf7180000046324-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-scf7180000046324-processed-gene-0.36&CDS=1-2154, augustus_masked-scf7180000046342-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000046342-processed-gene-0.4&CDS=1-687, snap_masked-scf7180000046046-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000046046-processed-gene-0.0&CDS=1-4395, snap_masked-scf7180000046061-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000046061-processed-gene-0.2&CDS=1-378, snap_masked-scf7180000046077-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000046077-processed-gene-0.2&CDS=1-975, snap_masked-scf7180000046087-processed-gene-0.130-mRNA-1_1&gene=snap_masked-scf7180000046087-processed-gene-0.130&CDS=1-2502, snap_masked-scf7180000046172-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000046172-processed-gene-0.1&CDS=1-552, snap_masked-scf7180000046178-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000046178-processed-gene-0.4&CDS=1-837, snap_masked-scf7180000046219-processed-gene-0.4-mRNA-1_1&gene=snap_masked-scf7180000046219-processed-gene-0.4&CDS=1-480, snap_masked-scf7180000046222-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000046222-processed-gene-0.1&CDS=1-1155, snap_masked-scf7180000046332-processed-gene-1.132-mRNA-1_1&gene=snap_masked-scf7180000046332-processed-gene-1.132&CDS=1-285, snap_masked-scf7180000046332-processed-gene-1.133-mRNA-1_1&gene=snap_masked-scf7180000046332-processed-gene-1.133&CDS=1-261, snap_masked-scf7180000046332-processed-gene-1.134-mRNA-1_1&gene=snap_masked-scf7180000046332-processed-gene-1.134&CDS=1-639, snap_masked-scf7180000046332-processed-gene-1.135-mRNA-1_1&gene=snap_masked-scf7180000046332-processed-gene-1.135&CDS=1-1542
OG0000003	YCR102C, YLR460C, YNL134C	augustus_masked-scf7180000046162-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000046162-processed-gene-0.9&CDS=1-1959, augustus_masked-scf7180000046333-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-scf7180000046333-processed-gene-0.17&CDS=1-1083, genemark-scf7180000045830-processed-gene-0.2-mRNA-1_1&gene=genemark-scf7180000045830-processed-gene-0.2&CDS=1-921, genemark-scf7180000046262-processed-gene-0.68-mRNA-1_1&gene=genemark-scf7180000046262-processed-gene-0.68&CDS=1-1236, genemark-scf7180000046322-processed-gene-0.36-mRNA-1_1&gene=genemark-scf7180000046322-processed-gene-0.36&CDS=1-1386, genemark-scf7180000046324-processed-gene-0.159-mRNA-1_1&gene=genemark-scf7180000046324-processed-gene-0.159&CDS=1-1116, genemark-scf7180000046333-processed-gene-2.22-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-2.22&CDS=1-1116, maker-scf7180000046042-snap-gene-0.9-mRNA-1_1&gene=maker-scf7180000046042-snap-gene-0.9&CDS=1-1242, maker-scf7180000046209-snap-gene-0.77-mRNA-1_1&gene=maker-scf7180000046209-snap-gene-0.77&CDS=1-2187, snap_masked-scf7180000046051-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000046051-processed-gene-0.9&CDS=1-1110, snap_masked-scf7180000046324-processed-gene-0.101-mRNA-1_1&gene=snap_masked-scf7180000046324-processed-gene-0.101&CDS=1-678
OG0000004	YGR201C	augustus_masked-scf7180000046068-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000046068-processed-gene-0.4&CDS=1-258, augustus_masked-scf7180000046068-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000046068-processed-gene-0.5&CDS=1-516, augustus_masked-scf7180000046118-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000046118-processed-gene-0.1&CDS=1-363, augustus_masked-scf7180000046310-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000046310-processed-gene-0.11&CDS=1-657, augustus_masked-scf7180000046310-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-scf7180000046310-processed-gene-0.12&CDS=1-657, augustus_masked-scf7180000046310-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-scf7180000046310-processed-gene-0.13&CDS=1-657, augustus_masked-scf7180000046310-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-scf7180000046310-processed-gene-0.14&CDS=1-657, augustus_masked-scf7180000046338-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000046338-processed-gene-0.1&CDS=1-663, genemark-scf7180000046318-processed-gene-0.128-mRNA-1_1&gene=genemark-scf7180000046318-processed-gene-0.128&CDS=1-657, genemark-scf7180000046318-processed-gene-0.129-mRNA-1_1&gene=genemark-scf7180000046318-processed-gene-0.129&CDS=1-657, genemark-scf7180000046318-processed-gene-0.130-mRNA-1_1&gene=genemark-scf7180000046318-processed-gene-0.130&CDS=1-657, snap_masked-scf7180000045895-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000045895-processed-gene-0.5&CDS=1-657, snap_masked-scf7180000046101-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000046101-processed-gene-0.3&CDS=1-657
OG0000005	YHR179W, YPL171C	augustus_masked-scf7180000044855-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-scf7180000044855-processed-gene-0.7&CDS=1-855, augustus_masked-scf7180000045803-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045803-processed-gene-0.2&CDS=1-1074, augustus_masked-scf7180000046113-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000046113-processed-gene-0.2&CDS=1-855, genemark-scf7180000045867-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000045867-processed-gene-0.5&CDS=1-1200, genemark-scf7180000046042-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000046042-processed-gene-0.0&CDS=1-1200, genemark-scf7180000046057-processed-gene-0.51-mRNA-1_1&gene=genemark-scf7180000046057-processed-gene-0.51&CDS=1-1200, genemark-scf7180000046170-processed-gene-0.21-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.21&CDS=1-1200, genemark-scf7180000046240-processed-gene-0.31-mRNA-1_1&gene=genemark-scf7180000046240-processed-gene-0.31&CDS=1-1200, genemark-scf7180000046286-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000046286-processed-gene-0.1&CDS=1-1200, genemark-scf7180000046314-processed-gene-0.154-mRNA-1_1&gene=genemark-scf7180000046314-processed-gene-0.154&CDS=1-1200, genemark-scf7180000046318-processed-gene-0.71-mRNA-1_1&gene=genemark-scf7180000046318-processed-gene-0.71&CDS=1-1200, snap_masked-scf7180000046324-processed-gene-0.73-mRNA-1_1&gene=snap_masked-scf7180000046324-processed-gene-0.73&CDS=1-1542
OG0000006		augustus_masked-scf7180000045374-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045374-processed-gene-0.2&CDS=1-399, augustus_masked-scf7180000045518-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045518-processed-gene-0.2&CDS=1-351, augustus_masked-scf7180000045528-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045528-processed-gene-0.0&CDS=1-324, augustus_masked-scf7180000045908-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000045908-processed-gene-0.2&CDS=1-1740, augustus_masked-scf7180000046047-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000046047-processed-gene-0.1&CDS=1-1038, augustus_masked-scf7180000046050-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-scf7180000046050-processed-gene-0.2&CDS=1-2511, augustus_masked-scf7180000046067-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000046067-processed-gene-0.4&CDS=1-1779, augustus_masked-scf7180000046080-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000046080-processed-gene-0.0&CDS=1-1962, augustus_masked-scf7180000046330-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-scf7180000046330-processed-gene-0.155&CDS=1-3582, augustus_masked-scf7180000046330-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-scf7180000046330-processed-gene-0.156&CDS=1-4395, genemark-scf7180000046268-processed-gene-0.10-mRNA-1_1&gene=genemark-scf7180000046268-processed-gene-0.10&CDS=1-3744, snap_masked-scf7180000045254-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000045254-processed-gene-0.0&CDS=1-672, snap_masked-scf7180000046263-processed-gene-0.17-mRNA-1_1&gene=snap_masked-scf7180000046263-processed-gene-0.17&CDS=1-717
OG0000007	YAL063C, YAL064C-A, YAL065C, YAR050W, YFL051C, YHR211W, YHR212W-A, YHR213W, YKR102W	augustus_masked-scf7180000045103-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000045103-processed-gene-0.0&CDS=1-705
OG0000008	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	genemark-scf7180000046191-processed-gene-0.15-mRNA-1_1&gene=genemark-scf7180000046191-processed-gene-0.15&CDS=1-1704, genemark-scf7180000046263-processed-gene-0.50-mRNA-1_1&gene=genemark-scf7180000046263-processed-gene-0.50&CDS=1-1677, genemark-scf7180000046332-processed-gene-1.61-mRNA-1_1&gene=genemark-scf7180000046332-processed-gene-1.61&CDS=1-1683, genemark-scf7180000046333-processed-gene-0.80-mRNA-1_1&gene=genemark-scf7180000046333-processed-gene-0.80&CDS=1-1713, snap_masked-scf7180000046202-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000046202-processed-gene-0.0&CDS=1-1665
OG0000009	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	genemark-scf7180000046167-processed-gene-0.25-mRNA-1_1&gene=genemark-scf7180000046167-processed-gene-0.25&CDS=1-696, genemark-scf7180000046170-processed-gene-0.63-mRNA-1_1&gene=genemark-scf7180000046170-processed-gene-0.63&CDS=1-636, genemark-scf7180000046266-processed-gene-0.214-mRNA-1_1&gene=genemark-scf7180000046266-processed-gene-0.214&CDS=1-981, snap_masked-scf7180000046332-processed-gene-1.170-mRNA-1_1&gene=snap_masked-scf7180000046332-processed-gene-1.170&CDS=1-774
OG0000010	YKR101W, YNL086W	augustus_masked-scf7180000046277-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-scf7180000046277-processed-gene-0.34&CDS=1-1605, augustus_masked-scf7180000046323-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000046323-processed-gene-0.15&CDS=1-969, snap_masked-scf7180000045931-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000045931-processed-gene-0.1&CDS=1-1254, snap_masked-scf7180000046055-processed-gene-0.10-mRNA-1_1&gene=snap_masked-scf7180000046055-processed-gene-0.10&CDS=1-1008, snap_masked-scf7180000046142-processed-gene-0.31-mRNA-1_1&gene=snap_masked-scf7180000046142-processed-gene-0.31&CDS=1-2283, snap_masked-scf7180000046257-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000046257-processed-gene-0.2&CDS=1-345, snap_masked-scf7180000046331-processed-gene-2.144-mRNA-1_1&gene=snap_masked-scf7180000046331-processed-gene-2.144&CDS=1-768
