	Metschnikowia_shivogae	Saccharomyces_cerevisiae
OG0000000	augustus_masked-shi_s3-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-shi_s3-processed-gene-0.97&CDS=1-663, augustus_masked-shi_s32-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-shi_s32-processed-gene-0.20&CDS=1-1140, augustus_masked-shi_s38-processed-gene-1.251-mRNA-1_1&gene=augustus_masked-shi_s38-processed-gene-1.251&CDS=1-1275, augustus_masked-shi_s40-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-shi_s40-processed-gene-0.2&CDS=1-2379, augustus_masked-shi_s72-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-shi_s72-processed-gene-0.13&CDS=1-3972, augustus_masked-shi_s84-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-shi_s84-processed-gene-0.4&CDS=1-2328, augustus_masked-shi_s89-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-shi_s89-processed-gene-0.1&CDS=1-654, genemark-shi_s13-processed-gene-0.87-mRNA-1_1&gene=genemark-shi_s13-processed-gene-0.87&CDS=1-3087, genemark-shi_s35-processed-gene-0.69-mRNA-1_1&gene=genemark-shi_s35-processed-gene-0.69&CDS=1-1161, maker-shi_s40-snap-gene-0.1-mRNA-1_1&gene=maker-shi_s40-snap-gene-0.1&CDS=1-1500, snap_masked-shi_s79-processed-gene-0.21-mRNA-1_1&gene=snap_masked-shi_s79-processed-gene-0.21&CDS=1-5637	
OG0000001	augustus_masked-shi_s18-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-shi_s18-processed-gene-2.117&CDS=1-3321, genemark-shi_s18-processed-gene-2.50-mRNA-1_1&gene=genemark-shi_s18-processed-gene-2.50&CDS=1-1713, genemark-shi_s18-processed-gene-4.103-mRNA-1_1&gene=genemark-shi_s18-processed-gene-4.103&CDS=1-1668, genemark-shi_s3-processed-gene-2.69-mRNA-1_1&gene=genemark-shi_s3-processed-gene-2.69&CDS=1-1701, genemark-shi_s48-processed-gene-0.111-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.111&CDS=1-1692, genemark-shi_s76-processed-gene-5.120-mRNA-1_1&gene=genemark-shi_s76-processed-gene-5.120&CDS=1-1722, maker-shi_s13-augustus-gene-2.0-mRNA-1_1&gene=maker-shi_s13-augustus-gene-2.0&CDS=1-2451, snap_masked-shi_s35-processed-gene-0.5-mRNA-1_1&gene=snap_masked-shi_s35-processed-gene-0.5&CDS=1-1809	YKR039W, YOR310C, YOR348C
OG0000002	genemark-shi_s25-processed-gene-3.15-mRNA-1_1&gene=genemark-shi_s25-processed-gene-3.15&CDS=1-4839, genemark-shi_s32-processed-gene-0.109-mRNA-1_1&gene=genemark-shi_s32-processed-gene-0.109&CDS=1-4098, maker-shi_s51-snap-gene-0.2-mRNA-1_1&gene=maker-shi_s51-snap-gene-0.2&CDS=1-2673, maker-shi_s77-augustus-gene-2.54-mRNA-1_1&gene=maker-shi_s77-augustus-gene-2.54&CDS=1-2445, snap_masked-shi_s13-processed-gene-3.102-mRNA-1_1&gene=snap_masked-shi_s13-processed-gene-3.102&CDS=1-3804	YCL024W, YDR477W, YDR507C, YKL101W, YNL023C, YPL150W
OG0000003	genemark-shi_s18-processed-gene-1.125-mRNA-1_1&gene=genemark-shi_s18-processed-gene-1.125&CDS=1-2634, genemark-shi_s25-processed-gene-4.87-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.87&CDS=1-3261, genemark-shi_s3-processed-gene-2.92-mRNA-1_1&gene=genemark-shi_s3-processed-gene-2.92&CDS=1-3273, genemark-shi_s53-processed-gene-7.94-mRNA-1_1&gene=genemark-shi_s53-processed-gene-7.94&CDS=1-2271, snap_masked-shi_s25-processed-gene-3.81-mRNA-1_1&gene=snap_masked-shi_s25-processed-gene-3.81&CDS=1-2460	YER013W, YGL120C, YKL078W, YKR086W, YNR011C
OG0000004	genemark-shi_s25-processed-gene-4.71-mRNA-1_1&gene=genemark-shi_s25-processed-gene-4.71&CDS=1-1770, genemark-shi_s48-processed-gene-3.110-mRNA-1_1&gene=genemark-shi_s48-processed-gene-3.110&CDS=1-1713, genemark-shi_s77-processed-gene-2.120-mRNA-1_1&gene=genemark-shi_s77-processed-gene-2.120&CDS=1-1737, genemark-shi_s91-processed-gene-1.39-mRNA-1_1&gene=genemark-shi_s91-processed-gene-1.39&CDS=1-1719	YBR293W, YCL069W, YGR224W, YKR105C, YPR198W
OG0000005	genemark-shi_s16-processed-gene-3.77-mRNA-1_1&gene=genemark-shi_s16-processed-gene-3.77&CDS=1-4245, genemark-shi_s53-processed-gene-2.20-mRNA-1_1&gene=genemark-shi_s53-processed-gene-2.20&CDS=1-4713, genemark-shi_s59-processed-gene-2.0-mRNA-1_1&gene=genemark-shi_s59-processed-gene-2.0&CDS=1-4443, maker-shi_s79-snap-gene-2.96-mRNA-1_1&gene=maker-shi_s79-snap-gene-2.96&CDS=1-12474, snap_masked-shi_s18-processed-gene-2.16-mRNA-1_1&gene=snap_masked-shi_s18-processed-gene-2.16&CDS=1-4644	YDL145C, YDR135C, YGR281W
OG0000006	augustus_masked-shi_s48-processed-gene-8.220-mRNA-1_1&gene=augustus_masked-shi_s48-processed-gene-8.220&CDS=1-1941, genemark-shi_s3-processed-gene-0.57-mRNA-1_1&gene=genemark-shi_s3-processed-gene-0.57&CDS=1-2718, genemark-shi_s59-processed-gene-5.134-mRNA-1_1&gene=genemark-shi_s59-processed-gene-5.134&CDS=1-2115, snap_masked-shi_s79-processed-gene-1.82-mRNA-1_1&gene=snap_masked-shi_s79-processed-gene-1.82&CDS=1-3597	YHR031C, YLR098C, YML061C, YOR337W
OG0000007	genemark-shi_s38-processed-gene-1.7-mRNA-1_1&gene=genemark-shi_s38-processed-gene-1.7&CDS=1-1689	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000008	genemark-shi_s16-processed-gene-2.33-mRNA-1_1&gene=genemark-shi_s16-processed-gene-2.33&CDS=1-4794, genemark-shi_s3-processed-gene-0.68-mRNA-1_1&gene=genemark-shi_s3-processed-gene-0.68&CDS=1-1359, genemark-shi_s48-processed-gene-0.136-mRNA-1_1&gene=genemark-shi_s48-processed-gene-0.136&CDS=1-4716, genemark-shi_s77-processed-gene-1.141-mRNA-1_1&gene=genemark-shi_s77-processed-gene-1.141&CDS=1-1155	YDR523C, YHR102W, YJL095W
OG0000009	genemark-shi_s18-processed-gene-0.2-mRNA-1_1&gene=genemark-shi_s18-processed-gene-0.2&CDS=1-957, genemark-shi_s53-processed-gene-8.28-mRNA-1_1&gene=genemark-shi_s53-processed-gene-8.28&CDS=1-1170, genemark-shi_s80-processed-gene-0.53-mRNA-1_1&gene=genemark-shi_s80-processed-gene-0.53&CDS=1-963	YBL068W, YER099C, YHL011C, YOL061W
