	Meyerozyma_guilliermondii	Saccharomyces_cerevisiae
OG0000000	augustus_masked-NW_001809800.1-processed-gene-17.10-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-17.10&CDS=1-462, genemark-NW_001809800.1-processed-gene-2.1-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-2.1&CDS=1-426	YAL068C, YAR020C, YBR301W, YCR104W, YDR542W, YEL049W, YFL020C, YGL261C, YGR294W, YHL046C, YIL176C, YIR041W, YJL223C, YJR150C, YJR151C, YKL224C, YLL025W, YLL064C, YLR037C, YLR461W, YMR325W, YNR076W, YOL161C, YOR394W, YPL282C
OG0000001	augustus_masked-NW_001809793.1-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.135&CDS=1-2889, augustus_masked-NW_001809795.1-processed-gene-2.136-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-2.136&CDS=1-2931, augustus_masked-NW_001809797.1-processed-gene-11.263-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.263&CDS=1-1083, augustus_masked-NW_001809799.1-processed-gene-9.55-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-9.55&CDS=1-6033, maker-NW_001809795.1-augustus-gene-4.48-mRNA-1_1&gene=maker-NW_001809795.1-augustus-gene-4.48&CDS=1-1983, maker-NW_001809797.1-augustus-gene-1.90-mRNA-1_1&gene=maker-NW_001809797.1-augustus-gene-1.90&CDS=1-6567, snap_masked-NW_001809797.1-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-0.41&CDS=1-1968, snap_masked-NW_001809797.1-processed-gene-0.48-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-0.48&CDS=1-2229, snap_masked-NW_001809797.1-processed-gene-11.160-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-11.160&CDS=1-1842, snap_masked-NW_001809799.1-processed-gene-18.219-mRNA-1_1&gene=snap_masked-NW_001809799.1-processed-gene-18.219&CDS=1-1965	YDR303C, YHR056C, YLR256W
OG0000002	augustus_masked-NW_001809793.1-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-0.98&CDS=1-1023, augustus_masked-NW_001809793.1-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-2.128&CDS=1-993, augustus_masked-NW_001809795.1-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-5.125&CDS=1-1005, augustus_masked-NW_001809795.1-processed-gene-9.114-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-9.114&CDS=1-1014, augustus_masked-NW_001809795.1-processed-gene-9.90-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-9.90&CDS=1-1008, augustus_masked-NW_001809797.1-processed-gene-11.260-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.260&CDS=1-1023, augustus_masked-NW_001809798.1-processed-gene-16.189-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-16.189&CDS=1-993, snap_masked-NW_001809799.1-processed-gene-15.22-mRNA-1_1&gene=snap_masked-NW_001809799.1-processed-gene-15.22&CDS=1-996	YDR541C, YOL151W
OG0000003	augustus_masked-NW_001809793.1-processed-gene-1.109-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-1.109&CDS=1-1704, augustus_masked-NW_001809794.1-processed-gene-7.262-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-7.262&CDS=1-1665, augustus_masked-NW_001809799.1-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-8.60&CDS=1-1701	YBR299W, YGR287C, YGR292W, YIL172C, YJL216C, YJL221C, YOL157C
OG0000004	augustus_masked-NW_001809795.1-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-5.105&CDS=1-1680, augustus_masked-NW_001809795.1-processed-gene-6.83-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-6.83&CDS=1-1548, augustus_masked-NW_001809795.1-processed-gene-8.4-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-8.4&CDS=1-1683, augustus_masked-NW_001809797.1-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-0.64&CDS=1-1656, augustus_masked-NW_001809799.1-processed-gene-5.159-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-5.159&CDS=1-1665, genemark-NW_001809793.1-processed-gene-3.114-mRNA-1_1&gene=genemark-NW_001809793.1-processed-gene-3.114&CDS=1-1587, genemark-NW_001809797.1-processed-gene-0.136-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-0.136&CDS=1-1554, genemark-NW_001809797.1-processed-gene-11.23-mRNA-1_1&gene=genemark-NW_001809797.1-processed-gene-11.23&CDS=1-1173, snap_masked-NW_001809794.1-processed-gene-0.124-mRNA-1_1&gene=snap_masked-NW_001809794.1-processed-gene-0.124&CDS=1-1605	YBR008C
OG0000005	augustus_masked-NW_001809794.1-processed-gene-4.11-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-4.11&CDS=1-753, augustus_masked-NW_001809796.1-processed-gene-10.117-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-10.117&CDS=1-753, augustus_masked-NW_001809798.1-processed-gene-9.154-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-9.154&CDS=1-756, augustus_masked-NW_001809799.1-processed-gene-12.130-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-12.130&CDS=1-753, augustus_masked-NW_001809800.1-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-2.121&CDS=1-753, genemark-NW_001809800.1-processed-gene-18.139-mRNA-1_1&gene=genemark-NW_001809800.1-processed-gene-18.139&CDS=1-723, maker-NW_001809794.1-snap-gene-0.88-mRNA-1_1&gene=maker-NW_001809794.1-snap-gene-0.88&CDS=1-723, maker-NW_001809797.1-snap-gene-11.189-mRNA-1_1&gene=maker-NW_001809797.1-snap-gene-11.189&CDS=1-711, snap_masked-NW_001809794.1-processed-gene-4.128-mRNA-1_1&gene=snap_masked-NW_001809794.1-processed-gene-4.128&CDS=1-756	YKL071W
OG0000006	augustus_masked-NW_001809794.1-processed-gene-4.46-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-4.46&CDS=1-1701, augustus_masked-NW_001809797.1-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-2.70&CDS=1-1731, augustus_masked-NW_001809797.1-processed-gene-6.9-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-6.9&CDS=1-1761, augustus_masked-NW_001809798.1-processed-gene-11.94-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-11.94&CDS=1-2991, augustus_masked-NW_001809798.1-processed-gene-9.164-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-9.164&CDS=1-1680, augustus_masked-NW_001809798.1-processed-gene-9.168-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-9.168&CDS=1-1743, maker-NW_001809794.1-snap-gene-3.154-mRNA-1_1&gene=maker-NW_001809794.1-snap-gene-3.154&CDS=1-3147	YCL025C, YDR508C, YKR039W
OG0000007	augustus_masked-NW_001809793.1-processed-gene-3.175-mRNA-1_1&gene=augustus_masked-NW_001809793.1-processed-gene-3.175&CDS=1-1797, augustus_masked-NW_001809794.1-processed-gene-7.278-mRNA-1_1&gene=augustus_masked-NW_001809794.1-processed-gene-7.278&CDS=1-1821, augustus_masked-NW_001809797.1-processed-gene-8.118-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-8.118&CDS=1-2388, augustus_masked-NW_001809798.1-processed-gene-15.104-mRNA-1_1&gene=augustus_masked-NW_001809798.1-processed-gene-15.104&CDS=1-2361, augustus_masked-NW_001809800.1-processed-gene-17.12-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-17.12&CDS=1-801, maker-NW_001809796.1-snap-gene-0.143-mRNA-1_1&gene=maker-NW_001809796.1-snap-gene-0.143&CDS=1-4788, snap_masked-NW_001809797.1-processed-gene-8.59-mRNA-1_1&gene=snap_masked-NW_001809797.1-processed-gene-8.59&CDS=1-2250	YJR061W, YKL201C
OG0000008	augustus_masked-NW_001809795.1-processed-gene-5.122-mRNA-1_1&gene=augustus_masked-NW_001809795.1-processed-gene-5.122&CDS=1-1767, augustus_masked-NW_001809799.1-processed-gene-1.96-mRNA-1_1&gene=augustus_masked-NW_001809799.1-processed-gene-1.96&CDS=1-1719, augustus_masked-NW_001809800.1-processed-gene-19.85-mRNA-1_1&gene=augustus_masked-NW_001809800.1-processed-gene-19.85&CDS=1-882, maker-NW_001809800.1-augustus-gene-14.59-mRNA-1_1&gene=maker-NW_001809800.1-augustus-gene-14.59&CDS=1-3177	YCL069W, YDL035C, YGR224W, YKR105C, YPR198W
OG0000009	augustus_masked-NW_001809796.1-processed-gene-0.124-mRNA-1_1&gene=augustus_masked-NW_001809796.1-processed-gene-0.124&CDS=1-1575, augustus_masked-NW_001809797.1-processed-gene-11.233-mRNA-1_1&gene=augustus_masked-NW_001809797.1-processed-gene-11.233&CDS=1-1683, maker-NW_001809795.1-augustus-gene-4.49-mRNA-1_1&gene=maker-NW_001809795.1-augustus-gene-4.49&CDS=1-3300, maker-NW_001809799.1-snap-gene-8.54-mRNA-1_1&gene=maker-NW_001809799.1-snap-gene-8.54&CDS=1-5226	YBR298C, YDL247W, YGR289C, YJR160C
