,OG,site_pvalue_0.1,site_pvalue_0.05
0,OG12960.csv,0,0
1,OG4949.csv,0,0
2,OG4314.csv,0,0
3,OG4860.csv,0,0
4,OG4761.csv,0,0
5,OG5204.csv,0,0
6,OG5600.csv,0,0
7,OG1358.csv,0,0
8,OG13721.csv,0,0
9,OG13902.csv,0,0
10,OG7921.csv,0,0
11,OG5315.csv,0,0
12,OG6971.csv,0,0
13,OG2912.csv,0,0
14,OG11858.csv,1,1
15,OG3958.csv,0,0
16,OG13757.csv,0,0
17,OG7024.csv,0,0
18,OG17269.csv,3,0
19,OG3827.csv,0,0
20,OG3872.csv,0,0
21,OG17068.csv,1,1
22,OG8437.csv,0,0
23,OG6334.csv,0,0
24,OG3770.csv,0,0
25,OG12140.csv,0,0
26,OG7503.csv,3,1
27,OG15430.csv,0,0
28,OG12738.csv,0,0
29,OG7128.csv,0,0
30,OG13333.csv,0,0
31,OG6690.csv,0,0
32,OG5726.csv,0,0
33,OG6764.csv,0,0
34,OG18463.csv,0,0
35,OG8411.csv,0,0
36,OG1411.csv,0,0
37,OG14638.csv,0,0
38,OG2374.csv,0,0
39,OG8235.csv,0,0
40,OG3169.csv,3,0
41,OG9676.csv,0,0
42,OG11255.csv,23,13
43,OG3054.csv,2,0
44,OG8699.csv,0,0
45,OG14731.csv,1,0
46,OG2185.csv,0,0
47,OG9179.csv,1,1
48,OG9684.csv,0,0
49,OG9826.csv,0,0
50,OG12377.csv,3,1
51,OG3733.csv,0,0
52,OG1379.csv,0,0
53,OG14837.csv,1,1
54,OG7906.csv,0,0
55,OG8574.csv,0,0
56,OG15736.csv,0,0
57,OG1883.csv,0,0
58,OG6755.csv,0,0
59,OG8480.csv,0,0
60,OG5304.csv,0,0
61,OG4957.csv,0,0
62,OG18017.csv,1,0
63,OG4052.csv,0,0
64,OG7234.csv,0,0
65,OG17657.csv,1,1
66,OG2754.csv,0,0
67,OG10879.csv,1,0
68,OG4878.csv,0,0
69,OG9977.csv,1,0
70,OG2511.csv,0,0
71,OG1808.csv,0,0
72,OG7762.csv,0,0
73,OG8983.csv,1,1
74,OG13653.csv,0,0
75,OG16639.csv,0,0
76,OG12652.csv,1,1
77,OG3828.csv,0,0
78,OG13266.csv,0,0
79,OG7417.csv,0,0
80,OG7309.csv,0,0
81,OG10190.csv,2,0
82,OG11711.csv,0,0
83,OG2495.csv,1,0
84,OG12555.csv,0,0
85,OG2501.csv,0,0
86,OG16487.csv,0,0
87,OG6263.csv,0,0
88,OG4557.csv,0,0
89,OG9036.csv,0,0
90,OG5967.csv,0,0
91,OG6943.csv,0,0
92,OG9115.csv,0,0
93,OG11999.csv,0,0
94,OG6706.csv,0,0
95,OG10101.csv,0,0
96,OG3758.csv,0,0
97,OG15737.csv,0,0
98,OG8088.csv,0,0
99,OG1895.csv,0,0
100,OG7238.csv,0,0
101,OG8053.csv,0,0
102,OG4233.csv,0,0
103,OG4281.csv,0,0
104,OG7768.csv,0,0
105,OG14646.csv,1,1
106,OG6941.csv,0,0
107,OG13152.csv,0,0
108,OG7138.csv,0,0
109,OG2341.csv,1,1
110,OG7516.csv,0,0
111,OG9914.csv,1,0
112,OG7490.csv,0,0
113,OG6215.csv,0,0
114,OG9751.csv,0,0
115,OG8628.csv,0,0
116,OG14176.csv,0,0
117,OG5497.csv,0,0
118,OG3859.csv,0,0
119,OG18158.csv,0,0
120,OG11121.csv,0,0
121,OG2040.csv,0,0
122,OG14610.csv,0,0
123,OG14633.csv,0,0
124,OG14995.csv,0,0
125,OG3153.csv,0,0
126,OG18711.csv,1,1
127,OG13285.csv,2,1
128,OG5404.csv,0,0
129,OG14404.csv,1,1
130,OG8501.csv,0,0
131,OG5773.csv,0,0
132,OG7520.csv,0,0
133,OG7367.csv,0,0
134,OG3020.csv,0,0
135,OG13796.csv,0,0
136,OG10507.csv,0,0
137,OG2369.csv,0,0
138,OG12800.csv,0,0
139,OG1260.csv,0,0
140,OG11267.csv,0,0
141,OG11459.csv,0,0
142,OG5699.csv,0,0
143,OG11441.csv,1,1
144,OG12187.csv,0,0
145,OG13950.csv,1,0
146,OG5042.csv,1,0
147,OG10563.csv,1,1
148,OG9383.csv,0,0
149,OG1823.csv,0,0
150,OG13223.csv,0,0
151,OG15631.csv,0,0
152,OG4404.csv,0,0
153,OG4800.csv,0,0
154,OG6159.csv,0,0
155,OG3532.csv,0,0
156,OG2154.csv,0,0
157,OG2742.csv,0,0
158,OG4645.csv,0,0
159,OG5937.csv,0,0
160,OG10336.csv,0,0
161,OG18367.csv,3,1
162,OG7511.csv,0,0
163,OG2043.csv,0,0
164,OG7505.csv,0,0
165,OG11174.csv,6,4
166,OG2725.csv,0,0
167,OG13883.csv,0,0
168,OG13501.csv,7,5
169,OG15035.csv,1,0
170,OG2587.csv,0,0
171,OG15383.csv,0,0
172,OG2136.csv,0,0
173,OG4048.csv,1,1
174,OG7802.csv,0,0
175,OG9030.csv,1,1
176,OG2165.csv,0,0
177,OG4729.csv,0,0
178,OG7781.csv,0,0
179,OG7363.csv,0,0
180,OG6082.csv,0,0
181,OG14676.csv,0,0
182,OG5968.csv,0,0
183,OG16240.csv,0,0
184,OG4778.csv,1,0
185,OG14545.csv,3,2
186,OG5327.csv,0,0
187,OG1301.csv,1,0
188,OG4395.csv,0,0
189,OG14738.csv,0,0
190,OG6760.csv,0,0
191,OG2280.csv,0,0
192,OG12656.csv,1,0
193,OG14680.csv,0,0
194,OG3734.csv,0,0
195,OG5531.csv,0,0
196,OG8205.csv,0,0
197,OG9561.csv,0,0
198,OG13208.csv,0,0
199,OG6527.csv,3,0
200,OG4230.csv,0,0
201,OG8936.csv,0,0
202,OG11569.csv,0,0
203,OG3689.csv,0,0
204,OG17086.csv,3,1
205,OG9707.csv,0,0
206,OG14939.csv,0,0
207,OG16360.csv,2,0
208,OG8606.csv,0,0
209,OG8459.csv,0,0
210,OG9817.csv,0,0
211,OG8300.csv,0,0
212,OG18004.csv,0,0
213,OG13522.csv,2,0
214,OG2231.csv,0,0
215,OG3367.csv,0,0
216,OG5721.csv,0,0
217,OG3889.csv,0,0
218,OG5707.csv,2,1
219,OG4508.csv,0,0
220,OG16867.csv,5,0
221,OG7677.csv,0,0
222,OG13695.csv,0,0
223,OG17160.csv,0,0
224,OG13496.csv,4,1
225,OG2497.csv,0,0
226,OG16627.csv,0,0
227,OG8738.csv,0,0
228,OG4889.csv,0,0
229,OG8945.csv,0,0
230,OG2069.csv,0,0
231,OG3709.csv,0,0
232,OG4751.csv,1,1
233,OG7190.csv,0,0
234,OG6002.csv,0,0
235,OG11633.csv,0,0
236,OG2358.csv,0,0
237,OG12350.csv,0,0
238,OG17256.csv,1,1
239,OG17953.csv,2,1
240,OG1794.csv,0,0
241,OG16069.csv,5,0
242,OG1420.csv,0,0
243,OG13836.csv,0,0
244,OG2412.csv,0,0
245,OG9081.csv,0,0
246,OG11820.csv,0,0
247,OG9710.csv,0,0
248,OG14407.csv,0,0
249,OG3436.csv,0,0
250,OG12692.csv,0,0
251,OG4538.csv,0,0
252,OG3034.csv,0,0
253,OG16201.csv,0,0
254,OG12982.csv,0,0
255,OG1158.csv,0,0
256,OG14880.csv,0,0
257,OG10052.csv,1,0
258,OG9251.csv,0,0
259,OG5894.csv,0,0
260,OG9821.csv,0,0
261,OG8806.csv,0,0
262,OG5414.csv,0,0
