,OG,negative_num,positive_num
0,OG12960,258,0
1,OG4949,153,0
2,OG4314,334,0
3,OG4860,131,0
4,OG4761,151,0
5,OG5204,207,0
6,OG5600,362,0
7,OG1358,995,0
8,OG13721,95,0
9,OG13902,74,0
10,OG7921,83,0
11,OG5315,724,0
12,OG6971,119,0
13,OG2912,272,0
14,OG11858,18,1
15,OG3958,45,0
16,OG13757,87,0
17,OG7024,247,0
18,OG17269,68,1
19,OG3827,188,0
20,OG3872,152,0
21,OG17068,206,1
22,OG8437,182,0
23,OG6334,387,0
24,OG3770,356,0
25,OG12140,155,0
26,OG7503,348,0
27,OG15430,82,0
28,OG12738,158,0
29,OG7128,136,0
30,OG13333,236,0
31,OG6690,251,0
32,OG5726,230,0
33,OG6764,57,0
34,OG18463,73,0
35,OG8411,89,1
36,OG1411,480,0
37,OG14638,92,0
38,OG2374,533,0
39,OG8235,235,0
40,OG3169,713,0
41,OG9676,115,1
42,OG11255,55,24
43,OG3054,6299,0
44,OG8699,71,0
45,OG14731,73,0
46,OG2185,353,0
47,OG9179,242,1
48,OG9684,40,0
49,OG9826,113,0
50,OG12377,97,0
51,OG3733,479,0
52,OG1379,205,0
53,OG14837,180,0
54,OG7906,89,0
55,OG8574,188,0
56,OG15736,123,0
57,OG1883,408,0
58,OG6755,424,0
59,OG8480,62,0
60,OG5304,124,0
61,OG4957,534,0
62,OG18017,46,3
63,OG4052,179,0
64,OG7234,128,0
65,OG17657,26,1
66,OG2754,257,0
67,OG10879,52,0
68,OG4878,91,1
69,OG9977,81,0
70,OG2511,1565,0
71,OG1808,359,0
72,OG7762,131,0
73,OG8983,89,1
74,OG13653,225,0
75,OG16639,369,1
76,OG12652,187,0
77,OG3828,522,0
78,OG13266,52,0
79,OG7417,179,0
80,OG7309,279,0
81,OG10190,121,4
82,OG11711,32,0
83,OG2495,688,0
84,OG12555,298,1
85,OG2501,889,0
86,OG16487,206,0
87,OG6263,748,0
88,OG4557,395,0
89,OG9036,93,0
90,OG5967,420,0
91,OG6943,419,0
92,OG9115,299,0
93,OG11999,30,0
94,OG6706,442,0
95,OG10101,188,0
96,OG3758,53,0
97,OG15737,130,0
98,OG8088,335,0
99,OG1895,325,0
100,OG7238,73,0
101,OG8053,165,0
102,OG4233,188,0
103,OG4281,95,0
104,OG7768,48,0
105,OG14646,48,1
106,OG6941,211,0
107,OG13152,62,0
108,OG7138,464,0
109,OG2341,416,0
110,OG7516,120,0
111,OG9914,104,0
112,OG7490,344,0
113,OG6215,71,0
114,OG9751,60,0
115,OG8628,178,0
116,OG14176,66,1
117,OG5497,117,0
118,OG3859,138,0
119,OG18158,118,0
120,OG11121,123,0
121,OG2040,190,0
122,OG14610,94,0
123,OG14633,138,0
124,OG14995,54,0
125,OG3153,211,0
126,OG18711,8,1
127,OG13285,56,1
128,OG5404,489,0
129,OG14404,67,0
130,OG8501,171,0
131,OG5773,144,0
132,OG7520,260,0
133,OG7367,772,0
134,OG3020,274,0
135,OG13796,185,0
136,OG10507,202,0
137,OG2369,204,0
138,OG12800,133,0
139,OG1260,576,0
140,OG11267,413,0
141,OG11459,48,0
142,OG5699,232,0
143,OG11441,67,1
144,OG12187,183,0
145,OG13950,210,0
146,OG5042,267,1
147,OG10563,108,1
148,OG9383,150,0
149,OG1823,192,0
150,OG13223,82,2
151,OG15631,34,0
152,OG4404,507,0
153,OG4800,183,0
154,OG6159,318,0
155,OG3532,147,0
156,OG2154,504,0
157,OG2742,553,0
158,OG4645,115,0
159,OG5937,178,0
160,OG10336,32,0
161,OG18367,77,2
162,OG7511,154,0
163,OG2043,369,0
164,OG7505,185,0
165,OG11174,456,0
166,OG2725,133,0
167,OG13883,26,0
168,OG13501,25,8
169,OG15035,76,1
170,OG2587,247,0
171,OG15383,34,0
172,OG2136,475,0
173,OG4048,478,2
174,OG7802,339,0
175,OG9030,233,0
176,OG2165,434,0
177,OG4729,303,0
178,OG7781,124,0
179,OG7363,88,0
180,OG6082,290,0
181,OG14676,45,0
182,OG5968,107,0
183,OG16240,39,0
184,OG4778,523,0
185,OG14545,157,0
186,OG5327,410,0
187,OG1301,223,4
188,OG4395,82,0
189,OG14738,82,0
190,OG6760,299,0
191,OG2280,779,0
192,OG12656,93,0
193,OG14680,67,0
194,OG3734,108,0
195,OG5531,189,0
196,OG8205,332,0
197,OG9561,75,0
198,OG13208,0,0
199,OG6527,219,2
200,OG4230,279,0
201,OG8936,182,0
202,OG11569,168,0
203,OG3689,128,0
204,OG17086,382,1
205,OG9707,292,0
206,OG14939,92,0
207,OG16360,61,0
208,OG8606,196,1
209,OG8459,63,0
210,OG9817,97,0
211,OG8300,68,0
212,OG18004,92,0
213,OG13522,140,0
214,OG2231,145,0
215,OG3367,277,0
216,OG5721,531,0
217,OG3889,197,0
218,OG5707,375,0
219,OG4508,87,0
220,OG16867,218,0
221,OG7677,128,0
222,OG13695,210,0
223,OG17160,36,0
224,OG13496,113,2
225,OG2497,183,0
226,OG16627,27,0
227,OG8738,81,0
228,OG4889,255,0
229,OG8945,268,0
230,OG2069,399,0
231,OG3709,257,0
232,OG4751,53,1
233,OG7190,295,0
234,OG6002,278,0
235,OG11633,61,0
236,OG2358,415,0
237,OG12350,284,0
238,OG17256,203,0
239,OG17953,310,2
240,OG1794,703,0
241,OG16069,598,0
242,OG1420,381,0
243,OG13836,116,0
244,OG2412,740,0
245,OG9081,269,0
246,OG11820,176,0
247,OG9710,90,0
248,OG14407,90,0
249,OG3436,373,0
250,OG12692,83,0
251,OG4538,225,0
252,OG3034,83,0
253,OG16201,99,0
254,OG12982,376,0
255,OG1158,316,0
256,OG14880,48,0
257,OG10052,38,1
258,OG9251,124,0
259,OG5894,276,1
260,OG9821,58,0
261,OG8806,16,0
262,OG5414,118,0
263,OG1493,156,0
264,OG11973,32,0
265,OG8230,212,0
266,OG9375,184,1
267,OG1486,251,1
268,OG4589,319,0
269,OG6034,142,0
270,OG8046,55,0
271,OG14839,44,0
272,OG18391,78,0
273,OG1633,313,1
274,OG6532,501,0
275,OG18629,46,0
276,OG11879,131,0
277,OG16118,167,0
278,OG6867,168,0
279,OG13857,107,0
280,OG9850,78,0
281,OG9647,89,0
282,OG2965,186,0
283,OG14663,168,0
284,OG1232,349,0
285,OG8931,62,0
