,OG,negative_num,positive_num
0,OG12960,353,0
1,OG4949,354,0
2,OG4314,6695,2
3,OG4860,622,0
4,OG4761,587,0
5,OG5204,243,0
6,OG5600,1298,1
7,OG1358,4360,0
8,OG13721,232,0
9,OG13902,146,0
10,OG7921,349,1
11,OG5315,1896,0
12,OG6971,754,0
13,OG2912,691,0
14,OG11858,51,2
15,OG3958,74,0
16,OG13757,281,0
17,OG7024,331,0
18,OG17269,131,0
19,OG3827,404,0
20,OG3872,406,1
21,OG17068,203,1
22,OG8437,406,1
23,OG6334,1722,0
24,OG3770,608,0
25,OG12140,327,1
26,OG7503,531,0
27,OG15430,136,0
28,OG12738,393,0
29,OG7128,289,0
30,OG13333,426,0
31,OG6690,887,0
32,OG5726,513,0
33,OG6764,67,0
34,OG18463,122,0
35,OG8411,223,0
36,OG1411,541,0
37,OG14638,212,0
38,OG2374,4933,0
39,OG8235,276,0
40,OG9359,844,0
41,OG3169,5072,0
42,OG9676,137,1
43,OG11255,58,39
44,OG3054,11173,1
45,OG8699,94,0
46,OG14731,101,0
47,OG2185,2800,0
48,OG9179,448,0
49,OG9684,119,0
50,OG9826,167,0
51,OG12377,364,0
52,OG3733,5622,0
53,OG1379,326,0
54,OG14837,416,1
55,OG7906,432,0
56,OG8574,403,1
57,OG15736,260,1
58,OG1883,680,1
59,OG6755,3756,0
60,OG8480,149,0
61,OG5304,266,0
62,OG4957,3666,0
63,OG18017,65,2
64,OG4052,428,0
65,OG7234,249,0
66,OG17657,47,3
67,OG2754,266,0
68,OG10879,71,0
69,OG4878,274,0
70,OG9977,142,1
71,OG2511,6559,0
72,OG1808,668,0
73,OG7762,340,0
74,OG8983,99,1
75,OG13653,952,0
76,OG16639,417,1
77,OG12652,302,0
78,OG3828,806,0
79,OG13266,65,2
80,OG7417,504,0
81,OG7309,902,0
82,OG10190,252,0
83,OG11711,36,1
84,OG2495,944,0
85,OG12555,307,1
86,OG2501,6236,0
87,OG16487,410,0
88,OG6263,2786,0
89,OG4557,5345,1
90,OG9036,311,0
91,OG5967,467,0
92,OG6943,1392,0
93,OG9115,912,1
94,OG11999,39,0
95,OG6706,1284,0
96,OG10101,285,0
97,OG3758,108,2
98,OG15737,217,0
99,OG8088,657,0
100,OG1895,492,0
101,OG7238,107,0
102,OG8053,375,0
103,OG4233,261,0
104,OG4281,100,0
105,OG7768,65,0
106,OG14646,158,0
107,OG6941,388,0
108,OG13152,173,0
109,OG7138,1121,0
110,OG2341,3493,0
111,OG7516,319,0
112,OG9914,204,0
113,OG7490,794,0
114,OG6215,77,0
115,OG9751,89,0
116,OG8628,395,2
117,OG14176,117,0
118,OG5497,365,0
119,OG3859,757,1
120,OG18158,257,1
121,OG11121,190,0
122,OG2040,199,0
123,OG14610,177,0
124,OG14633,197,0
125,OG14995,139,0
126,OG3153,663,0
127,OG18711,11,1
128,OG13285,64,1
129,OG5404,496,0
130,OG14404,117,0
131,OG8501,479,0
132,OG5773,569,0
133,OG7520,772,1
134,OG5293,271,0
135,OG7367,2655,0
136,OG3020,522,0
137,OG13796,380,0
138,OG10507,812,1
139,OG2369,329,0
140,OG12800,509,0
141,OG1260,656,0
142,OG11267,492,0
143,OG11459,122,0
144,OG5699,266,0
145,OG11441,78,1
146,OG12187,396,1
147,OG13950,782,0
148,OG5042,809,1
149,OG10563,229,1
150,OG9383,241,1
151,OG1823,267,0
152,OG13223,182,1
153,OG15631,60,0
154,OG4404,3556,0
155,OG4800,1024,0
156,OG6159,1004,0
157,OG3532,592,1
158,OG2154,4255,0
159,OG2742,687,0
160,OG4645,310,1
161,OG5937,389,0
162,OG10336,72,0
163,OG18367,150,1
164,OG7511,534,0
165,OG2043,1079,1
166,OG7505,297,0
167,OG11174,761,0
168,OG2725,521,0
169,OG13883,49,0
170,OG13501,29,5
171,OG15035,145,1
172,OG2587,516,0
173,OG15383,57,0
174,OG2136,782,1
175,OG4048,498,2
176,OG7802,688,0
177,OG9030,255,0
178,OG2165,1165,1
179,OG4729,573,0
180,OG7781,293,1
181,OG7363,513,1
182,OG6082,659,0
183,OG14676,62,0
184,OG5968,310,0
185,OG16240,93,2
186,OG4778,1769,0
187,OG14545,201,0
188,OG5327,604,0
189,OG1301,301,3
190,OG4395,206,0
191,OG14738,170,0
192,OG6760,1023,0
193,OG2280,5506,0
194,OG12656,253,0
195,OG14680,96,1
196,OG3734,361,0
197,OG5531,1185,0
198,OG8205,1508,0
199,OG9561,177,1
200,OG13208,20,0
201,OG6527,1194,0
202,OG4230,732,2
