"","X1","X.1","X","OG","branch_select","number_select","sce","species_select","clade_with_trait","species_with_trait","select_clade_all","species_select_ratio","clade_select_ratio","Select_species","fcc","vote_percentage"
"1",1,1,4429,"OG1171","Arxula_adeninivorans_Seq_770, Candida_auris_Seq_1164, Candida_orthopsilosis_Seq_1919, Kluyveromyces_marxianus_Seq_3424, Nakaseomyces_nivariensis_Seq_902, Node43, Node45, Node49, Node51, Node6, Node77, Node80, Saprochaete_clavata_Seq_4897, yHAB143_Kazachstania_siamensis_Seq_5094, yHMPu5000034625_Pichia_kudriavzevii_Seq_1029, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3881, yHMPu5000034933_Kuraishia_molischiana_Seq_620, yHMPu5000035662_Meyerozyma_caribbica_Seq_3256, yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_5340",19,"YPL036W","Saprochaete_clavata_Seq_4897,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_5340,Kluyveromyces_marxianus_Seq_3424,Eremothecium_coryli_Seq_1683,Eremothecium_sinecaudum_Seq_1141,Eremothecium_coryli_Seq_1683,Eremothecium_sinecaudum_Seq_1141,yHAB143_Kazachstania_siamensis_Seq_5094,Nakaseomyces_bracarensis_Seq_3997,Nakaseomyces_nivariensis_Seq_902,Nakaseomyces_bracarensis_Seq_3997,Nakaseomyces_nivariensis_Seq_902,Ogataea_polymorpha_Seq_1785,yHMPu5000034885_Ogataea_zsoltii_Seq_314,Candida_auris_Seq_1164,yHMPu5000035662_Meyerozyma_caribbica_Seq_3256,Arxula_adeninivorans_Seq_770,Candida_auris_Seq_1164,Candida_orthopsilosis_Seq_1919,Kluyveromyces_marxianus_Seq_3424,Nakaseomyces_nivariensis_Seq_902,Saprochaete_clavata_Seq_4897,yHAB143_Kazachstania_siamensis_Seq_5094,yHMPu5000034625_Pichia_kudriavzevii_Seq_1029,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3881,yHMPu5000034933_Kuraishia_molischiana_Seq_620,yHMPu5000035662_Meyerozyma_caribbica_Seq_3256,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_5340",4,17,4,1,1,17,NA,NA
"2",2,2,1435,"OG1813","Arxula_adeninivorans_Seq_290, Candida_auris_Seq_4738, Candida_orthopsilosis_Seq_1561, Kluyveromyces_marxianus_Seq_4827, Node10, Node12, Node15, Node29, Node52, Node54, Node58, Node60, Saprochaete_clavata_Seq_4554, yHAB143_Kazachstania_siamensis_Seq_1376, yHMPu5000034625_Pichia_kudriavzevii_Seq_716, yHMPu5000034885_Ogataea_zsoltii_Seq_5124, yHMPu5000034933_Kuraishia_molischiana_Seq_4586, yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1229",18,"YER091C","yHMPu5000034933_Kuraishia_molischiana_Seq_4586,Ogataea_polymorpha_Seq_4045,yHMPu5000034885_Ogataea_zsoltii_Seq_5124,Ogataea_polymorpha_Seq_4045,yHMPu5000034885_Ogataea_zsoltii_Seq_5124,Candida_auris_Seq_4738,yHMPu5000035662_Meyerozyma_caribbica_Seq_2938,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4380,Arxula_adeninivorans_Seq_290,Kluyveromyces_marxianus_Seq_4827,Eremothecium_coryli_Seq_111,Eremothecium_sinecaudum_Seq_490,Eremothecium_coryli_Seq_111,Eremothecium_sinecaudum_Seq_490,yHAB143_Kazachstania_siamensis_Seq_1376,Nakaseomyces_bracarensis_Seq_851,Nakaseomyces_nivariensis_Seq_2565,Nakaseomyces_bracarensis_Seq_851,Nakaseomyces_nivariensis_Seq_2565,Arxula_adeninivorans_Seq_290,Candida_auris_Seq_4738,Candida_orthopsilosis_Seq_1561,Kluyveromyces_marxianus_Seq_4827,Saprochaete_clavata_Seq_4554,yHAB143_Kazachstania_siamensis_Seq_1376,yHMPu5000034625_Pichia_kudriavzevii_Seq_716,yHMPu5000034885_Ogataea_zsoltii_Seq_5124,yHMPu5000034933_Kuraishia_molischiana_Seq_4586,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1229",4,17,4,1,1,17,NA,NA
"3",3,3,2514,"OG1332","Candida_auris_Seq_644, Candida_orthopsilosis_Seq_1879, Node25, Node26, Node31, Node33, Node56, Node63, Node64, Node67, Node89, Node91, yHAB143_Kazachstania_siamensis_Seq_1835, yHMPu5000034625_Pichia_kudriavzevii_Seq_1545, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_1835, yHMPu5000034933_Kuraishia_molischiana_Seq_3284, yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_349",17,"YGR094W","yHAB143_Kazachstania_siamensis_Seq_1835,Nakaseomyces_bracarensis_Seq_3977,Nakaseomyces_nivariensis_Seq_4645,Kluyveromyces_marxianus_Seq_2145,Eremothecium_coryli_Seq_1371,Eremothecium_sinecaudum_Seq_3104,yHAB143_Kazachstania_siamensis_Seq_1835,Nakaseomyces_bracarensis_Seq_3977,Nakaseomyces_nivariensis_Seq_4645,Kluyveromyces_marxianus_Seq_2145,Eremothecium_coryli_Seq_1371,Eremothecium_sinecaudum_Seq_3104,Eremothecium_coryli_Seq_1371,Eremothecium_sinecaudum_Seq_3104,Candida_orthopsilosis_Seq_1879,Candida_auris_Seq_644,yHMPu5000035662_Meyerozyma_caribbica_Seq_725,Saprochaete_clavata_Seq_3918,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_349,Arxula_adeninivorans_Seq_3587,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_1835,Saprochaete_clavata_Seq_3918,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_349,Arxula_adeninivorans_Seq_3587,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_1835,yHMPu5000034933_Kuraishia_molischiana_Seq_3284,Ogataea_polymorpha_Seq_546,yHMPu5000034885_Ogataea_zsoltii_Seq_5242,Ogataea_polymorpha_Seq_546,yHMPu5000034885_Ogataea_zsoltii_Seq_5242,Candida_auris_Seq_644,Candida_orthopsilosis_Seq_1879,yHAB143_Kazachstania_siamensis_Seq_1835,yHMPu5000034625_Pichia_kudriavzevii_Seq_1545,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_1835,yHMPu5000034933_Kuraishia_molischiana_Seq_3284,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_349",4,17,4,1,1,17,NA,NA
"4",4,4,2865,"OG1193","Arxula_adeninivorans_Seq_2861, Eremothecium_coryli_Seq_1262, Kluyveromyces_marxianus_Seq_4772, Node14, Node18, Node39, Node40, Node43, Node69, Node71, Node72, Node75, yHMPu5000034625_Pichia_kudriavzevii_Seq_1707, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_6119, yHMPu5000034933_Kuraishia_molischiana_Seq_4160, yHMPu5000035662_Meyerozyma_caribbica_Seq_2785, yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1943",17,"YMR323W","Ogataea_polymorpha_Seq_4234,yHMPu5000034885_Ogataea_zsoltii_Seq_278,Candida_auris_Seq_3048,yHMPu5000035662_Meyerozyma_caribbica_Seq_2785,Arxula_adeninivorans_Seq_2861,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_6119,Saprochaete_clavata_Seq_5760,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1943,Arxula_adeninivorans_Seq_2861,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_6119,Saprochaete_clavata_Seq_5760,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1943,Kluyveromyces_marxianus_Seq_4772,Eremothecium_coryli_Seq_1262,Eremothecium_sinecaudum_Seq_3696,Nakaseomyces_bracarensis_Seq_433,Nakaseomyces_nivariensis_Seq_145,Eremothecium_coryli_Seq_1262,Eremothecium_sinecaudum_Seq_3696,Nakaseomyces_bracarensis_Seq_433,Nakaseomyces_nivariensis_Seq_145,Eremothecium_coryli_Seq_1262,Eremothecium_sinecaudum_Seq_3696,Nakaseomyces_bracarensis_Seq_433,Nakaseomyces_nivariensis_Seq_145,Arxula_adeninivorans_Seq_2861,Eremothecium_coryli_Seq_1262,Kluyveromyces_marxianus_Seq_4772,yHMPu5000034625_Pichia_kudriavzevii_Seq_1707,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_6119,yHMPu5000034933_Kuraishia_molischiana_Seq_4160,yHMPu5000035662_Meyerozyma_caribbica_Seq_2785,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1943",4,16,4,0.9375,1,15,NA,NA
"5",5,5,3575,"OG1432","Arxula_adeninivorans_Seq_3842, Candida_orthopsilosis_Seq_3657, Eremothecium_coryli_Seq_960, Kluyveromyces_marxianus_Seq_3920, Nakaseomyces_bracarensis_Seq_3286, Nakaseomyces_nivariensis_Seq_928, Node15, Node19, Node34, Node42, Node72, yHAB143_Kazachstania_siamensis_Seq_2135, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2817, yHMPu5000034885_Ogataea_zsoltii_Seq_3820, yHMPu5000034933_Kuraishia_molischiana_Seq_5239, yHMPu5000035662_Meyerozyma_caribbica_Seq_1045, yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1690",17,"YKL060C","Eremothecium_coryli_Seq_960,Eremothecium_sinecaudum_Seq_1183,Nakaseomyces_bracarensis_Seq_3286,Nakaseomyces_nivariensis_Seq_928,yHAB143_Kazachstania_siamensis_Seq_2135,Kluyveromyces_marxianus_Seq_3920,Candida_auris_Seq_3841,yHMPu5000035662_Meyerozyma_caribbica_Seq_1045,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2817,Arxula_adeninivorans_Seq_3842,Arxula_adeninivorans_Seq_3842,Candida_orthopsilosis_Seq_3657,Eremothecium_coryli_Seq_960,Kluyveromyces_marxianus_Seq_3920,Nakaseomyces_bracarensis_Seq_3286,Nakaseomyces_nivariensis_Seq_928,yHAB143_Kazachstania_siamensis_Seq_2135,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2817,yHMPu5000034885_Ogataea_zsoltii_Seq_3820,yHMPu5000034933_Kuraishia_molischiana_Seq_5239,yHMPu5000035662_Meyerozyma_caribbica_Seq_1045,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1690",4,16,4,0.875,1,14,NA,NA
"6",6,6,4280,"OG1463","Arxula_adeninivorans_Seq_2120, Candida_orthopsilosis_Seq_117, Eremothecium_sinecaudum_Seq_1216, Kluyveromyces_marxianus_Seq_3803, Node12, Node55, Node56, Node58, Node61, Node63, Node71, Node87, yHAB143_Kazachstania_siamensis_Seq_1306, yHMPu5000034625_Pichia_kudriavzevii_Seq_2611, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3301, yHMPu5000034885_Ogataea_zsoltii_Seq_4902, yHMPu5000035662_Meyerozyma_caribbica_Seq_1634",17,"YKL182W","yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3301,Arxula_adeninivorans_Seq_2120,yHAB143_Kazachstania_siamensis_Seq_1306,Nakaseomyces_bracarensis_Seq_4611,Nakaseomyces_nivariensis_Seq_2965,Kluyveromyces_marxianus_Seq_3803,Eremothecium_coryli_Seq_2684,Eremothecium_sinecaudum_Seq_1216,yHAB143_Kazachstania_siamensis_Seq_1306,Nakaseomyces_bracarensis_Seq_4611,Nakaseomyces_nivariensis_Seq_2965,Nakaseomyces_bracarensis_Seq_4611,Nakaseomyces_nivariensis_Seq_2965,Kluyveromyces_marxianus_Seq_3803,Eremothecium_coryli_Seq_2684,Eremothecium_sinecaudum_Seq_1216,Eremothecium_coryli_Seq_2684,Eremothecium_sinecaudum_Seq_1216,yHMPu5000034625_Pichia_kudriavzevii_Seq_2611,yHMPu5000034885_Ogataea_zsoltii_Seq_4902,Ogataea_polymorpha_Seq_1661,yHMPu5000034933_Kuraishia_molischiana_Seq_202,Candida_orthopsilosis_Seq_117,Candida_auris_Seq_4261,yHMPu5000035662_Meyerozyma_caribbica_Seq_1634,Arxula_adeninivorans_Seq_2120,Candida_orthopsilosis_Seq_117,Eremothecium_sinecaudum_Seq_1216,Kluyveromyces_marxianus_Seq_3803,yHAB143_Kazachstania_siamensis_Seq_1306,yHMPu5000034625_Pichia_kudriavzevii_Seq_2611,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_3301,yHMPu5000034885_Ogataea_zsoltii_Seq_4902,yHMPu5000035662_Meyerozyma_caribbica_Seq_1634",4,16,4,0.9375,1,15,NA,NA
"7",7,7,4490,"OG1316","Arxula_adeninivorans_Seq_738, Candida_auris_Seq_1018, Eremothecium_coryli_Seq_1611, Kluyveromyces_marxianus_Seq_2666, Node14, Node16, Node19, Node22, Node36, Node60, Node63, Saprochaete_clavata_Seq_138, yHAB143_Kazachstania_siamensis_Seq_2226, yHMPu5000034625_Pichia_kudriavzevii_Seq_2070, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_5148, yHMPu5000034933_Kuraishia_molischiana_Seq_2618, yHMPu5000035662_Meyerozyma_caribbica_Seq_3779",17,"YPL231W","yHAB143_Kazachstania_siamensis_Seq_2226,Kluyveromyces_marxianus_Seq_2666,Nakaseomyces_bracarensis_Seq_893,Nakaseomyces_nivariensis_Seq_1957,Eremothecium_coryli_Seq_1611,Eremothecium_sinecaudum_Seq_4019,Kluyveromyces_marxianus_Seq_2666,Nakaseomyces_bracarensis_Seq_893,Nakaseomyces_nivariensis_Seq_1957,Eremothecium_coryli_Seq_1611,Eremothecium_sinecaudum_Seq_4019,Nakaseomyces_bracarensis_Seq_893,Nakaseomyces_nivariensis_Seq_1957,Eremothecium_coryli_Seq_1611,Eremothecium_sinecaudum_Seq_4019,yHMPu5000034625_Pichia_kudriavzevii_Seq_2070,Ogataea_polymorpha_Seq_3185,yHMPu5000034885_Ogataea_zsoltii_Seq_4819,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_5148,Arxula_adeninivorans_Seq_738,Candida_auris_Seq_1018,yHMPu5000035662_Meyerozyma_caribbica_Seq_3779,Arxula_adeninivorans_Seq_738,Candida_auris_Seq_1018,Eremothecium_coryli_Seq_1611,Kluyveromyces_marxianus_Seq_2666,Saprochaete_clavata_Seq_138,yHAB143_Kazachstania_siamensis_Seq_2226,yHMPu5000034625_Pichia_kudriavzevii_Seq_2070,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_5148,yHMPu5000034933_Kuraishia_molischiana_Seq_2618,yHMPu5000035662_Meyerozyma_caribbica_Seq_3779",4,15,4,1,1,15,NA,NA
"8",8,8,974,"OG1301","Arxula_adeninivorans_Seq_5515, Candida_auris_Seq_1800, Candida_orthopsilosis_Seq_4179, Eremothecium_sinecaudum_Seq_1518, Nakaseomyces_bracarensis_Seq_3545, Node30, Node34, Node57, Node66, Node72, Ogataea_polymorpha_Seq_2572, yHMPu5000034625_Pichia_kudriavzevii_Seq_3317, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4278, yHMPu5000034885_Ogataea_zsoltii_Seq_4011, yHMPu5000034933_Kuraishia_molischiana_Seq_183, yHMPu5000035662_Meyerozyma_caribbica_Seq_2249",16,"YGR279C","Eremothecium_sinecaudum_Seq_1518,yHAB143_Kazachstania_siamensis_Seq_2733,Nakaseomyces_nivariensis_Seq_181,Nakaseomyces_bracarensis_Seq_3545,Nakaseomyces_nivariensis_Seq_181,Nakaseomyces_bracarensis_Seq_3545,Saprochaete_clavata_Seq_2592,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_1705,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4278,Arxula_adeninivorans_Seq_5515,Ogataea_polymorpha_Seq_2572,yHMPu5000034885_Ogataea_zsoltii_Seq_4011,Arxula_adeninivorans_Seq_5515,Candida_auris_Seq_1800,Candida_orthopsilosis_Seq_4179,Eremothecium_sinecaudum_Seq_1518,Nakaseomyces_bracarensis_Seq_3545,Ogataea_polymorpha_Seq_2572,yHMPu5000034625_Pichia_kudriavzevii_Seq_3317,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_4278,yHMPu5000034885_Ogataea_zsoltii_Seq_4011,yHMPu5000034933_Kuraishia_molischiana_Seq_183,yHMPu5000035662_Meyerozyma_caribbica_Seq_2249",4,15,4,1,1,15,NA,NA
"9",9,9,4151,"OG1424","Candida_auris_Seq_3822, Eremothecium_coryli_Seq_1096, Kluyveromyces_marxianus_Seq_4108, Node28, Node29, Node32, Node50, Node72, Node73, Node75, Node9, Saprochaete_clavata_Seq_3786, yHMPu5000034625_Pichia_kudriavzevii_Seq_3093, yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2707, yHMPu5000034933_Kuraishia_molischiana_Seq_578, yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_6225",16,"YCR012W","Candida_orthopsilosis_Seq_2649,Candida_auris_Seq_3822,yHMPu5000035662_Meyerozyma_caribbica_Seq_1888,Arxula_adeninivorans_Seq_3464,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2707,Saprochaete_clavata_Seq_3786,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_6225,Arxula_adeninivorans_Seq_3464,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2707,Saprochaete_clavata_Seq_3786,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_6225,yHMPu5000034933_Kuraishia_molischiana_Seq_578,Ogataea_polymorpha_Seq_4092,yHMPu5000034885_Ogataea_zsoltii_Seq_3066,yHAB143_Kazachstania_siamensis_Seq_3051,Nakaseomyces_bracarensis_Seq_4198,Nakaseomyces_nivariensis_Seq_2673,Kluyveromyces_marxianus_Seq_4108,Eremothecium_coryli_Seq_1096,yHAB143_Kazachstania_siamensis_Seq_3051,Nakaseomyces_bracarensis_Seq_4198,Nakaseomyces_nivariensis_Seq_2673,Nakaseomyces_bracarensis_Seq_4198,Nakaseomyces_nivariensis_Seq_2673,Candida_auris_Seq_3822,Eremothecium_coryli_Seq_1096,Kluyveromyces_marxianus_Seq_4108,Saprochaete_clavata_Seq_3786,yHMPu5000034625_Pichia_kudriavzevii_Seq_3093,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_2707,yHMPu5000034933_Kuraishia_molischiana_Seq_578,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_6225",4,16,4,1,1,16,NA,NA
"10",10,10,953,"OG1524","Arxula_adeninivorans_Seq_3810, Candida_auris_Seq_339, Kluyveromyces_marxianus_Seq_3929, Node54, Node58, Node6, Node79, Node82, Node88, Node91, Ogataea_polymorpha_Seq_1903, yHAB143_Kazachstania_siamensis_Seq_560, yHMPu5000034625_Pichia_kudriavzevii_Seq_4406, yHMPu5000034885_Ogataea_zsoltii_Seq_2470, yHMPu5000035662_Meyerozyma_caribbica_Seq_2768",15,"YBR162C","Ogataea_polymorpha_Seq_1903,yHMPu5000034885_Ogataea_zsoltii_Seq_2470,Saprochaete_clavata_Seq_809,yHMPu5000041818_Magnusiomyces_tetrasperma_Seq_6613,Arxula_adeninivorans_Seq_3810,yHMPu5000034675_Blastobotrys_mokoenaii_Seq_1567,yHAB143_Kazachstania_siamensis_Seq_560,Eremothecium_coryli_Seq_1553,Eremothecium_sinecaudum_Seq_3928,Kluyveromyces_marxianus_Seq_3929,Nakaseomyces_bracarensis_Seq_368,Nakaseomyces_nivariensis_Seq_178,Candida_orthopsilosis_Seq_3978,yHMPu5000035662_Meyerozyma_caribbica_Seq_2768,Candida_auris_Seq_339,Eremothecium_coryli_Seq_1553,Eremothecium_sinecaudum_Seq_3928,Kluyveromyces_marxianus_Seq_3929,Nakaseomyces_bracarensis_Seq_368,Nakaseomyces_nivariensis_Seq_178,Nakaseomyces_bracarensis_Seq_368,Nakaseomyces_nivariensis_Seq_178,Candida_orthopsilosis_Seq_3978,yHMPu5000035662_Meyerozyma_caribbica_Seq_2768,Candida_auris_Seq_339,Arxula_adeninivorans_Seq_3810,Candida_auris_Seq_339,Kluyveromyces_marxianus_Seq_3929,Ogataea_polymorpha_Seq_1903,yHAB143_Kazachstania_siamensis_Seq_560,yHMPu5000034625_Pichia_kudriavzevii_Seq_4406,yHMPu5000034885_Ogataea_zsoltii_Seq_2470,yHMPu5000035662_Meyerozyma_caribbica_Seq_2768",4,17,4,0.941176470588235,1,16,NA,NA
