"X1"	"OG"	"dN_dS"	"representative"	"locus"	"positive_num"	"uniprotID"	"geneID"
4	"OG2176"	0.08765	"Saccharomyces_cerevisiae@YMR244W"	"YMR244W"	1	"Q04018"	"YM79"
7	"OG3717"	0.1762	"Saccharomyces_cerevisiae@YNL107W"	"YNL107W"	2	"P53930"	"AF9"
9	"OG3802"	0.3605	"Saccharomyces_cerevisiae@YNL193W"	"YNL193W"	1	"P53870"	"YNT3"
10	"OG1516"	0.035	"Saccharomyces_cerevisiae@YDR502C"	"YDR502C"	1	"P19358"	"METK2"
11	"OG4950"	0.12615	"Saccharomyces_cerevisiae@YLR214W"	"YLR214W"	NA	"P32791"	"FRE1"
13	"OG2455"	0.09515	"Saccharomyces_cerevisiae@YHL032C"	"YHL032C"	NA	"P32190"	"GLPK"
15	"OG1200"	0.1602	"Saccharomyces_cerevisiae@YJR049C"	"YJR049C"	NA	"P21373"	"UTR1"
19	"OG4041"	0.3475	"Saccharomyces_cerevisiae@YGL161C"	"YGL161C"	NA	"P53108"	"YIP5"
20	"OG3896"	0.1764	"Saccharomyces_cerevisiae@YGL010W"	"YGL010W"	NA	"P25338"	"YGB0"
21	"OG4436"	0.1396	"Saccharomyces_cerevisiae@YHR168W"	"YHR168W"	NA	"P38860"	"MTG2"
23	"OG6426"	0.27975	"Saccharomyces_cerevisiae@YDR201W"	"YDR201W"	NA	"Q03954"	"SPC19"
26	"OG3480"	0.07985	"Saccharomyces_cerevisiae@YDL128W"	"YDL128W"	NA	"Q99385"	"VCX1"
27	"OG4804"	0.40505	"Saccharomyces_cerevisiae@YMR294W"	"YMR294W"	NA	"P36224"	"JNM1"
30	"OG3347"	0.1529	"Saccharomyces_cerevisiae@YLR116W"	"YLR116W"	NA	"Q12186"	"BBP"
36	"OG3371"	0.2698	"Saccharomyces_cerevisiae@YDR333C"	"YDR333C"	NA	"Q05468"	"RQC1"
37	"OG17582"	0.25245	"Saccharomyces_cerevisiae@YGR161W-C"	"YGR161W-C"	1	"Q3E744"	"YG161"
45	"OG7126"	0.2172	"Saccharomyces_cerevisiae@YDR506C"	"YDR506C"	1	"Q04399"	"GMC1"
47	"OG3718"	0.1981	"Saccharomyces_cerevisiae@YPR028W"	"YPR028W"	NA	"Q12402"	"YOP1"
51	"OG2818"	0.14165	"Saccharomyces_cerevisiae@YLR362W"	"YLR362W"	NA	"P23561"	"STE11"
52	"OG6573"	0.1777	"Saccharomyces_cerevisiae@YNL164C"	"YNL164C"	NA	"P53892"	"IBD2"
54	"OG4278"	0.468	"Saccharomyces_cerevisiae@YLR287C"	"YLR287C"	NA	"Q05881"	"YL287"
55	"OG2164"	0.1217	"Saccharomyces_cerevisiae@YMR224C"	"YMR224C"	NA	"P32829"	"MRE11"
57	"OG3532"	0.2489	"Saccharomyces_cerevisiae@YOR223W"	"YOR223W"	1	"Q12015"	"YO223"
59	"OG2649"	0.1815	"Saccharomyces_cerevisiae@YML060W"	"YML060W"	NA	"P53397"	"OGG1"
66	"OG1370"	0.1212	"Saccharomyces_cerevisiae@YOR110W"	"YOR110W"	NA	"Q12415"	"TFC7"
72	"OG5191"	0.2767	"Saccharomyces_cerevisiae@YCR071C"	"YCR071C"	NA	"P25642"	"IMG2"
76	"OG2971"	0.2733	"Saccharomyces_cerevisiae@YOR165W"	"YOR165W"	NA	"Q99287"	"SEY1"
77	"OG1325"	0.0266	"Saccharomyces_cerevisiae@YER098W"	"YER098W"	NA	"P39967"	"UBP9"
78	"OG8269"	0.2627	"Saccharomyces_cerevisiae@YKL218C"	"YKL218C"	NA	"P36007"	"LTHAD"
82	"OG6914"	0.2905	"Saccharomyces_cerevisiae@YBL034C"	"YBL034C"	NA	"P38198"	"STU1"
83	"OG4195"	0.2422	"Saccharomyces_cerevisiae@YDR067C"	"YDR067C"	NA	"Q12454"	"OCA6"
84	"OG2942"	0.0672	"Saccharomyces_cerevisiae@YAL036C"	"YAL036C"	NA	"P39729"	"RBG1"
86	"OG6621"	0.21875	"Saccharomyces_cerevisiae@YLR021W"	"YLR021W"	NA	"Q07951"	"POC3"
91	"OG6443"	0.2665	"Saccharomyces_cerevisiae@YJR046W"	"YJR046W"	2	"P47112"	"CDT1"
92	"OG3847"	0.12445	"Saccharomyces_cerevisiae@YPL248C"	"YPL248C"	NA	"P04386"	"GAL4"
101	"OG4065"	0.1824	"Saccharomyces_cerevisiae@YNL128W"	"YNL128W"	NA	"P53916"	"TEP1"
111	"OG3276"	0.0492	"Saccharomyces_cerevisiae@YAL046C"	"YAL046C"	3	"P39724"	"BOL3"
113	"OG1444"	0.04905	"Saccharomyces_cerevisiae@YPR165W"	"YPR165W"	NA	"P06780"	"RHO1"
114	"OG4759"	0.1398	"Saccharomyces_cerevisiae@YAL040C"	"YAL040C"	NA	"P13365"	"CG13"
130	"OG4699"	0.3591	"Saccharomyces_cerevisiae@YHR101C"	"YHR101C"	1	"P38813"	"BIG1"
136	"OG3415"	0.2576	"Saccharomyces_cerevisiae@YKR088C"	"YKR088C"	NA	"P36164"	"TVP38"
140	"OG1314"	0.179	"Saccharomyces_cerevisiae@YML100W"	"YML100W"	NA	"P38427"	"TSL1"
141	"OG1934"	0.1059	"Saccharomyces_cerevisiae@YHR206W"	"YHR206W"	1	"P38889"	"SKN7"
147	"OG2894"	0.191	"Saccharomyces_cerevisiae@YOR307C"	"YOR307C"	NA	"P22215"	"SLY41"
151	"OG4639"	0.3654	"Saccharomyces_cerevisiae@YPL011C"	"YPL011C"	2	"Q12297"	"TAF3"
156	"OG5444"	0.13045	"Saccharomyces_cerevisiae@YOR339C"	"YOR339C"	NA	"P52492"	"UBC11"
160	"OG1637"	0.0613	"Saccharomyces_cerevisiae@YER047C"	"YER047C"	NA	"P39955"	"SAP1"
164	"OG1465"	0.03	"Saccharomyces_cerevisiae@YNL293W"	"YNL293W"	NA	"P48566"	"GYP3"
169	"OG2047"	0.11145	"Saccharomyces_cerevisiae@YHR158C"	"YHR158C"	1	"P38853"	"KEL1"
171	"OG14448"	0.2296	"Saccharomyces_cerevisiae@YIL117C"	"YIL117C"	2	"P40476"	"PRM5"
177	"OG7385"	0.0708	"Saccharomyces_cerevisiae@YJL076W"	"YJL076W"	NA	"P47035"	"NET1"
179	"OG3310"	0.1663	"Saccharomyces_cerevisiae@YGR110W"	"YGR110W"	NA	"P53264"	"CLD1"
180	"OG4790"	0.1861	"Saccharomyces_cerevisiae@YOR131C"	"YOR131C"	NA	"Q12486"	"YOR31"
183	"OG3145"	0.1432	"Saccharomyces_cerevisiae@YER120W"	"YER120W"	NA	"P40075"	"SCS2"
184	"OG1750"	0.09755	"Saccharomyces_cerevisiae@YMR308C"	"YMR308C"	NA	"P32337"	"IMB3"
187	"OG7670"	0.4192	"Saccharomyces_cerevisiae@YGL249W"	"YGL249W"	1	"P53061"	"ZIP2"
190	"OG4159"	0.1912	"Saccharomyces_cerevisiae@YKL149C"	"YKL149C"	NA	"P24309"	"DBR1"
195	"OG4464"	0.4249	"Saccharomyces_cerevisiae@YOR080W"	"YOR080W"	NA	"Q08496"	"DIA2"
196	"OG2878"	0.149	"Saccharomyces_cerevisiae@YGR246C"	"YGR246C"	NA	"P29056"	"TF3B"
197	"OG2165"	0.1512	"Saccharomyces_cerevisiae@YGL112C"	"YGL112C"	1	"P53040"	"TAF6"
199	"OG4400"	0.2253	"Saccharomyces_cerevisiae@YOR111W"	"YOR111W"	NA	"Q99210"	"YO111"
202	"OG2415"	0.3245	"Saccharomyces_cerevisiae@YLR148W"	"YLR148W"	1	"P27801"	"PEP3"
203	"OG2345"	0.3635	"Saccharomyces_cerevisiae@YPL242C"	"YPL242C"	2	"Q12280"	"IQG1"
204	"OG2266"	0.2018	"Saccharomyces_cerevisiae@YGR080W"	"YGR080W"	1	"P53250"	"TWF1"
207	"OG1453"	0.05605	"Saccharomyces_cerevisiae@YOL004W"	"YOL004W"	NA	"P22579"	"SIN3"
209	"OG4089"	0.1591	"Saccharomyces_cerevisiae@YDL043C"	"YDL043C"	NA	"Q07350"	"PRP11"
212	"OG10810"	0.2899	"Saccharomyces_cerevisiae@YHR133C"	"YHR133C"	NA	"P38837"	"NSG1"
213	"OG8128"	0.3515	"Saccharomyces_cerevisiae@YGL121C"	"YGL121C"	NA	"P53130"	"GPG1"
217	"OG6862"	0.21405	"Saccharomyces_cerevisiae@YKL038W"	"YKL038W"	NA	"P32862"	"RGT1"
220	"OG2992"	0.1623	"Saccharomyces_cerevisiae@YDR267C"	"YDR267C"	NA	"Q05583"	"CIAO1"
224	"OG4244"	0.1074	"Saccharomyces_cerevisiae@YMR269W"	"YMR269W"	NA	"Q03525"	"TMA23"
229	"OG3362"	0.0891	"Saccharomyces_cerevisiae@YPL042C"	"YPL042C"	NA	"P39073"	"SSN3"
233	"OG5338"	0.0942	"Saccharomyces_cerevisiae@YOL154W"	"YOL154W"	NA	"Q12512"	"ZPS1"
234	"OG4269"	0.2117	"Saccharomyces_cerevisiae@YER048C"	"YER048C"	NA	"P39101"	"CAJ1"
237	"OG2598"	0.2298	"Saccharomyces_cerevisiae@YKL125W"	"YKL125W"	NA	"P36070"	"RRN3"
241	"OG2186"	0.1299	"Saccharomyces_cerevisiae@YJL101C"	"YJL101C"	NA	"P32477"	"GSH1"
248	"OG4452"	0.2216	"Saccharomyces_cerevisiae@YPL034W"	"YPL034W"	NA	"Q03083"	"YP034"
260	"OG1408"	0.09775	"Saccharomyces_cerevisiae@YPR149W"	"YPR149W"	NA	"Q12207"	"NCE2"
262	"OG4758"	0.1783	"Saccharomyces_cerevisiae@YCR083W"	"YCR083W"	NA	"P25372"	"TRX3"
263	"OG2578"	0.2313	"Saccharomyces_cerevisiae@YDR196C"	"YDR196C"	2	"Q03941"	"CAB5"
264	"OG5487"	0.3429	"Saccharomyces_cerevisiae@YJL192C"	"YJL192C"	NA	"P39543"	"SOP4"
268	"OG6059"	0.1613	"Saccharomyces_cerevisiae@YGL162W"	"YGL162W"	1	"P53032"	"SUT1"
272	"OG2891"	0.14105	"Saccharomyces_cerevisiae@YCL055W"	"YCL055W"	NA	"P25583"	"KAR4"
273	"OG7328"	0.495	"Saccharomyces_cerevisiae@YDR082W"	"YDR082W"	NA	"P38960"	"STN1"
278	"OG6726"	0.2032	"Saccharomyces_cerevisiae@YDR076W"	"YDR076W"	NA	"P38953"	"RAD55"
279	"OG5113"	0.2355	"Saccharomyces_cerevisiae@YLR221C"	"YLR221C"	NA	"Q05942"	"RSA3"
287	"OG4198"	0.2263	"Saccharomyces_cerevisiae@YML081C-A"	"YML081C-A"	1	"P81450"	"ATP18"
291	"OG2628"	0.1714	"Saccharomyces_cerevisiae@YLR143W"	"YLR143W"	NA	"Q12429"	"DPH6"
292	"OG5142"	0.2205	"Saccharomyces_cerevisiae@YPR075C"	"YPR075C"	NA	"Q06810"	"OPY2"
