geneid	sequenceidofingroupbesthit	taxonomyidofingroupbesthit	evalueofingroupbesthit	sequenceidofoutgroupbesthit	taxonomyidofoutgroupbesthit	evalueofoutgroupbesthit	alienindex	bitscorepercentage	HGTornot	value
Scheffersomyces_stipitis@Seq_539	NP_595059.1-284812-Schizosaccharomyc-Taphrinomy	284812	2.00E-145	CQB89227.1-813-Chlamydia_trachom-other_Bact	813	7.00E-109	-84.14582632	0.362962963	No	0
Alloascoidea_hylecoeti@Seq_3443	GAO46703.1-698492-Saitoella_complic-Taphrinomy	698492	1.00E-116	WP_013786420.1-715451-Alteromonas_napht-Proteobac	715451	3.00E-105	-26.42704831	0.820051414	No	0
Alloascoidea_hylecoeti@Seq_7486	GAO46703.1-698492-Saitoella_complic-Taphrinomy	698492	2.00E-117	WP_013786420.1-715451-Alteromonas_napht-Proteobac	715451	3.00E-107	-23.43131604	0.811557789	No	0
Alloascoidea_hylecoeti@Seq_5063	XP_007673815.1-717646-Baudoinia_panamer-Dothideom	717646	5.00E-135	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	1.00E-115	-44.44226395	0.843902439	No	0
Alloascoidea_hylecoeti@Seq_5735	KJY01802.1-1047168-Zymoseptoria_brev-Dothideomy	1047168	5.00E-134	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	4.00E-116	-41.22338812	0.755991285	No	0
Naumovozyma_castellii@Seq_1763	XP_013339482.1-1043005-Aureobasidium_sub-Dothideo	1043005	4.00E-123	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	6.00E-151	64.0669175	0.648967552	Yes	1
Naumovozyma_dairenensis@Seq_1880	XP_013339482.1-1043005-Aureobasidium_sub-Dothideo	1043005	1.00E-129	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-157	63.77923542	0.671071953	Yes	1
Ogataea_methanolica@Seq_1736	CZR55067.1-576137-Phialocephala_sub-Leotiomyce	576137	4.00E-129	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	8.00E-114	-35.23192358	0.625	No	0
Ogataea_parapolymorpha@Seq_267	XP_016761662.1-692275-Sphaerulina_musiv-Dothideom	692275	8.00E-133	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-123	-21.63955657	0.563165906	No	0
Ogataea_polymorpha@Seq_836	EPS27984.1-933388-Penicillium_oxali-Eurotiomyc	933388	4.00E-132	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	7.00E-125	-16.67771144	0.569465649	No	0
Pachysolen_tannophilus@Seq_4926	OJK00991.1-690307-Aspergillus_acule-Eurotiomyc	690307	1.00E-125	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	4.00E-115	-24.41214529	0.527272727	No	0
Pachysolen_tannophilus@Seq_5002	OJK00991.1-690307-Aspergillus_acule-Eurotiomyc	690307	4.00E-140	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-127	-28.54731185	0.575757576	No	0
Pichia_membranifaciens@Seq_3056	OBT65454.1-1524831-Pseudogymnoascus_-Leotiomyce	1524831	2.00E-120	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	4.00E-113	-16.81124283	0.5173454	No	0
Priceomyces_haplophilus@Seq_2991	XP_013331637.1-1408163-Rasamsonia_emerso-Eurotiom	1408163	1.00E-132	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	4.00E-113	-45.13541113	0.711618257	No	0
Saccharomyces_arboricola@Seq_2434	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	3.00E-129	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	0	164.5821539	0.863436123	Yes	1
Saccharomyces_cerevisiae@YHR104W	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	1.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	0	165.7861267	0.899852725	Yes	1
Saccharomyces_eubayanus@Seq_189	GAO46703.1-698492-Saitoella_complic-Taphrinomy	698492	2.00E-127	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	0	168.781859	0.854625551	Yes	1
Saccharomyces_kudriavzevii@Seq_2110	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	4.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	0	167.1724211	0.863235294	Yes	1
Saccharomyces_mikatae@Seq_1773	KEQ67382.1-1043003-Aureobasidium_mel-Dothideomy	1043003	5.00E-129	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	0	165.0929795	0.897590361	Yes	1
Saccharomyces_paradoxus@Seq_4651	GAO46703.1-698492-Saitoella_complic-Taphrinomy	698492	1.00E-126	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	0	170.3912969	0.898809524	Yes	1
Saccharomyces_uvarum@Seq_2770	XP_019026903.1-698492-Saitoella_complic-Taphrinom	698492	2.00E-126	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	0	171.0844441	0.885844749	Yes	1
Saccharomycopsis_malanga@Seq_2101	CRG90345.1-28573-Talaromyces_islan-Eurotiomyc	28573	6.00E-131	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	4.00E-125	-13.41004545	0.734774067	No	0
Scheffersomyces_lignosus@Seq_1473	KHJ34076.1-52586-Erysiphe_necator-Leotiomyce	52586	3.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-112	-36.43589638	0.574789916	No	0
Brettanomyces_anomalus@Seq_5125	KJY01802.1-1047168-Zymoseptoria_brev-Dothideomy	1047168	9.00E-125	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-117	-16.91660335	0.706586826	No	0
Scheffersomyces_stipitis@Seq_5577	XP_001211802.1-341663-Aspergillus_terre-Eurotiomy	341663	8.00E-131	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	5.00E-117	-31.76618767	0.532824427	No	0
Spathaspora_arborariae@Seq_1175	CZT46775.1-38038-Rhynchosporium_se-Leotiomyce	38038	5.00E-137	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	5.00E-121	-36.84136149	0.548091603	No	0
Spathaspora_passalidarum@Seq_4194	CZT46775.1-38038-Rhynchosporium_se-Leotiomyce	38038	2.00E-136	XP_015375307.1-143948-Diuraphis_noxia-Metazoa	143948	3.00E-154	41.04106657	0.711450382	No	0
Sporopachydermia_quercuum@Seq_3400	KZT57807.1-1353952-Calocera_cornea_H-Basidiomyc	1353952	4.00E-141	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	5.00E-120	-48.5774305	0.816933638	No	0
Candida_albicans@C5_02930C_A	CRG90345.1-28573-Talaromyces_islan-Eurotiomyc	28573	1.00E-143	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-118	-57.56462732	0.469361147	No	0
Sugiyamaella_lignohabitans@Seq_442	CUA69636.1-456999-Rhizoctonia_solan-Basidiomyc	456999	5.00E-153	NP_001134820.1-8030-Salmo_salar-Metazoa	8030	1.00E-129	-53.65260432	0.568656716	No	0
Tetrapisispora_blattae@Seq_1581	XP_658027.1-227321-Aspergillus_nidul-Eurotiomyc	227321	1.00E-123	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	1.00E-152	66.7749677	0.650073206	Yes	1
Tetrapisispora_blattae@Seq_481	KJY01802.1-1047168-Zymoseptoria_brev-Dothideomy	1047168	4.00E-118	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	2.00E-143	58.25777451	0.621861152	Yes	1
Tetrapisispora_phaffii@Seq_2118	XP_016761662.1-692275-Sphaerulina_musiv-Dothideom	692275	9.00E-128	XP_015332112.1-9994-Marmota_marmota_m-Metazoa	9994	9.00E-152	55.26204223	0.654814815	Yes	1
