panID	linked_unqiue_rxn
Q0045	1
Q0080	1
Q0085	1
Q0115	1
Q0130	1
Q0250	1
Q0275	1
YAL012W	2
YAL022C	2
YGR199W	1
YAL044C	8
YAL054C	1
YAL062W	1
YAR015W	1
YAR035W	1
YBL011W	8
YBL013W	1
YBL015W	2
YBL030C	1
YBL033C	1
YBL039C	2
YBL042C	4
YBL045C	1
YBL064C	1
YBL068W	1
YBL076C	1
YBL098W	1
YBL099W	1
YBR002C	19
YBR003W	1
YBR004C	1
YBR006W	1
YBR011C	1
YBR018C	2
YBR019C	1
YBR020W	2
YBR023C	1
YBR026C	3
YBR029C	8
YBR034C	1
YBR035C	4
YBR036C	10
YBR039W	1
YBR041W	3
YBR042C	2
YBR058C-A	1
YBR084W	3
YBR097W	8
YBR110W	1
YBR115C	1
YBR117C	2
YBR121C	1
YBR126C	2
YBR127C	1
YBR132C	2
YBR148W	1
YBR153W	1
YBR159W	7
YBR166C	1
YBR176W	1
YBR180W	1
YBR192W	6
YBR196C	1
YBR199W	1
YBR204C	32
YBR205W	1
YBR208C	2
YBR213W	2
YBR218C	1
YBR221C	1
YBR248C	1
YBR249C	1
YBR252W	1
YBR256C	1
YBR263W	1
YBR265W	1
YBR291C	3
YBR293W	4
YBR296C	1
YCL004W	6
YCL009C	2
YCL018W	1
YCL030C	3
YCL038C	3
YCL052C	1
YCL064C	2
YGR224W	2
YCR010C	1
YCR012W	1
YCR024C	1
YCR024C-A	1
YCR028C	1
YCR034W	5
YCR036W	2
YCR037C	2
YCR053W	2
YCR075C	1
YCR083W	2
YCR098C	3
YCR105W	4
YDL004W	1
YDL015C	7
YDL042C	1
YDL045C	1
YDL052C	4
YDL055C	1
YDL066W	1
YDL067C	1
YDL078C	1
YDL080C	7
YDL090C	1
YDL095W	1
YDL100C	1
YDL103C	1
YDL131W	1
YDL141W	2
YDL142C	36
YDL168W	6
YDL171C	1
YDL174C	1
YDL178W	1
YDL185W	1
YDL198C	1
YDL205C	1
YDL210W	2
YDL215C	1
YDL239C	1
YDR007W	1
YDR017C	4
YDR019C	8
YDR023W	1
YDR035W	1
YDR037W	1
YDR044W	1
YDR047W	1
YDR050C	1
YDR058C	4
YDR062W	1
YDR072C	80
YDR074W	2
YDR098C	1
YDR127W	5
YDR147W	1
YDR148C	3
YDR158W	1
YDR173C	4
YDR178W	1
YDR191W	1
YDR196C	1
YDR204W	5
YDR208W	8
YDR226W	1
YDR232W	1
YDR234W	2
YDR236C	1
YDR256C	1
YDR261C	1
YDR268W	1
YDR284C	20
YDR294C	2
YDR297W	3
YDR298C	1
YDR300C	1
YDR302W	1
YDR305C	1
YDR315C	1
YDR321W	1
YDR322C-A	1
YDR354W	1
YDR367W	80
YDR373W	8
YDR376W	2
YDR377W	1
YDR380W	1
YDR384C	1
YDR399W	2
YDR400W	2
YDR402C	2
YDR403W	2
YDR408C	1
YDR428C	1
YML028W	1
YDR454C	3
YDR481C	1
YDR483W	1
YDR487C	1
YDR502C	1
YDR503C	20
YDR508C	31
YDR513W	2
YDR529C	1
YDR530C	4
YDR531W	1
YDR536W	3
YEL017C-A	1
YEL021W	1
YEL024W	1
YEL027W	1
YEL029C	1
YEL038W	1
YEL039C	5
YEL042W	2
YEL046C	2
YEL051W	1
YEL058W	2
YER003C	1
YER005W	10
YER014W	1
YER015W	8
YER019W	40
YER023W	2
YER024W	1
YER026C	8
YER037W	7
YER043C	1
YER052C	1
YER053C	2
YER055C	1
YER056C	3
YER061C	3
YER065C	1
YER069W	2
YER070W	3
YER073W	6
YER086W	1
YER090W	1
YER091C	2
YBL089W	2
YER152C	1
YER170W	2
YER175C	2
YER178W	1
YER183C	2
YFL001W	1
YFL017C	1
YFL018C	11
YFL022C	1
YFL030W	1
YFL045C	1
YFL053W	1
YFL055W	3
YFR015C	1
YFR019W	8
YFR025C	1
YFR030W	1
YFR033C	1
YFR047C	1
YGL001C	2
YGL009C	2
YGL012W	1
YGL026C	1
YGL037C	1
YGL040C	1
YGL055W	2
YGL063W	1
YGL067W	1
YGL077C	3
YGL080W	1
YGL119W	5
YGL125W	1
YGL142C	1
YGL148W	1
YGL154C	1
YGL184C	1
YGL186C	4
YGL187C	1
YGL191W	1
YGL202W	5
YGL205W	18
YGL224C	2
YGL225W	2
YGL234W	2
YGL245W	1
YGL248W	1
YGL253W	3
YGL256W	6
YGR007W	1
YGR019W	1
YGR020C	1
YGR032W	1
YGR055W	1
YGR060W	4
YGR061C	1
YGR065C	1
YGR088W	1
YGR094W	1
YGR096W	1
YGR110W	36
YGR121C	1
YGR143W	1
YGR155W	1
YGR157W	8
YGR170W	8
YGR171C	1
YGR175C	2
YGR177C	5
YGR180C	3
YGR183C	1
YGR185C	1
YGR193C	1
YGR194C	1
YGR202C	1
YGR208W	1
YGR209C	7
YGR240C	2
YGR243W	1
YGR244C	2
YGR247W	1
YGR248W	1
YGR255C	5
YGR256W	1
YGR260W	1
YGR264C	1
YGR267C	1
YGR277C	1
YGR282C	1
YGR286C	1
YGR289C	3
YHL011C	1
YHL016C	2
YHL032C	1
YHL036W	1
YHR001W-A	1
YHR002W	2
YHR007C	1
YHR011W	1
YHR019C	2
YHR020W	1
YHR025W	1
YHR026W	1
YHR037W	3
YHR039C-A	1
YHR042W	1
YHR046C	1
YHR051W	1
YHR063C	1
YHR067W	3
YHR068W	1
YHR072W	1
YHR074W	1
YHR091C	1
YHR096C	14
YHR100C	6
YHR104W	5
YHR106W	1
YHR128W	1
YHR137W	4
YHR144C	2
YHR190W	1
YHR208W	5
YIL006W	4
YIL010W	1
YOR328W	8
YIL020C	2
YIL053W	3
YIL074C	1
YIL078W	1
YIL083C	1
YIL094C	1
YIL099W	1
YIL107C	1
YIL116W	1
YIL124W	4
YIL125W	3
YIL134W	1
YER013W	1
YIL155C	1
YIL160C	18
YIL162W	1
YIR027C	1
YIR029W	1
YIR032C	1
YIR034C	1
YIR037W	1
YJL005W	1
YJL026W	3
YJL060W	2
YJL068C	1
YJL071W	1
YJL088W	1
YJL091C	1
YJL097W	7
YJL100W	8
YJL101C	1
YJL121C	1
YJL129C	1
YJL130C	2
YJL134W	2
YJL139C	1
YJL153C	1
YJL155C	1
YJL166W	1
YJL167W	2
YJL196C	2
YJL212C	2
YJR001W	5
YJR009C	1
YJR010W	1
YJR013W	1
YJR016C	2
YJR019C	10
YJR025C	1
YJR049C	2
YJR057W	1
YJR073C	24
YJR077C	2
YJR078W	1
YJR095W	1
YJR105W	1
YJR110W	8
YJR121W	1
YJR133W	1
YJR137C	1
YJR139C	2
YJR143C	1
YJR152W	13
YJR153W	1
YJR159W	4
YKL001C	1
YKL004W	80
YKL008C	4
YKL016C	1
YKL019W	1
YKL024C	2
YKL026C	1
YKL029C	2
YKL035W	1
YKL055C	3
YKL060C	3
YKL067W	10
YKL080W	1
YKL085W	1
YKL088W	1
YKL094W	4
YKL104C	1
YKL106W	3
YKL120W	2
YKL127W	2
YKL132C	1
YKL140W	2
YKL141W	1
YKL148C	1
YKL152C	2
YKL165C	1
YKL174C	2
YKL181W	1
YKL182W	2
YKL184W	1
YKL188C	15
YKL192C	5
YKL194C	1
YKL211C	2
YKL212W	16
YKL216W	1
YKL217W	4
YKR009C	36
YKR031C	8
YKR043C	1
YKR058W	1
YKR066C	1
YKR069W	1
YKR080W	1
YKR089C	52
YKR097W	1
YLL012W	10
YLL018C	1
YLL028W	6
YLL031C	1
YLL041C	1
YLL043W	2
YLL048C	3
YLL052C	2
YLL057C	1
YLR011W	2
YLR017W	2
YLR027C	3
YLR039C	1
YLR056W	1
YLR060W	1
YLR089C	1
YLR092W	1
YLR100W	2
YLR109W	1
YLR133W	2
YLR138W	1
YLR142W	1
YLR146C	1
YLR172C	1
YLR189C	1
YLR201C	5
YLR209C	3
YLR231C	2
YLR240W	8
YLR245C	2
YLR260W	2
YLR284C	8
YLR285W	1
YLR295C	1
YLR299W	1
YLR300W	1
YLR303W	3
YLR305C	8
YLR308W	1
YLR328W	2
YLR348C	3
YLR354C	1
YLR355C	2
YLR359W	2
YLR372W	4
YLR377C	1
YLR382C	1
YLR386W	8
YLR395C	1
YLR410W	4
YLR420W	1
YLR438W	1
YLR447C	1
YML004C	1
YML008C	1
YML022W	1
YML035C	1
YML042W	2
YML054C	1
YML056C	1
YML059C	12
YML075C	1
YML081C-A	1
YML086C	1
YML100W	2
YML110C	5
YML120C	1
YML123C	2
YML126C	1
YMR006C	48
YMR009W	1
YMR013C	1
YMR015C	1
YMR020W	3
YMR041C	1
YMR054W	1
YMR056C	1
YMR062C	2
YMR083W	7
YMR088C	2
YMR101C	19
YMR108W	2
YMR113W	1
YMR120C	2
YMR145C	1
YMR165C	8
YMR170C	3
YMR189W	8
YMR202W	1
YMR208W	4
YMR217W	1
YMR220W	1
YMR226C	2
YMR241W	1
YMR250W	2
YMR256C	1
YMR267W	1
YMR271C	1
YMR272C	6
YMR278W	1
YMR281W	1
YMR289W	1
YMR293C	1
YMR296C	1
YMR298W	4
YMR300C	1
YMR313C	44
YMR319C	1
YNL003C	1
YNL029C	1
YNL037C	1
YNL045W	3
YNL052W	1
YNL071W	1
YNL073W	1
YNL101W	5
YNL104C	1
YNL106C	32
YNL117W	1
YNL129W	1
YNL130C	16
YNL141W	3
YNL142W	1
YNL169C	8
YNL192W	1
YNL202W	2
YNL220W	1
YNL241C	1
YNL247W	1
YNL256W	4
YNL267W	8
YNL268W	3
YNL277W	1
YNL280C	1
YNL292W	1
YNL316C	1
YNL318C	1
YNL325C	8
YNR001C	1
YNR008W	128
YNR012W	3
YNR016C	1
YNR019W	42
YNR033W	1
YNR041C	1
YNR043W	1
YNR050C	1
YNR056C	1
YNR057C	1
YNR058W	1
YNR067C	1
YOL033W	1
YOL049W	1
YOL052C	1
YOL058W	1
YOL059W	1
YOL061W	1
YOL064C	1
YOL065C	8
YOL066C	1
YOL096C	5
YOL097C	1
YOL103W	1
YOL126C	1
YOL136C	1
YOL140W	1
YOL143C	1
YGL039W	2
YOR025W	1
YOR040W	1
